Site_ID,YearMonth,DroughtLevel,Target_n_hours,Normal_n_hours,Target_flag,Normal_flag,Pair_flag
95332217,2025-01,Mild,96,0,ok,too_few_hours,too_few_hours
95332217,2025-01,Moderate,48,0,too_few_hours,too_few_hours,too_few_hours
95332217,2025-01,Severe,144,0,ok,too_few_hours,too_few_hours
95332217,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332217,2025-02,Mild,432,96,ok,ok,ok
95332217,2025-02,Moderate,144,96,ok,ok,ok
95332217,2025-02,Severe,0,96,too_few_hours,ok,too_few_hours
95332217,2025-02,Extreme,0,96,too_few_hours,ok,too_few_hours
95332217,2025-03,Mild,24,168,too_few_hours,ok,too_few_hours
95332217,2025-03,Moderate,24,168,too_few_hours,ok,too_few_hours
95332217,2025-03,Severe,0,168,too_few_hours,ok,too_few_hours
95332217,2025-03,Extreme,0,168,too_few_hours,ok,too_few_hours
95332217,2025-04,Mild,120,288,ok,ok,ok
95332217,2025-04,Moderate,72,288,ok,ok,ok
95332217,2025-04,Severe,24,288,too_few_hours,ok,too_few_hours
95332217,2025-04,Extreme,216,288,ok,ok,ok
95332217,2025-05,Mild,264,264,ok,ok,ok
95332217,2025-05,Moderate,192,264,ok,ok,ok
95332217,2025-05,Severe,24,264,too_few_hours,ok,too_few_hours
95332217,2025-05,Extreme,0,264,too_few_hours,ok,too_few_hours
95332217,2025-06,Mild,456,0,ok,too_few_hours,too_few_hours
95332217,2025-06,Moderate,168,0,ok,too_few_hours,too_few_hours
95332217,2025-06,Severe,72,0,ok,too_few_hours,too_few_hours
95332217,2025-06,Extreme,24,0,too_few_hours,too_few_hours,too_few_hours
95332217,2025-07,Mild,0,144,too_few_hours,ok,too_few_hours
95332217,2025-07,Moderate,48,144,too_few_hours,ok,too_few_hours
95332217,2025-07,Severe,144,144,ok,ok,ok
95332217,2025-07,Extreme,0,144,too_few_hours,ok,too_few_hours
95332217,2025-08,Mild,24,384,too_few_hours,ok,too_few_hours
95332217,2025-08,Moderate,0,384,too_few_hours,ok,too_few_hours
95332217,2025-08,Severe,0,384,too_few_hours,ok,too_few_hours
95332217,2025-08,Extreme,0,384,too_few_hours,ok,too_few_hours
95332217,2025-09,Mild,192,336,ok,ok,ok
95332217,2025-09,Moderate,0,336,too_few_hours,ok,too_few_hours
95332217,2025-09,Severe,0,336,too_few_hours,ok,too_few_hours
95332217,2025-09,Extreme,0,336,too_few_hours,ok,too_few_hours
95332217,2025-10,Mild,0,144,too_few_hours,ok,too_few_hours
95332217,2025-10,Moderate,0,144,too_few_hours,ok,too_few_hours
95332217,2025-10,Severe,0,144,too_few_hours,ok,too_few_hours
95332217,2025-10,Extreme,0,144,too_few_hours,ok,too_few_hours
95332217,2025-11,Mild,0,624,too_few_hours,ok,too_few_hours
95332217,2025-11,Moderate,0,624,too_few_hours,ok,too_few_hours
95332217,2025-11,Severe,0,624,too_few_hours,ok,too_few_hours
95332217,2025-11,Extreme,0,624,too_few_hours,ok,too_few_hours
95332217,2025-12,Mild,40,696,too_few_hours,ok,too_few_hours
95332217,2025-12,Moderate,0,696,too_few_hours,ok,too_few_hours
95332217,2025-12,Severe,0,696,too_few_hours,ok,too_few_hours
