,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.3246599356647819,0.16603805094782217,-0.04839428048757634,-0.1452395994359908,-0.21797088803003617,0.04821809729288214,-0.013616135660334636,0.0012617396585250058,0.07234955595851066,0.15919172482404634
Duration_days,0.3246599356647819,1.0,0.05718709035934719,-0.02026677952821235,-0.03967819618861445,-0.06798293108706288,-0.0035101544991557646,0.0053227343700487295,-0.1229224945463859,-0.060816853081499436,-0.17853005959763227
elevation,0.16603805094782217,0.05718709035934719,1.0,-0.1343050905062302,-0.2118665848663144,-0.10252997626006313,-0.14586905176485834,-0.08220301768476147,0.19795871226419617,-0.09283383847534334,-0.2389273353760641
slope,-0.04839428048757634,-0.02026677952821235,-0.1343050905062302,1.0,-0.17167577043884782,-0.032408346792847924,0.1152518925308963,0.06178731191660064,0.3820450688103043,0.3238879382237445,0.08863630848843294
aspect_sin,-0.1452395994359908,-0.03967819618861445,-0.2118665848663144,-0.17167577043884782,1.0,-0.07220251767322193,-0.0574870885636037,-0.04294271909827339,-0.30369105685206715,0.05178262750633579,-0.013232752002050076
aspect_cos,-0.21797088803003617,-0.06798293108706288,-0.10252997626006313,-0.032408346792847924,-0.07220251767322193,1.0,0.2185944566189289,0.23120616252216897,0.37034819025726257,0.010461218847373534,-0.04815893920893294
LAI,0.04821809729288214,-0.0035101544991557646,-0.14586905176485834,0.1152518925308963,-0.0574870885636037,0.2185944566189289,1.0,0.9469663023495998,0.2114991622710352,0.13489403281295068,0.4414111232862677
FAPAR,-0.013616135660334636,0.0053227343700487295,-0.08220301768476147,0.06178731191660064,-0.04294271909827339,0.23120616252216897,0.9469663023495998,1.0,0.203523764191136,0.06457310851003474,0.3422198360550495
canopy_height,0.0012617396585250058,-0.1229224945463859,0.19795871226419617,0.3820450688103043,-0.30369105685206715,0.37034819025726257,0.2114991622710352,0.203523764191136,1.0,0.23723445007522095,-0.06551211841498168
soil_moisture,0.07234955595851066,-0.060816853081499436,-0.09283383847534334,0.3238879382237445,0.05178262750633579,0.010461218847373534,0.13489403281295068,0.06457310851003474,0.23723445007522095,1.0,0.09410428078717793
soil_temperature,0.15919172482404634,-0.17853005959763227,-0.2389273353760641,0.08863630848843294,-0.013232752002050076,-0.04815893920893294,0.4414111232862677,0.3422198360550495,-0.06551211841498168,0.09410428078717793,1.0
