,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.058894094907863834,0.1412448783011907,-0.050256410256410255,-0.1747008547008547,-0.24170940170940172,-0.042735042735042736,-0.08102564102564103,0.10737627505798056,-0.08561656387312733,0.016438380263640445
Duration_days,0.058894094907863834,1.0,-0.2716220482455677,-0.0691663207638866,0.14072949422751183,0.18318802776573925,0.007875373156284117,-0.022598896883250074,-0.08950368154074562,0.036185903464738475,0.07117132671974628
elevation,0.1412448783011907,-0.2716220482455677,1.0,-0.08584131828958563,-0.32934338451343015,-0.14158687558521296,-0.15355678052599184,-0.06839945680445071,0.09025437693766526,-0.25351171455666693,-0.3898599069803878
slope,-0.050256410256410255,-0.0691663207638866,-0.08584131828958563,1.0,-0.24649572649572649,-0.20136752136752137,0.16102564102564101,0.07692307692307693,0.2734149879271901,0.2688360105616198,0.04623294449148876
aspect_sin,-0.1747008547008547,0.14072949422751183,-0.32934338451343015,-0.24649572649572649,1.0,-0.002393162393162393,-0.16034188034188035,-0.07282051282051281,-0.2960566305911732,0.11883579065590073,0.12089058818885579
aspect_cos,-0.24170940170940172,0.18318802776573925,-0.14158687558521296,-0.20136752136752137,-0.002393162393162393,1.0,0.30324786324786324,0.3128205128205128,0.4411689767557923,0.0294520979723558,0.12397278448828837
LAI,-0.042735042735042736,0.007875373156284117,-0.15355678052599184,0.16102564102564101,-0.16034188034188035,0.30324786324786324,1.0,0.9705982905982906,0.3440843574541677,0.38869919998399804,0.1839043791994775
FAPAR,-0.08102564102564103,-0.022598896883250074,-0.06839945680445071,0.07692307692307693,-0.07282051282051281,0.3128205128205128,0.9705982905982906,1.0,0.3077205071150433,0.29623331100102057,0.15650707876007675
canopy_height,0.10737627505798056,-0.08950368154074562,0.09025437693766526,0.2734149879271901,-0.2960566305911732,0.4411689767557923,0.3440843574541677,0.3077205071150433,1.0,0.3254300336413626,0.026460520158801393
soil_moisture,-0.08561656387312733,0.036185903464738475,-0.25351171455666693,0.2688360105616198,0.11883579065590073,0.0294520979723558,0.38869919998399804,0.29623331100102057,0.3254300336413626,1.0,0.05934819897084048
soil_temperature,0.016438380263640445,0.07117132671974628,-0.3898599069803878,0.04623294449148876,0.12089058818885579,0.12397278448828837,0.1839043791994775,0.15650707876007675,0.026460520158801393,0.05934819897084048,1.0
