,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.40938984591902666,-0.16888982387812795,0.08834197347579907,0.13353025677322072,0.08498982446028125,-0.08055666888716269,-0.10517028694435317,0.030373585259735075,0.11722375661389234,-0.10835472606041582
Duration_days,0.40938984591902666,1.0,0.006015153429579251,0.06696227605576617,-0.025693893405060043,0.03005436026260111,-0.23154595720648438,-0.1940541698642708,0.0848663640388136,-0.19411895498703724,-0.3520623838229774
elevation,-0.16888982387812795,0.006015153429579251,1.0,-0.04192151372407482,-0.40364300734795233,-0.11637519892606885,-0.025922027612557966,0.005767002305394201,0.13432218199343318,-0.19575825244446507,-0.1013987407982823
slope,0.08834197347579907,0.06696227605576617,-0.04192151372407482,1.0,-0.2706963282769467,-0.10672528826187767,0.1721152515538138,0.09253196806375932,0.33152387251035154,0.12904548355197307,0.07990917582588658
aspect_sin,0.13353025677322072,-0.025693893405060043,-0.40364300734795233,-0.2706963282769467,1.0,-0.005093261855250903,-0.20431651059652045,-0.200822322861402,-0.31818541236818493,0.09641367079361499,-0.009583593114932886
aspect_cos,0.08498982446028125,0.03005436026260111,-0.11637519892606885,-0.10672528826187767,-0.005093261855250903,1.0,0.15782665242858235,0.12642415250108183,0.49102300130502724,0.08417636682552326,-0.013798398395528075
LAI,-0.08055666888716269,-0.23154595720648438,-0.025922027612557966,0.1721152515538138,-0.20431651059652045,0.15782665242858235,1.0,0.9414324136495237,0.26302449284588547,0.05985382420388795,0.40438086572133236
FAPAR,-0.10517028694435317,-0.1940541698642708,0.005767002305394201,0.09253196806375932,-0.200822322861402,0.12642415250108183,0.9414324136495237,1.0,0.2170572856411387,-0.060307646338500644,0.29792446960629526
canopy_height,0.030373585259735075,0.0848663640388136,0.13432218199343318,0.33152387251035154,-0.31818541236818493,0.49102300130502724,0.26302449284588547,0.2170572856411387,1.0,0.1793949602851199,-0.0866373933547442
soil_moisture,0.11722375661389234,-0.19411895498703724,-0.19575825244446507,0.12904548355197307,0.09641367079361499,0.08417636682552326,0.05985382420388795,-0.060307646338500644,0.1793949602851199,1.0,0.22202541509320867
soil_temperature,-0.10835472606041582,-0.3520623838229774,-0.1013987407982823,0.07990917582588658,-0.009583593114932886,-0.013798398395528075,0.40438086572133236,0.29792446960629526,-0.0866373933547442,0.22202541509320867,1.0
