,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.29260848465082473,-0.11938931854271062,-0.04884004884004884,0.231990231990232,0.08913308913308914,-0.01648603285884349,0.06593406593406594,0.23434055652195707,0.12676115756962408,-0.3527266993241714
Duration_days,0.29260848465082473,1.0,-0.10250535156102514,0.11026269619931914,-0.12370191678870983,-0.044899214241828016,-0.0059569274621080045,-0.08430056551526892,0.22206990698793452,0.12009839995008025,-0.47518525082289403
elevation,-0.11938931854271062,-0.10250535156102514,1.0,-0.07450382026706238,-0.31603054908364575,-0.15328244989371032,-0.09222782211656234,-0.16610687797246695,0.0919263222815797,-0.24931182007395655,0.06799413274744269
slope,-0.04884004884004884,0.11026269619931914,-0.07450382026706238,1.0,-0.2515262515262515,-0.18192918192918192,0.13005648144198753,0.09829059829059829,0.27722641000309955,0.13472200321409325,-0.00612372741882242
aspect_sin,0.231990231990232,-0.12370191678870983,-0.31603054908364575,-0.2515262515262515,1.0,-0.021367521367521368,-0.18592581501917935,-0.1581196581196581,-0.2956060614950177,0.210043850465609,-0.032455755319758826
aspect_cos,0.08913308913308914,-0.044899214241828016,-0.15328244989371032,-0.18192918192918192,-0.021367521367521368,1.0,0.3486490652740605,0.326007326007326,0.4561216845244367,0.10471573886186337,-0.1285982757952708
LAI,-0.01648603285884349,-0.0059569274621080045,-0.09222782211656234,0.13005648144198753,-0.18592581501917935,0.3486490652740605,1.0,0.7812547793663054,0.39323139974777166,0.30745804583763503,0.1555664215991221
FAPAR,0.06593406593406594,-0.08430056551526892,-0.16610687797246695,0.09829059829059829,-0.1581196581196581,0.326007326007326,0.7812547793663054,1.0,0.36024116924159677,0.15493030369620722,-0.09308065676610078
canopy_height,0.23434055652195707,0.22206990698793452,0.0919263222815797,0.27722641000309955,-0.2956060614950177,0.4561216845244367,0.39323139974777166,0.36024116924159677,1.0,0.25011525163885356,-0.2190812953544258
soil_moisture,0.12676115756962408,0.12009839995008025,-0.24931182007395655,0.13472200321409325,0.210043850465609,0.10471573886186337,0.30745804583763503,0.15493030369620722,0.25011525163885356,1.0,0.0866093366093366
soil_temperature,-0.3527266993241714,-0.47518525082289403,0.06799413274744269,-0.00612372741882242,-0.032455755319758826,-0.1285982757952708,0.1555664215991221,-0.09308065676610078,-0.2190812953544258,0.0866093366093366,1.0
