DroughtLevel,Layer,feature,missing_rate,non_missing,unique_values,dropped,drop_reason,impute_median
Severe,site_month,SPI_intensity,0.0,44,44,False,,1.8675993680953975
Severe,site_month,Duration_days,0.0,44,10,False,,4.0
Severe,site_month,elevation,0.0,44,21,False,,443.0
Severe,site_month,slope,0.0,44,23,False,,22.508304595947266
Severe,site_month,aspect_sin,0.0,44,23,False,,-0.12483222315804221
Severe,site_month,aspect_cos,0.0,44,23,False,,0.42148641652577945
Severe,site_month,LAI,0.0,44,41,False,,5.6
Severe,site_month,FAPAR,0.0,44,31,False,,0.89
Severe,site_month,canopy_height,0.0,44,13,False,,16.0
Severe,site_month,soil_moisture,0.20454545454545456,35,35,False,,0.26955387699999994
Severe,site_month,soil_temperature,0.20454545454545456,35,35,False,,23.66775173666667
Severe,site_month,nighttime_light,1.0,0,0,True,missing_rate>0.5,
Severe,site_month,built_up_distance,1.0,0,0,True,missing_rate>0.5,
