,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.43629204819266754,-0.1255075315935418,0.07675218293475271,-0.00790096000798925,-0.022997437166111565,-0.10572687388813096,-0.2355942718635523,-0.08195026646032355,-0.1941553667286809,0.2916938058008477
Duration_days,0.43629204819266754,1.0,-0.14845130575110327,0.3006815827601022,0.09003133764026093,-0.18201046864293136,-0.03719299145452754,-0.1566663357440424,0.011227058503334381,0.07401170104089089,0.12903117321526522
elevation,-0.1255075315935418,-0.14845130575110327,1.0,-0.16697289979089944,-0.3961984973032472,-0.23791695031568277,-0.3704819095969203,-0.28355055619255,0.3150780951938433,0.08928649773283405,-0.6131479532182016
slope,0.07675218293475271,0.3006815827601022,-0.16697289979089944,1.0,-0.07916107619518395,-0.09907492408728197,0.016051653252220906,-0.11551265142773541,0.2850278523587602,0.12967581592565863,0.3531226801390097
aspect_sin,-0.00790096000798925,0.09003133764026093,-0.3961984973032472,-0.07916107619518395,1.0,0.03890968151966669,0.04624992838167386,0.13574328113277664,-0.27283263081505205,0.02082618439079661,0.10384708979874223
aspect_cos,-0.022997437166111565,-0.18201046864293136,-0.23791695031568277,-0.09907492408728197,0.03890968151966669,1.0,0.2598251125332021,0.3344420183406816,0.3277111277617387,-0.23859640549933087,-0.18133326817949147
LAI,-0.10572687388813096,-0.03719299145452754,-0.3704819095969203,0.016051653252220906,0.04624992838167386,0.2598251125332021,1.0,0.8487553093225242,0.23002541735305237,0.2597347696899143,0.10737499896147816
FAPAR,-0.2355942718635523,-0.1566663357440424,-0.28355055619255,-0.11551265142773541,0.13574328113277664,0.3344420183406816,0.8487553093225242,1.0,0.21136421689359378,0.14421848907509802,-0.06130529661275113
canopy_height,-0.08195026646032355,0.011227058503334381,0.3150780951938433,0.2850278523587602,-0.27283263081505205,0.3277111277617387,0.23002541735305237,0.21136421689359378,1.0,0.09051726917645361,-0.2941365964541431
soil_moisture,-0.1941553667286809,0.07401170104089089,0.08928649773283405,0.12967581592565863,0.02082618439079661,-0.23859640549933087,0.2597347696899143,0.14421848907509802,0.09051726917645361,1.0,-0.26263814616755793
soil_temperature,0.2916938058008477,0.12903117321526522,-0.6131479532182016,0.3531226801390097,0.10384708979874223,-0.18133326817949147,0.10737499896147816,-0.06130529661275113,-0.2941365964541431,-0.26263814616755793,1.0
