,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.4082770319764844,-0.1072664490913144,-0.07905138339920949,0.036561264822134384,0.041501976284584984,-0.09782608695652174,-0.1378799152544676,-0.13194548332390688,-0.2591888950939822,0.04071549693047229
Duration_days,0.4082770319764844,1.0,0.009713827487999382,0.16331081279059376,0.12397680605139587,-0.1877078549452861,-0.0069705834727692454,-0.13496392508982935,-0.1137223688211569,0.039029419755858066,0.09707317221328801
elevation,-0.1072664490913144,0.009713827487999382,1.0,-0.16658430112337766,-0.4018784475172286,-0.1675729319905787,-0.3944637160132207,-0.2106304143475645,0.2496292978680369,-0.03825174843486378,-0.6279248054762053
slope,-0.07905138339920949,0.16331081279059376,-0.16658430112337766,1.0,-0.1808300395256917,-0.22628458498023715,-0.08498023715415019,-0.2411663033841584,0.28224428575677823,0.1449868915085111,0.4280092482203307
aspect_sin,0.036561264822134384,0.12397680605139587,-0.4018784475172286,-0.1808300395256917,1.0,0.06422924901185771,0.11166007905138339,0.1047689678636098,-0.2385931484165384,0.06951426305202586,0.05163916683864779
aspect_cos,0.041501976284584984,-0.1877078549452861,-0.1675729319905787,-0.22628458498023715,0.06422924901185771,1.0,0.40810276679841895,0.4561403648024143,0.369546560437258,-0.24429298158283377,-0.10228527277655235
LAI,-0.09782608695652174,-0.0069705834727692454,-0.3944637160132207,-0.08498023715415019,0.11166007905138339,0.40810276679841895,1.0,0.8623672118962221,0.3511932413282935,0.32175173184080547,0.16186892682114595
FAPAR,-0.1378799152544676,-0.13496392508982935,-0.2106304143475645,-0.2411663033841584,0.1047689678636098,0.4561403648024143,0.8623672118962221,1.0,0.35227234718430617,0.11522353231427429,-0.02632261729593335
canopy_height,-0.13194548332390688,-0.1137223688211569,0.2496292978680369,0.28224428575677823,-0.2385931484165384,0.369546560437258,0.3511932413282935,0.35227234718430617,1.0,0.07876374802003143,-0.11914263149865513
soil_moisture,-0.2591888950939822,0.039029419755858066,-0.03825174843486378,0.1449868915085111,0.06951426305202586,-0.24429298158283377,0.32175173184080547,0.11522353231427429,0.07876374802003143,1.0,-0.23253493013972057
soil_temperature,0.04071549693047229,0.09707317221328801,-0.6279248054762053,0.4280092482203307,0.05163916683864779,-0.10228527277655235,0.16186892682114595,-0.02632261729593335,-0.11914263149865513,-0.23253493013972057,1.0
