DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Moderate,site_month,elevation,0.1644457991590353,0.0316175257315343,26
Moderate,site_month,soil_temperature,0.15694825192377998,0.023693348854472576,26
Moderate,site_month,FAPAR,0.1524747043786976,0.027344009182383038,26
Moderate,site_month,LAI,0.11321148658389993,0.02398469109724158,26
Moderate,site_month,soil_moisture,0.09075186887479111,0.011543553594572077,26
Moderate,site_month,Duration_days,0.08870200336213507,0.012491858959581133,26
Moderate,site_month,SPI_intensity,0.07335908054074455,0.010896455275037758,26
Moderate,site_month,aspect_sin,0.04698007445087879,0.010099645995563875,26
Moderate,site_month,slope,0.04586214905864584,0.014033009893426344,26
Moderate,site_month,canopy_height,0.03690514420239995,0.011272136813127965,26
Moderate,site_month,aspect_cos,0.030359437464991906,0.006630147295836274,26
