DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Moderate,site,elevation,0.21104217463826314,0.011398448701373829,1.0,0.0
Moderate,site,soil_temperature,0.1442887764456854,0.015466486485578143,2.0,0.0
Moderate,site,SPI_intensity,0.116166298108651,0.019938101151103716,3.2,0.447213595499958
Moderate,site,Duration_days,0.08520517820715856,0.008955409345633946,5.0,0.7071067811865475
Moderate,site,slope,0.08648990856579315,0.011404312355986185,5.0,1.0
Moderate,site,FAPAR,0.08151337885484766,0.016602481913642712,5.2,1.9235384061671346
Moderate,site,soil_moisture,0.06086080880208535,0.013174613223020827,8.0,1.7320508075688772
Moderate,site,canopy_height,0.056303761582012446,0.006276366510704375,8.8,1.3038404810405297
Moderate,site,aspect_cos,0.050848929059458495,0.015552412785936942,9.0,2.1213203435596424
Moderate,site,LAI,0.05250374916418506,0.006481369476775908,9.4,1.140175425099138
Moderate,site,aspect_sin,0.054777036571859686,0.007759244656708568,9.4,1.51657508881031
