DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Extreme,site_month,slope,0.32646047319876886,0.03566332179376657,1.0,0.0
Extreme,site_month,soil_temperature,0.1762157739532983,0.036350519689324345,2.2,0.447213595499958
Extreme,site_month,elevation,0.14341575040413487,0.024555995748354497,2.8,0.447213595499958
Extreme,site_month,soil_moisture,0.0765187607604423,0.013800297848473442,4.4,0.5477225575051662
Extreme,site_month,SPI_intensity,0.0743310178031972,0.014598721196311316,4.8,0.8366600265340756
Extreme,site_month,aspect_cos,0.04769546936399029,0.011422681138700581,6.4,1.140175425099138
Extreme,site_month,aspect_sin,0.045050160557246186,0.009239245090319764,6.8,0.8366600265340756
Extreme,site_month,Duration_days,0.035018849031985065,0.005366212683955898,8.2,0.8366600265340757
Extreme,site_month,LAI,0.030072050305034785,0.007939169019874515,9.2,1.3038404810405297
Extreme,site_month,FAPAR,0.026136862410296342,0.004699601662329535,9.8,0.8366600265340753
Extreme,site_month,canopy_height,0.019084832211605892,0.007733266497687136,10.4,1.3416407864998738
