DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Mild,site_month,soil_temperature,0.2941586013297804,0.013453651998960594,1.0,0.0
Mild,site_month,Duration_days,0.21855874633369038,0.007254345829626973,2.0,0.0
Mild,site_month,soil_moisture,0.09538016195917239,0.006392600143149885,3.0,0.0
Mild,site_month,SPI_intensity,0.07531444247852023,0.00853655949612436,4.2,0.44721359549995787
Mild,site_month,FAPAR,0.06267762891654531,0.006375782282725023,5.4,0.5477225575051662
Mild,site_month,aspect_sin,0.06127131599397086,0.009665188214055381,6.0,1.5811388300841898
Mild,site_month,LAI,0.052612605479971083,0.008661611117644573,6.8,0.8366600265340756
Mild,site_month,elevation,0.04793282666375896,0.006525250388396418,7.8,0.8366600265340756
Mild,site_month,aspect_cos,0.03758099932547569,0.0058003196377032695,8.8,0.44721359549995815
Mild,site_month,slope,0.030280281588237666,0.0027407158340616686,10.0,0.0
Mild,site_month,canopy_height,0.02423238993087702,0.0028068901977062553,11.0,0.0
