DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Mild,site,soil_temperature,0.5282726255939333,0.008890917534938068,1.0,0.0
Mild,site,elevation,0.20169227293212,0.020159406108271372,2.0,0.0
Mild,site,slope,0.06365630728659281,0.011506447067580304,3.2,0.447213595499958
Mild,site,FAPAR,0.03464636387199775,0.002842774151625186,4.6,0.547722557505166
Mild,site,soil_moisture,0.030243939867692173,0.0032846934871425776,6.0,1.0
Mild,site,SPI_intensity,0.032320861408576027,0.012692719989040188,6.6,3.0495901363953815
Mild,site,aspect_cos,0.02619577716081851,0.004475996536591414,7.6,1.51657508881031
Mild,site,aspect_sin,0.02630856653759094,0.009674881498305522,7.8,2.280350850198276
Mild,site,LAI,0.024308888983351838,0.0059000046535372065,8.0,1.2247448713915892
Mild,site,Duration_days,0.023375407984162943,0.006000023186418832,8.2,2.04939015319192
Mild,site,canopy_height,0.008978988373163686,0.0028465975786227103,11.0,0.0
Mild,site_month,soil_temperature,0.2941586013297804,0.013453651998960594,1.0,0.0
Mild,site_month,Duration_days,0.21855874633369038,0.007254345829626973,2.0,0.0
Mild,site_month,soil_moisture,0.09538016195917239,0.006392600143149885,3.0,0.0
Mild,site_month,SPI_intensity,0.07531444247852023,0.00853655949612436,4.2,0.44721359549995787
Mild,site_month,FAPAR,0.06267762891654531,0.006375782282725023,5.4,0.5477225575051662
Mild,site_month,aspect_sin,0.06127131599397086,0.009665188214055381,6.0,1.5811388300841898
Mild,site_month,LAI,0.052612605479971083,0.008661611117644573,6.8,0.8366600265340756
Mild,site_month,elevation,0.04793282666375896,0.006525250388396418,7.8,0.8366600265340756
Mild,site_month,aspect_cos,0.03758099932547569,0.0058003196377032695,8.8,0.44721359549995815
Mild,site_month,slope,0.030280281588237666,0.0027407158340616686,10.0,0.0
Mild,site_month,canopy_height,0.02423238993087702,0.0028068901977062553,11.0,0.0
Moderate,site,elevation,0.21104217463826314,0.011398448701373829,1.0,0.0
Moderate,site,soil_temperature,0.1442887764456854,0.015466486485578143,2.0,0.0
Moderate,site,SPI_intensity,0.116166298108651,0.019938101151103716,3.2,0.447213595499958
Moderate,site,Duration_days,0.08520517820715856,0.008955409345633946,5.0,0.7071067811865475
Moderate,site,slope,0.08648990856579315,0.011404312355986185,5.0,1.0
Moderate,site,FAPAR,0.08151337885484766,0.016602481913642712,5.2,1.9235384061671346
Moderate,site,soil_moisture,0.06086080880208535,0.013174613223020827,8.0,1.7320508075688772
Moderate,site,canopy_height,0.056303761582012446,0.006276366510704375,8.8,1.3038404810405297
Moderate,site,aspect_cos,0.050848929059458495,0.015552412785936942,9.0,2.1213203435596424
Moderate,site,LAI,0.05250374916418506,0.006481369476775908,9.4,1.140175425099138
Moderate,site,aspect_sin,0.054777036571859686,0.007759244656708568,9.4,1.51657508881031
Moderate,site_month,elevation,0.1689422669029442,0.012648300080952251,1.4,0.5477225575051662
Moderate,site_month,FAPAR,0.15885317000201998,0.01354304852012682,2.2,1.0954451150103324
Moderate,site_month,soil_temperature,0.15599590636195984,0.010411946660190418,2.4,0.5477225575051662
Moderate,site_month,LAI,0.11321680003160303,0.013959953818258592,4.0,0.0
Moderate,site_month,soil_moisture,0.09123544792418373,0.00796285222395168,5.4,0.547722557505166
Moderate,site_month,Duration_days,0.08204893329365953,0.010166332700799455,5.8,0.8366600265340756
Moderate,site_month,SPI_intensity,0.07218024203906856,0.0049488501425076666,6.8,0.44721359549995804
Moderate,site_month,aspect_sin,0.05299807450591083,0.009129869125402968,8.0,0.0
Moderate,site_month,slope,0.04146738706372487,0.0044861336382284725,9.0,0.0
Moderate,site_month,canopy_height,0.03348733029396557,0.002496983754133481,10.4,0.547722557505166
Moderate,site_month,aspect_cos,0.029574441580959905,0.006999458112661591,10.6,0.547722557505166
Severe,site,elevation,0.3585305654252324,0.043587312323345874,1.0,0.0
Severe,site,slope,0.21863717241473984,0.038285344235284666,2.0,0.0
Severe,site,soil_temperature,0.1501678156149197,0.030872597681666336,3.2,0.4472135954999579
Severe,site,FAPAR,0.08449032603238796,0.023510570360703417,4.2,0.8366600265340753
Severe,site,aspect_sin,0.07224305963109676,0.01508801131348468,4.6,0.5477225575051663
Severe,site,LAI,0.03888494846432097,0.012700350252554862,6.2,0.44721359549995804
Severe,site,SPI_intensity,0.021110484927820746,0.005023735050955298,7.8,1.3038404810405297
