,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.6611519242179877,-0.030261376633440123,-0.37362637362637363,0.07692307692307693,-0.25824175824175827,-0.47802197802197804,-0.4945054945054945,-0.5117688079034979,0.13186813186813187,-0.08791208791208792
Duration_days,0.6611519242179877,1.0,-0.030599503068105226,-0.2777949261420117,0.16112105716236677,-0.5166985626241417,-0.41113649069017727,-0.427804186258698,-0.6909151726381941,-0.1000061734111242,0.1333415645481656
elevation,-0.030261376633440123,-0.030599503068105226,1.0,-0.27510342394036474,0.1100413695761459,-0.06877585598509119,-0.2613482527433465,-0.30261376633440124,0.10526477337621908,0.01100413695761459,-0.2200827391522918
slope,-0.37362637362637363,-0.2777949261420117,-0.27510342394036474,1.0,-0.5384615384615384,-0.1043956043956044,0.3021978021978022,0.3956043956043956,0.3042949668615393,0.2032967032967033,0.3076923076923077
aspect_sin,0.07692307692307693,0.16112105716236677,0.1100413695761459,-0.5384615384615384,1.0,-0.26373626373626374,-0.5494505494505495,-0.6153846153846154,-0.3845181853977633,0.038461538461538464,-0.4010989010989011
aspect_cos,-0.25824175824175827,-0.5166985626241417,-0.06877585598509119,-0.1043956043956044,-0.26373626373626374,1.0,0.29120879120879123,0.2857142857142857,0.3015286489809798,-0.3626373626373626,-0.13736263736263737
LAI,-0.47802197802197804,-0.41113649069017727,-0.2613482527433465,0.3021978021978022,-0.5494505494505495,0.29120879120879123,1.0,0.989010989010989,0.4675077218145467,-0.21978021978021978,0.6868131868131868
FAPAR,-0.4945054945054945,-0.427804186258698,-0.30261376633440124,0.3956043956043956,-0.6153846153846154,0.2857142857142857,0.989010989010989,1.0,0.4564424502923089,-0.23076923076923078,0.6758241758241759
canopy_height,-0.5117688079034979,-0.6909151726381941,0.10526477337621908,0.3042949668615393,-0.3845181853977633,0.3015286489809798,0.4675077218145467,0.4564424502923089,1.0,0.2959960132198609,-0.07745690065566455
soil_moisture,0.13186813186813187,-0.1000061734111242,0.01100413695761459,0.2032967032967033,0.038461538461538464,-0.3626373626373626,-0.21978021978021978,-0.23076923076923078,0.2959960132198609,1.0,-0.29120879120879123
soil_temperature,-0.08791208791208792,0.1333415645481656,-0.2200827391522918,0.3076923076923077,-0.4010989010989011,-0.13736263736263737,0.6868131868131868,0.6758241758241759,-0.07745690065566455,-0.29120879120879123,1.0
