,SPI_intensity,Duration_days,elevation,slope,aspect_sin,aspect_cos,LAI,FAPAR,canopy_height,soil_moisture,soil_temperature
SPI_intensity,1.0,0.5740133931343131,-0.07079676820129574,-0.35224846581145225,0.10464284967620548,-0.16654425371001716,-0.4176470588235294,-0.4323529411764706,-0.5746370073990282,0.04411764705882353,-0.05588235294117647
Duration_days,0.5740133931343131,1.0,-0.07084503823201993,-0.4061265198493482,0.5819904807382403,-0.3152137943050905,-0.69149281815403,-0.706363631447665,-0.422673149132677,0.05353492785708619,-0.38515406430514787
elevation,-0.07079676820129574,-0.07084503823201993,1.0,-0.1788618374709897,0.13008133634253796,-0.27494464272400065,-0.261063082742278,-0.2861369381469036,0.1340313044992557,0.19469111255356328,-0.1740420551615187
slope,-0.35224846581145225,-0.4061265198493482,-0.1788618374709897,1.0,-0.4859675036927622,-0.08419497784342689,0.22402412888427087,0.28887321882445455,0.23214928320357558,0.2623440456671067,0.1753873114291331
aspect_sin,0.10464284967620548,0.5819904807382403,0.13008133634253796,-0.4859675036927622,1.0,-0.11964549483013294,-0.5777464376489091,-0.6219617262444889,-0.2619120118194186,0.11790743625487941,-0.4229929275643799
aspect_cos,-0.16654425371001716,-0.3152137943050905,-0.27494464272400065,-0.08419497784342689,-0.11964549483013294,1.0,0.17096578256957515,0.16801809666320316,0.13542041520208575,-0.5040542899896094,-0.21075954230559693
LAI,-0.4176470588235294,-0.69149281815403,-0.261063082742278,0.22402412888427087,-0.5777464376489091,0.17096578256957515,1.0,0.9941176470588236,0.4365459436054633,-0.2088235294117647,0.6235294117647059
FAPAR,-0.4323529411764706,-0.706363631447665,-0.2861369381469036,0.28887321882445455,-0.6219617262444889,0.16801809666320316,0.9941176470588236,1.0,0.42912169286387375,-0.21470588235294116,0.6088235294117647
canopy_height,-0.5746370073990282,-0.422673149132677,0.1340313044992557,0.23214928320357558,-0.2619120118194186,0.13542041520208575,0.4365459436054633,0.42912169286387375,1.0,0.3177579317400311,-0.20490932046787053
soil_moisture,0.04411764705882353,0.05353492785708619,0.19469111255356328,0.2623440456671067,0.11790743625487941,-0.5040542899896094,-0.2088235294117647,-0.21470588235294116,0.3177579317400311,1.0,-0.32941176470588235
soil_temperature,-0.05588235294117647,-0.38515406430514787,-0.1740420551615187,0.1753873114291331,-0.4229929275643799,-0.21075954230559693,0.6235294117647059,0.6088235294117647,-0.20490932046787053,-0.32941176470588235,1.0
