DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Mild,site,soil_temperature,0.0010791263029871169,0.0009173185401373732,5
Mild,site,elevation,0.0003471031792203151,0.00037237202548459256,5
Mild,site,aspect_cos,7.705547554052174e-06,1.9820842311557532e-05,5
Mild,site,canopy_height,5.3532726720413395e-06,2.1480202809870187e-05,5
Mild,site,soil_moisture,3.219697930928635e-06,7.505432009458084e-05,5
Mild,site,SPI_intensity,-1.758176439369902e-08,2.1809518803222266e-05,5
Mild,site,Duration_days,-1.782398695766471e-05,5.985327803656088e-05,5
Mild,site,slope,-1.8984469753587737e-05,3.743247674164911e-05,5
Mild,site,LAI,-2.4964946667424596e-05,9.6147921123094e-05,5
Mild,site,FAPAR,-5.4879849744582927e-05,5.6303466919624004e-05,5
Mild,site,aspect_sin,-5.4981565541176756e-05,3.8358872114398596e-05,5
Mild,site_month,soil_temperature,0.0017819688661407545,0.002750368154868883,27
Mild,site_month,Duration_days,0.0012640630229127357,0.0019396226108093551,27
Mild,site_month,soil_moisture,9.053136286483866e-05,0.00033334525942168485,27
Mild,site_month,aspect_sin,-5.621789042517431e-20,1.1178290511337276e-18,27
Mild,site_month,elevation,-9.075173740063853e-20,1.1596096493309728e-18,27
Mild,site_month,canopy_height,-1.100264426892697e-19,1.0976121531324813e-18,27
Mild,site_month,slope,-1.1243578085034863e-19,1.0697110798110577e-18,27
Mild,site_month,aspect_cos,-1.2528558437610272e-19,1.15403331938404e-18,27
Mild,site_month,FAPAR,-2.5050889031549085e-05,0.0006505633705063785,27
Mild,site_month,SPI_intensity,-2.985944102370887e-05,0.0006192691636159409,27
Mild,site_month,LAI,-0.00020413996851312838,0.00043158960611512203,27
Moderate,site,elevation,0.000211870080998086,0.00030110786719260245,5
Moderate,site,FAPAR,0.00018182457325913696,0.0001282832249969511,5
Moderate,site,LAI,5.186070344047611e-05,0.00010877919626613302,5
Moderate,site,soil_temperature,-3.291315359168732e-05,0.0003932009203837829,5
Moderate,site,SPI_intensity,-7.120037449657055e-05,0.0002665228083432116,5
Moderate,site,canopy_height,-7.236722244030865e-05,0.0001728804927044644,5
Moderate,site,soil_moisture,-0.00014204749949005114,0.00018944736996893532,5
Moderate,site,aspect_sin,-0.0001429167388479939,0.00031219250198046136,5
Moderate,site,slope,-0.00019394840075345925,0.00023967538008854585,5
Moderate,site,aspect_cos,-0.00022405677114670388,0.0003433684120648239,5
Moderate,site,Duration_days,-0.0003262878112090987,0.0005624048163684445,5
Moderate,site_month,soil_temperature,0.0010260244280125216,0.0015794071216219138,23
Moderate,site_month,FAPAR,0.000771388019634779,0.0021354092536072728,23
Moderate,site_month,Duration_days,0.000367281556013726,0.0008784526133696529,23
Moderate,site_month,LAI,0.00014530789556136404,0.0012477480627166061,23
Moderate,site_month,SPI_intensity,2.5770326042134608e-05,0.00039282722898400173,23
Moderate,site_month,elevation,-5.091036288192805e-20,7.727723785598273e-19,23
Moderate,site_month,aspect_cos,-5.656706986880894e-20,7.136215713463142e-19,23
Moderate,site_month,aspect_sin,-7.165162183382465e-20,7.532722095766975e-19,23
Moderate,site_month,canopy_height,-1.0182072576385607e-19,6.492859398757644e-19,23
Moderate,site_month,slope,-1.0559186375511e-19,5.915812403852243e-19,23
Moderate,site_month,soil_moisture,-0.00012904607140844614,0.00045358647295959176,23
Severe,site_month,soil_temperature,0.0008893084358047794,0.0018172766860456164,4
Severe,site_month,slope,1.452830911130576e-18,1.5178830414797062e-18,4
Severe,site_month,canopy_height,1.4311468676808658e-18,1.6661474901406281e-18,4
Severe,site_month,aspect_cos,1.3660947373317357e-18,1.6248087824007932e-18,4
Severe,site_month,elevation,1.3660947373317357e-18,1.6248087824007932e-18,4
Severe,site_month,aspect_sin,1.3444106938820255e-18,1.5922644930580818e-18,4
Severe,site_month,soil_moisture,-1.2676773294991026e-05,6.662379036695463e-05,4
Severe,site_month,LAI,-0.0001869420673399916,0.0004446653034460241,4
Severe,site_month,Duration_days,-0.00022226415311961604,0.00028576542231700293,4
Severe,site_month,SPI_intensity,-0.0002651733181801608,0.0006068493883026488,4
Severe,site_month,FAPAR,-0.0004090257828090403,0.0007365511776506818,4
