DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Mild,site,soil_temperature,0.486252133127765,0.12304316668161977,5
Mild,site,elevation,0.2075490025995494,0.11029271303655525,5
Mild,site,slope,0.05496252463328084,0.02264143052911455,5
Mild,site,SPI_intensity,0.03964662251763414,0.02293006076050603,5
Mild,site,aspect_sin,0.03824982837104947,0.020407219310592077,5
Mild,site,aspect_cos,0.03593644079149222,0.02241330238165381,5
Mild,site,FAPAR,0.03357880313100565,0.00785046695856351,5
Mild,site,LAI,0.03228481329029083,0.01831760041321576,5
Mild,site,soil_moisture,0.031935256539706115,0.00942243379689702,5
Mild,site,Duration_days,0.02758300720173935,0.009878009735381013,5
Mild,site,canopy_height,0.01202156779648697,0.002367136145117584,5
Mild,site_month,soil_temperature,0.3016125563996062,0.027331700017585246,27
Mild,site_month,Duration_days,0.20599644379982293,0.02557317606790809,27
Mild,site_month,soil_moisture,0.09646991990657654,0.009151632684863634,27
Mild,site_month,SPI_intensity,0.0807415955220324,0.006336551517134591,27
Mild,site_month,aspect_sin,0.06117050360690928,0.007878310498224923,27
Mild,site_month,FAPAR,0.05820911283844139,0.006855756593890139,27
Mild,site_month,elevation,0.052120277309594884,0.006755564003867901,27
Mild,site_month,LAI,0.05161331701823091,0.004632401112681216,27
Mild,site_month,aspect_cos,0.037499333103281615,0.004532349388943631,27
Mild,site_month,slope,0.030255326111019082,0.0027150517565885926,27
Mild,site_month,canopy_height,0.024311614384484807,0.0028062890168330983,27
Moderate,site,elevation,0.1520064707838969,0.0561876082941512,5
Moderate,site,slope,0.13948393958752048,0.037523157361056894,5
Moderate,site,soil_temperature,0.12303439086320422,0.06035229451518151,5
Moderate,site,SPI_intensity,0.1051305812016003,0.023668482501343492,5
Moderate,site,Duration_days,0.08282754829077879,0.018980768729555654,5
Moderate,site,FAPAR,0.07982932255457727,0.03915205435018831,5
Moderate,site,soil_moisture,0.0684762193005832,0.03772225489960386,5
Moderate,site,aspect_sin,0.06817066141105332,0.04077982641786751,5
Moderate,site,aspect_cos,0.06365639213415618,0.014750358639565414,5
Moderate,site,canopy_height,0.06217828371745424,0.01925019144577794,5
Moderate,site,LAI,0.055206190155175125,0.012434649447427282,5
Moderate,site_month,elevation,0.16350263924200117,0.02578053519448741,26
Moderate,site_month,soil_temperature,0.16002608125211412,0.02009660724238793,26
Moderate,site_month,FAPAR,0.15077038691300848,0.019555823712934576,26
Moderate,site_month,LAI,0.1157939149726067,0.01713938534284504,26
Moderate,site_month,soil_moisture,0.09099056523383652,0.010615907628632534,26
Moderate,site_month,Duration_days,0.08932025976264064,0.009997363751731944,26
Moderate,site_month,SPI_intensity,0.07276155059012411,0.0069499127757859085,26
Moderate,site_month,aspect_sin,0.04710714092442794,0.008797990031861698,26
Moderate,site_month,slope,0.04402087238744086,0.01065691935746173,26
Moderate,site_month,canopy_height,0.036106347367069185,0.010343086588953858,26
Moderate,site_month,aspect_cos,0.02960024135473027,0.004131492785298394,26
Severe,site,elevation,0.3329457861281714,0.07982626600301387,23
Severe,site,slope,0.2277548551329375,0.05748897461810846,23
Severe,site,soil_temperature,0.15401765035914353,0.04267334627203659,23
Severe,site,FAPAR,0.09207874219625688,0.027957066908702578,23
Severe,site,aspect_sin,0.07398476631061982,0.02013892505146579,23
Severe,site,LAI,0.034702686120746305,0.008121331309633932,23
Severe,site,SPI_intensity,0.020084520086878426,0.004672411655258114,23
Severe,site,aspect_cos,0.01838456975989083,0.004426472548746067,23
Severe,site,Duration_days,0.017606479800588888,0.00572260826832819,23
Severe,site,soil_moisture,0.016130267742717985,0.00534543214639868,23
Severe,site,canopy_height,0.012309676362048482,0.003987258791974894,23
Severe,site_month,elevation,0.36209760688959075,0.06654615386598338,23
Severe,site_month,slope,0.17586359914865646,0.04105916556681468,23
Severe,site_month,soil_temperature,0.1569459675876805,0.030457406015441526,23
Severe,site_month,LAI,0.06173465488139008,0.013735305712326142,23
Severe,site_month,SPI_intensity,0.06167068535952537,0.007704294281892988,23
Severe,site_month,FAPAR,0.041834237156240184,0.008044716713419756,23
Severe,site_month,soil_moisture,0.04063357314500522,0.008802140958103473,23
Severe,site_month,aspect_sin,0.03264540158543168,0.006698408145986278,23
Severe,site_month,Duration_days,0.03186187496213957,0.006718416030535392,23
Severe,site_month,canopy_height,0.017616333479253447,0.004010751918649841,23
Severe,site_month,aspect_cos,0.017096065805086682,0.003784442520645639,23
Extreme,site,slope,0.3848572125302398,0.09837958064671529,13
Extreme,site,elevation,0.14112032370593644,0.0628079400034191,13
Extreme,site,soil_temperature,0.1400155234212663,0.06027617619015165,13
Extreme,site,soil_moisture,0.08266723012704413,0.02349574185467696,13
Extreme,site,aspect_cos,0.05729107248217392,0.0206728947717469,13
Extreme,site,aspect_sin,0.053772040686081615,0.025208714789999212,13
Extreme,site,SPI_intensity,0.043364050242982705,0.012964282843043877,13
Extreme,site,LAI,0.029113469841625314,0.012373783681948445,13
Extreme,site,canopy_height,0.025397071762870014,0.007476541748142836,13
Extreme,site,FAPAR,0.021481252227543542,0.006721942226956008,13
Extreme,site,Duration_days,0.020920752972236254,0.009847280396653321,13
Extreme,site_month,slope,0.3339674576353811,0.09614013611024476,13
Extreme,site_month,soil_temperature,0.1644820231484957,0.060235427728830546,13
Extreme,site_month,elevation,0.12753269942393283,0.05813671303188523,13
Extreme,site_month,SPI_intensity,0.08129046146983301,0.03139372032905747,13
Extreme,site_month,soil_moisture,0.07439345230319885,0.03144420581872891,13
Extreme,site_month,aspect_cos,0.051662890234659815,0.0226259677830558,13
Extreme,site_month,aspect_sin,0.04571129497685711,0.021493818204232996,13
Extreme,site_month,Duration_days,0.033926452504131545,0.009004092552132026,13
Extreme,site_month,LAI,0.030785844851402906,0.01036866936171453,13
Extreme,site_month,canopy_height,0.02944741163775929,0.011841930525351508,13
Extreme,site_month,FAPAR,0.026800011814347876,0.006514566500493178,13
