DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Mild,site,soil_temperature,0.0025905355685420864,9.489949863942417e-05,1.0,0.0
Mild,site,elevation,0.0007080192363952958,5.7964067350604954e-05,2.0,0.0
Mild,site,slope,0.0001097668998612374,1.0536624563550089e-05,3.0,0.0
Mild,site,FAPAR,7.049568601284876e-05,5.7882308163911665e-06,4.05,0.223606797749979
Mild,site,aspect_sin,5.3115442162955205e-05,6.60483866312937e-06,6.15,1.348488432516786
Mild,site,aspect_cos,4.8706791204352595e-05,8.039648787942853e-06,6.8,1.7044832524535807
Mild,site,SPI_intensity,4.858111909848755e-05,5.2808300886466125e-06,7.0,1.2139539573337679
Mild,site,soil_moisture,4.9599991368178e-05,6.6167720094731224e-06,7.15,1.3869694338832113
Mild,site,Duration_days,4.5437898896086254e-05,4.422920165439373e-06,8.0,1.213953957333768
Mild,site,LAI,3.4778041854280104e-05,3.628058295639301e-06,9.85,0.4893604849295928
Mild,site,canopy_height,7.96029184729943e-06,1.981296506960307e-06,11.0,0.0
Mild,site_month,soil_temperature,0.0042829280538907956,0.00012574978596743106,1.0,0.0
Mild,site_month,Duration_days,0.0031848488670623808,0.00023454388339722625,2.0,0.0
Mild,site_month,soil_moisture,0.000999966820239496,5.977179649522729e-05,3.05,0.223606797749979
Mild,site_month,SPI_intensity,0.0008908682063495201,4.802302014792095e-05,4.05,0.223606797749979
Mild,site_month,elevation,0.0007915652851672548,4.902229885270107e-05,4.9,0.447213595499958
Mild,site_month,aspect_sin,0.0006461769291689288,4.228917278902183e-05,6.2,0.41039134083406165
Mild,site_month,FAPAR,0.0005863331777285553,4.557796059007967e-05,6.85,0.48936048492959294
Mild,site_month,aspect_cos,0.0004846100087371754,4.123543816857897e-05,8.25,0.5501196042201811
Mild,site_month,LAI,0.00046792489491433615,4.3764577504759044e-05,8.7,0.47016234598162754
Mild,site_month,slope,0.00025368370056855856,1.8698919627403992e-05,10.0,0.0
Mild,site_month,canopy_height,0.00017710046328215493,1.5257997257151827e-05,11.0,0.0
Moderate,site,elevation,0.0010253930240631526,6.690841610713242e-05,1.0,0.0
Moderate,site,soil_temperature,0.0005530149028804877,5.5345428071555904e-05,2.35,0.6708203932499369
Moderate,site,SPI_intensity,0.0004935818668838647,4.474403906355808e-05,2.85,0.5871429486123998
Moderate,site,FAPAR,0.0004061585762793635,4.9754551082583726e-05,4.15,0.7451598203705947
Moderate,site,slope,0.0003706902548525537,3.436879097710615e-05,4.65,0.4893604849295928
Moderate,site,soil_moisture,0.0002660484261015613,3.158426372350484e-05,6.45,0.6048053188292994
Moderate,site,canopy_height,0.00023290569197540107,2.8238622965652533e-05,7.4,1.2732056517228263
Moderate,site,Duration_days,0.00020919662821896793,2.2669251463988642e-05,8.55,1.3168942730211068
Moderate,site,LAI,0.00020734825220236822,2.167919866907335e-05,8.85,1.089422831256605
Moderate,site,aspect_sin,0.00020332524928326308,2.3311393759869495e-05,8.9,1.2096106376585987
Moderate,site,aspect_cos,0.00015100783417238962,2.2586795698558732e-05,10.85,0.48936048492959294
Moderate,site_month,elevation,0.002413784937967653,0.00011503175138768587,1.0,0.0
Moderate,site_month,soil_temperature,0.002135079147433074,8.048520909444221e-05,2.0,0.0
Moderate,site_month,FAPAR,0.0017171666791358925,9.145688193820424e-05,3.0,0.0
Moderate,site_month,Duration_days,0.0012369003688597262,7.459413961029247e-05,4.0,0.0
Moderate,site_month,LAI,0.0009136831763833341,5.84275326288673e-05,5.0,0.0
Moderate,site_month,soil_moisture,0.0007533037545214602,4.812988930004227e-05,6.0,0.0
Moderate,site_month,SPI_intensity,0.0005751927725851859,5.371609230670916e-05,7.1,0.30779350562554625
Moderate,site_month,aspect_sin,0.000482739856633534,4.3312717663898904e-05,8.0,0.45883146774112354
Moderate,site_month,slope,0.0003779444950162597,4.090139700692666e-05,8.9,0.3077935056255462
Moderate,site_month,canopy_height,0.000248737977404164,2.6616311985466362e-05,10.0,0.0
Moderate,site_month,aspect_cos,0.0001617967088205793,1.5814344910722526e-05,11.0,0.0
Severe,site,elevation,0.002997482679540162,0.00029946156340025906,1.0,0.0
Severe,site,slope,0.0013247258541689763,0.00014542219641268522,2.0,0.0
Severe,site,soil_temperature,0.0005849970167860898,5.488873316042598e-05,3.0,0.0
Severe,site,FAPAR,0.00029890448857384274,3.197900297160365e-05,4.05,0.223606797749979
Severe,site,aspect_sin,0.00021134358600832914,3.2271641422192124e-05,5.0,0.3244428422615251
Severe,site,LAI,0.00013747963144018598,1.9280500963661303e-05,5.95,0.22360679774997896
Severe,site,SPI_intensity,5.3226702128381296e-05,1.1879872075408304e-05,7.55,0.8255779474818964
Severe,site,Duration_days,5.172235108429357e-05,1.2133734591021772e-05,8.1,1.1652874052533582
Severe,site,aspect_cos,3.765851800006203e-05,6.753843437895153e-06,9.2,1.105012502906165
Severe,site,soil_moisture,3.702115308913676e-05,6.49309683289906e-06,9.45,0.6863327411532599
Severe,site,canopy_height,2.867852316127798e-05,5.022656969528462e-06,10.7,0.6569466853317865
Severe,site_month,elevation,0.004370492124815982,0.0002915536454481436,1.0,0.0
Severe,site_month,slope,0.002736952225633721,0.00024413336669525202,2.0,0.0
Severe,site_month,soil_temperature,0.0012749598691561674,0.00012455961394105462,3.0,0.0
Severe,site_month,SPI_intensity,0.0005994740577787174,5.1403745811236895e-05,4.35,0.489360484929593
Severe,site_month,LAI,0.0005595107588781908,6.260577680174921e-05,4.65,0.489360484929593
Severe,site_month,soil_moisture,0.00028812784843481416,3.827621481470779e-05,6.2,0.41039134083406165
Severe,site_month,FAPAR,0.00024051456444755805,3.0044977476536713e-05,6.95,0.6863327411532596
Severe,site_month,aspect_sin,0.00020112766386496875,3.093828075282011e-05,8.3,0.5712405705774797
Severe,site_month,Duration_days,0.00018333042308232535,1.7777439294248302e-05,8.6,0.6805570473787207
Severe,site_month,canopy_height,0.00013128222058925718,1.7659013233781118e-05,10.05,0.3940344628262062
Severe,site_month,aspect_cos,0.0001022664457379537,1.5171729350539437e-05,10.9,0.3077935056255462
Extreme,site,slope,0.00269484487140786,0.00027005054206796737,1.0,0.0
Extreme,site,elevation,0.000993195771904772,0.00012313977235451054,2.1,0.3077935056255464
Extreme,site,soil_temperature,0.0007671961624084631,0.00012675720955048788,2.9,0.3077935056255464
Extreme,site,aspect_sin,0.00022432471523097587,3.596815895444512e-05,4.1,0.3077935056255463
Extreme,site,soil_moisture,0.00016171130462135953,3.4372731348371467e-05,5.25,0.6386663736585051
Extreme,site,aspect_cos,0.00014881479613282263,3.272334681811681e-05,5.65,0.48936048492959283
Extreme,site,SPI_intensity,6.596245976449722e-05,1.5043341721114734e-05,7.45,0.7591546545162482
Extreme,site,LAI,5.3952317146735714e-05,1.9380969232132223e-05,8.2,1.2396943596157715
Extreme,site,FAPAR,3.286183928253239e-05,9.40351532773072e-06,9.6,0.9947229183096796
Extreme,site,canopy_height,3.2032486306960624e-05,9.709444132224676e-06,9.75,1.1180339887498947
Extreme,site,Duration_days,3.2434494028672065e-05,9.634410378460829e-06,10.0,0.9733285267845756
Extreme,site_month,slope,0.001960648990571658,0.00017524326038069842,1.0,0.0
Extreme,site_month,elevation,0.0010297661683189288,0.00013032473111712886,2.1,0.3077935056255463
Extreme,site_month,soil_temperature,0.0008440628422333666,9.684259011732323e-05,2.9,0.3077935056255463
Extreme,site_month,aspect_sin,0.0002388093213375639,3.9676383254360625e-05,4.3,0.4701623459816272
Extreme,site_month,SPI_intensity,0.00020886050978255471,3.913705903495429e-05,4.95,0.8870412083230169
Extreme,site_month,soil_moisture,0.0001512051473203631,2.954114795524897e-05,6.6,0.8825799501580879
Extreme,site_month,aspect_cos,0.0001394603589220811,3.0418797490241375e-05,7.1,1.1192102478745307
Extreme,site_month,Duration_days,0.00013607811564392557,2.6973667896944132e-05,7.25,1.019545822516343
