DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Severe,site_month,soil_temperature,0.0008893084358047794,0.0018172766860456164,4
Severe,site_month,slope,1.452830911130576e-18,1.5178830414797062e-18,4
Severe,site_month,canopy_height,1.4311468676808658e-18,1.6661474901406281e-18,4
Severe,site_month,aspect_cos,1.3660947373317357e-18,1.6248087824007932e-18,4
Severe,site_month,elevation,1.3660947373317357e-18,1.6248087824007932e-18,4
Severe,site_month,aspect_sin,1.3444106938820255e-18,1.5922644930580818e-18,4
Severe,site_month,soil_moisture,-1.2676773294991026e-05,6.662379036695463e-05,4
Severe,site_month,LAI,-0.0001869420673399916,0.0004446653034460241,4
Severe,site_month,Duration_days,-0.00022226415311961604,0.00028576542231700293,4
Severe,site_month,SPI_intensity,-0.0002651733181801608,0.0006068493883026488,4
Severe,site_month,FAPAR,-0.0004090257828090403,0.0007365511776506818,4
