DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Extreme,site,slope,0.3848572125302398,0.09837958064671529,13
Extreme,site,elevation,0.14112032370593644,0.0628079400034191,13
Extreme,site,soil_temperature,0.1400155234212663,0.06027617619015165,13
Extreme,site,soil_moisture,0.08266723012704413,0.02349574185467696,13
Extreme,site,aspect_cos,0.05729107248217392,0.0206728947717469,13
Extreme,site,aspect_sin,0.053772040686081615,0.025208714789999212,13
Extreme,site,SPI_intensity,0.043364050242982705,0.012964282843043877,13
Extreme,site,LAI,0.029113469841625314,0.012373783681948445,13
Extreme,site,canopy_height,0.025397071762870014,0.007476541748142836,13
Extreme,site,FAPAR,0.021481252227543542,0.006721942226956008,13
Extreme,site,Duration_days,0.020920752972236254,0.009847280396653321,13
