DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Moderate,site_month,elevation,0.16350263924200117,0.02578053519448741,26
Moderate,site_month,soil_temperature,0.16002608125211412,0.02009660724238793,26
Moderate,site_month,FAPAR,0.15077038691300848,0.019555823712934576,26
Moderate,site_month,LAI,0.1157939149726067,0.01713938534284504,26
Moderate,site_month,soil_moisture,0.09099056523383652,0.010615907628632534,26
Moderate,site_month,Duration_days,0.08932025976264064,0.009997363751731944,26
Moderate,site_month,SPI_intensity,0.07276155059012411,0.0069499127757859085,26
Moderate,site_month,aspect_sin,0.04710714092442794,0.008797990031861698,26
Moderate,site_month,slope,0.04402087238744086,0.01065691935746173,26
Moderate,site_month,canopy_height,0.036106347367069185,0.010343086588953858,26
Moderate,site_month,aspect_cos,0.02960024135473027,0.004131492785298394,26
