DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Severe,site,elevation,0.3329457861281714,0.07982626600301387,23
Severe,site,slope,0.2277548551329375,0.05748897461810846,23
Severe,site,soil_temperature,0.15401765035914353,0.04267334627203659,23
Severe,site,FAPAR,0.09207874219625688,0.027957066908702578,23
Severe,site,aspect_sin,0.07398476631061982,0.02013892505146579,23
Severe,site,LAI,0.034702686120746305,0.008121331309633932,23
Severe,site,SPI_intensity,0.020084520086878426,0.004672411655258114,23
Severe,site,aspect_cos,0.01838456975989083,0.004426472548746067,23
Severe,site,Duration_days,0.017606479800588888,0.00572260826832819,23
Severe,site,soil_moisture,0.016130267742717985,0.00534543214639868,23
Severe,site,canopy_height,0.012309676362048482,0.003987258791974894,23
