DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Extreme,site,slope,0.3724384015384743,0.10146307272257342,13
Extreme,site,elevation,0.1551571392407451,0.07223258248514944,13
Extreme,site,soil_temperature,0.13212385576549018,0.06353667308612608,13
Extreme,site,soil_moisture,0.08527767684152424,0.034399701459893794,13
Extreme,site,aspect_cos,0.061103212562585774,0.025166478824143624,13
Extreme,site,aspect_sin,0.049295100069705576,0.022079440456762408,13
Extreme,site,SPI_intensity,0.04840457912346097,0.018522629687701977,13
Extreme,site,LAI,0.031108865780050416,0.016416640390222437,13
Extreme,site,Duration_days,0.025767076068572276,0.02004784595394862,13
Extreme,site,FAPAR,0.020085925573971097,0.00946444012135213,13
Extreme,site,canopy_height,0.019238167435420138,0.013441406593138609,13
