DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Mild,site,soil_temperature,0.48488249338796247,0.1305665643931667,5
Mild,site,elevation,0.21840540997708535,0.1246085429901825,5
Mild,site,slope,0.055347193019304096,0.026893853877848768,5
Mild,site,aspect_cos,0.037311518969779925,0.020867644459892795,5
Mild,site,LAI,0.035435413568621496,0.023916695872678948,5
Mild,site,soil_moisture,0.033852416468098244,0.01194380091299893,5
Mild,site,FAPAR,0.03365105541750933,0.008998830250999946,5
Mild,site,aspect_sin,0.033340404119308185,0.01726201837355847,5
Mild,site,SPI_intensity,0.030709954332661677,0.01748419679524039,5
Mild,site,Duration_days,0.024412148009672008,0.011675696787847738,5
Mild,site,canopy_height,0.012651992729997157,0.010811175301746662,5
