DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Mild,site_month,soil_temperature,0.3022759831645368,0.02916096526397266,27
Mild,site_month,Duration_days,0.20622630955722818,0.02561061825761059,27
Mild,site_month,soil_moisture,0.09566387270967457,0.015127942081608656,27
Mild,site_month,SPI_intensity,0.08213401382402721,0.008770934084286301,27
Mild,site_month,aspect_sin,0.05948162548312361,0.011941611213342026,27
Mild,site_month,FAPAR,0.0586524436674377,0.00984202118804164,27
Mild,site_month,LAI,0.05146081015364934,0.00904228790799388,27
Mild,site_month,elevation,0.05133682570354184,0.008980512858354333,27
Mild,site_month,aspect_cos,0.038580848346183395,0.007322062451941886,27
Mild,site_month,slope,0.030204398972132347,0.005967651417831251,27
Mild,site_month,canopy_height,0.023982868418465034,0.0046324875957545145,27
