DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Extreme,site,slope,0.00269484487140786,0.00027005054206796737,1.0,0.0
Extreme,site,elevation,0.000993195771904772,0.00012313977235451054,2.1,0.3077935056255464
Extreme,site,soil_temperature,0.0007671961624084631,0.00012675720955048788,2.9,0.3077935056255464
Extreme,site,aspect_sin,0.00022432471523097587,3.596815895444512e-05,4.1,0.3077935056255463
Extreme,site,soil_moisture,0.00016171130462135953,3.4372731348371467e-05,5.25,0.6386663736585051
Extreme,site,aspect_cos,0.00014881479613282263,3.272334681811681e-05,5.65,0.48936048492959283
Extreme,site,SPI_intensity,6.596245976449722e-05,1.5043341721114734e-05,7.45,0.7591546545162482
Extreme,site,LAI,5.3952317146735714e-05,1.9380969232132223e-05,8.2,1.2396943596157715
Extreme,site,FAPAR,3.286183928253239e-05,9.40351532773072e-06,9.6,0.9947229183096796
Extreme,site,canopy_height,3.2032486306960624e-05,9.709444132224676e-06,9.75,1.1180339887498947
Extreme,site,Duration_days,3.2434494028672065e-05,9.634410378460829e-06,10.0,0.9733285267845756
