DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Moderate,site_month,elevation,0.1689422669029442,0.012648300080952251,1.4,0.5477225575051662
Moderate,site_month,FAPAR,0.15885317000201998,0.01354304852012682,2.2,1.0954451150103324
Moderate,site_month,soil_temperature,0.15599590636195984,0.010411946660190418,2.4,0.5477225575051662
Moderate,site_month,LAI,0.11321680003160303,0.013959953818258592,4.0,0.0
Moderate,site_month,soil_moisture,0.09123544792418373,0.00796285222395168,5.4,0.547722557505166
Moderate,site_month,Duration_days,0.08204893329365953,0.010166332700799455,5.8,0.8366600265340756
Moderate,site_month,SPI_intensity,0.07218024203906856,0.0049488501425076666,6.8,0.44721359549995804
Moderate,site_month,aspect_sin,0.05299807450591083,0.009129869125402968,8.0,0.0
Moderate,site_month,slope,0.04146738706372487,0.0044861336382284725,9.0,0.0
Moderate,site_month,canopy_height,0.03348733029396557,0.002496983754133481,10.4,0.547722557505166
Moderate,site_month,aspect_cos,0.029574441580959905,0.006999458112661591,10.6,0.547722557505166
