DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Severe,site,elevation,0.002997482679540162,0.00029946156340025906,1.0,0.0
Severe,site,slope,0.0013247258541689763,0.00014542219641268522,2.0,0.0
Severe,site,soil_temperature,0.0005849970167860898,5.488873316042598e-05,3.0,0.0
Severe,site,FAPAR,0.00029890448857384274,3.197900297160365e-05,4.05,0.223606797749979
Severe,site,aspect_sin,0.00021134358600832914,3.2271641422192124e-05,5.0,0.3244428422615251
Severe,site,LAI,0.00013747963144018598,1.9280500963661303e-05,5.95,0.22360679774997896
Severe,site,SPI_intensity,5.3226702128381296e-05,1.1879872075408304e-05,7.55,0.8255779474818964
Severe,site,Duration_days,5.172235108429357e-05,1.2133734591021772e-05,8.1,1.1652874052533582
Severe,site,aspect_cos,3.765851800006203e-05,6.753843437895153e-06,9.2,1.105012502906165
Severe,site,soil_moisture,3.702115308913676e-05,6.49309683289906e-06,9.45,0.6863327411532599
Severe,site,canopy_height,2.867852316127798e-05,5.022656969528462e-06,10.7,0.6569466853317865
