DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Severe,site_month,elevation,0.004370492124815982,0.0002915536454481436,1.0,0.0
Severe,site_month,slope,0.002736952225633721,0.00024413336669525202,2.0,0.0
Severe,site_month,soil_temperature,0.0012749598691561674,0.00012455961394105462,3.0,0.0
Severe,site_month,SPI_intensity,0.0005994740577787174,5.1403745811236895e-05,4.35,0.489360484929593
Severe,site_month,LAI,0.0005595107588781908,6.260577680174921e-05,4.65,0.489360484929593
Severe,site_month,soil_moisture,0.00028812784843481416,3.827621481470779e-05,6.2,0.41039134083406165
Severe,site_month,FAPAR,0.00024051456444755805,3.0044977476536713e-05,6.95,0.6863327411532596
Severe,site_month,aspect_sin,0.00020112766386496875,3.093828075282011e-05,8.3,0.5712405705774797
Severe,site_month,Duration_days,0.00018333042308232535,1.7777439294248302e-05,8.6,0.6805570473787207
Severe,site_month,canopy_height,0.00013128222058925718,1.7659013233781118e-05,10.05,0.3940344628262062
Severe,site_month,aspect_cos,0.0001022664457379537,1.5171729350539437e-05,10.9,0.3077935056255462
