DroughtLevel,Layer,feature,missing_rate,non_missing,unique_values,dropped,drop_reason,impute_median
Moderate,site_month,SPI_intensity,0.0,114,114,False,,1.409444630146027
Moderate,site_month,Duration_days,0.0,114,16,False,,6.0
Moderate,site_month,elevation,0.0,114,24,False,,401.0
Moderate,site_month,slope,0.0,114,26,False,,23.751718521118164
Moderate,site_month,aspect_sin,0.0,114,26,False,,0.053316571465658415
Moderate,site_month,aspect_cos,0.0,114,26,False,,0.45980531649869694
Moderate,site_month,LAI,0.0,114,106,False,,4.282500000000001
Moderate,site_month,FAPAR,0.0,114,94,False,,0.8242857142857142
Moderate,site_month,canopy_height,0.0,114,15,False,,15.0
Moderate,site_month,soil_moisture,0.12280701754385964,100,100,False,,0.26896862512499997
Moderate,site_month,soil_temperature,0.12280701754385964,100,100,False,,23.050889758333334
Moderate,site_month,nighttime_light,1.0,0,0,True,missing_rate>0.5,
Moderate,site_month,built_up_distance,1.0,0,0,True,missing_rate>0.5,
