Site_Month,Extreme,Normal,Other,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Macro_Mean_SiteMonth_ExtremeNormalOnly,Macro_Mean_Diff_ExtremeNormal_minus_AllValid
95332217_2025-02,0,96,576,95332217,2025-02,2,672,11.683076875550407,4.584711208626348,12.064785579840342,0.38170870428993453
95332217_2025-03,0,168,576,95332217,2025-03,3,744,15.378106017907461,6.179776211504349,15.096781974747067,-0.28132404316039406
95332217_2025-04,216,288,216,95332217,2025-04,4,720,19.082241796122656,4.650550389367158,18.972247678136068,-0.10999411798658798
95332217_2025-05,0,264,480,95332217,2025-05,5,744,21.372414230018535,3.5187042301924563,21.23482860218395,-0.13758562783458572
95332217_2025-06,24,0,696,95332217,2025-06,6,720,24.794419662157694,3.023631919781727,25.24959882100423,0.45517915884653704
95332217_2025-07,0,144,600,95332217,2025-07,7,744,25.467530904277677,3.143632438941689,23.494923697577583,-1.9726072067000935
95332217_2025-08,0,384,360,95332217,2025-08,8,744,24.751334172423167,2.9826898822770684,24.554450511932373,-0.1968836604907942
95332217_2025-09,0,336,384,95332217,2025-09,9,720,24.464279429117838,2.696390687138452,24.25602118174235,-0.20825824737548615
95332217_2025-10,0,144,600,95332217,2025-10,10,744,21.926217684181786,4.530796001028743,19.103607495625813,-2.8226101885559736
95332217_2025-11,0,624,96,95332217,2025-11,11,720,15.1862947040134,4.8134959534997135,15.11009773841271,-0.07619696560069045
95332217_2025-12,0,696,40,95332217,2025-12,12,736,13.20269292463427,4.389171189426762,13.160166730825928,-0.04252619380834233
95332218_2025-02,0,72,600,95332218,2025-02,2,672,12.206924197042273,4.46024170439236,9.058111846446991,-3.148812350595282
95332218_2025-03,0,168,576,95332218,2025-03,3,744,15.693939992176588,5.7793420153162485,15.447774841671897,-0.2461651505046909
95332218_2025-04,24,192,504,95332218,2025-04,4,720,19.152977471881442,4.6188551942591145,18.382073137495254,-0.7709043343861879
95332218_2025-05,0,504,240,95332218,2025-05,5,744,21.380583752867995,3.373765001961351,21.648715004088388,0.2681312512203924
95332218_2025-06,0,264,456,95332218,2025-06,6,720,24.468871710035536,2.76447665216534,23.357216574928977,-1.1116551351065596
95332218_2025-07,0,144,600,95332218,2025-07,7,744,25.15642753724129,2.8883154577621024,23.313052495320637,-1.8433750419206518
95332218_2025-08,0,336,408,95332218,2025-08,8,744,24.513709214425855,2.865443751442314,24.447780416125344,-0.06592879830051146
95332218_2025-09,0,384,336,95332218,2025-09,9,720,24.462063174777562,2.757292412365342,24.635773221651714,0.17371004687415237
95332218_2025-10,0,336,408,95332218,2025-10,10,744,22.635026165234144,4.234351774319348,20.288929394313268,-2.3460967709208767
95332218_2025-11,0,528,192,95332218,2025-11,11,720,16.302717245287365,4.902091771312128,14.931546925595313,-1.3711703196920517
95332218_2025-12,0,736,0,95332218,2025-12,12,736,14.132138959091643,4.480368821522426,14.132138959091643,0.0
95332219_2025-02,0,120,552,95332219,2025-02,2,672,11.408729652475033,4.606591400103291,11.81821231842041,0.40948266594537763
95332219_2025-03,0,192,552,95332219,2025-03,3,744,14.996367199446565,6.052401295280215,15.2153907691439,0.2190235696973346
95332219_2025-04,48,192,480,95332219,2025-04,4,720,18.778096829520333,4.5667076631229495,18.265778271357217,-0.5123185581631162
95332219_2025-05,0,480,264,95332219,2025-05,5,744,21.04312890575778,3.2961131092075706,21.63041327794393,0.5872843721861507
95332219_2025-06,48,48,624,95332219,2025-06,6,720,24.18770851559109,2.8085758271466137,23.528160254160564,-0.6595482614305261
95332219_2025-07,0,216,528,95332219,2025-07,7,744,24.912197666783488,2.9165590167484488,24.60089768303765,-0.3112999837458368
95332219_2025-08,0,312,432,95332219,2025-08,8,744,24.33451787887081,2.929888036373893,24.091824409289238,-0.242693469581571
95332219_2025-09,0,480,240,95332219,2025-09,9,720,24.237266625298393,2.691623388171205,24.11121129989624,-0.12605532540215236
95332219_2025-10,0,744,0,95332219,2025-10,10,744,21.983364966607862,4.646852672203431,21.983364966607862,0.0
95332219_2025-11,0,240,480,95332219,2025-11,11,720,15.214422414037916,4.936669578661229,18.202717463175457,2.988295049137541
95332219_2025-12,0,720,16,95332219,2025-12,12,736,13.566295283644095,4.442608123112838,13.54894444346428,-0.01735084017981592
95332220_2025-02,24,48,600,95332220,2025-02,2,672,10.431207981636925,4.691768149534859,7.658567372295591,-2.772640609341334
95332220_2025-03,0,120,624,95332220,2025-03,3,744,14.08571211881535,6.519495381860264,10.122068087259928,-3.9636440315554218
95332220_2025-04,168,240,312,95332220,2025-04,4,720,19.069527492920557,4.525530160909401,18.359263615280973,-0.7102638776395835
95332220_2025-05,0,600,144,95332220,2025-05,5,744,21.35154676950106,3.225748226369624,21.64789555867513,0.2963487891740719
95332220_2025-06,0,624,96,95332220,2025-06,6,720,24.605020798577204,2.6250728288357528,24.576642378782616,-0.02837841979458844
95332220_2025-07,0,408,336,95332220,2025-07,7,744,25.436089313158426,2.6847816055876383,25.163481651567945,-0.2726076615904809
95332220_2025-08,0,360,384,95332220,2025-08,8,744,24.920232239589897,2.7046832056964627,24.818858167860242,-0.10137407172965496
95332220_2025-09,0,312,408,95332220,2025-09,9,720,24.975678083631728,2.6926704571312707,24.811244622254982,-0.16443346137674553
95332220_2025-10,0,576,168,95332220,2025-10,10,744,22.348580926977178,5.3112232182378545,22.863722062773174,0.5151411357959965
95332220_2025-11,0,648,72,95332220,2025-11,11,720,14.890984910726548,4.88112264471118,14.973896467391356,0.08291155666480776
95332220_2025-12,0,688,48,95332220,2025-12,12,736,13.214247145730516,4.544150513608432,13.089804318755172,-0.12444282697534348
95332221_2025-02,0,72,600,95332221,2025-02,2,672,9.149030774097247,4.231987875625101,6.494990305017887,-2.6540404690793595
95332221_2025-03,0,288,456,95332221,2025-03,3,744,13.861152626493926,6.774743617129564,11.328442177838749,-2.532710448655177
95332221_2025-04,0,456,264,95332221,2025-04,4,720,18.643078921900855,4.634040202740511,18.979552973780716,0.33647405187986124
95332221_2025-05,0,552,192,95332221,2025-05,5,744,21.61368817155079,3.3825563244816266,21.318707037663113,-0.29498113388767777
95332221_2025-06,0,480,240,95332221,2025-06,6,720,25.534388144810993,3.0950441341740533,24.876956995328268,-0.6574311494827256
95332221_2025-07,0,360,384,95332221,2025-07,7,744,26.276867517860985,3.1708845232214773,25.572202565934923,-0.7046649519260626
95332221_2025-08,72,120,552,95332221,2025-08,8,744,26.822586392843593,3.0877158410058114,27.530756930510204,0.7081705376666108
95332221_2025-09,0,480,240,95332221,2025-09,9,720,26.43559548060099,3.1535887431431373,26.298823392391206,-0.13677208820978493
95332221_2025-10,0,408,336,95332221,2025-10,10,744,22.75324784043015,5.889837808262021,24.865322444953172,2.1120746045230234
95332221_2025-11,0,240,480,95332221,2025-11,11,720,14.144375741481781,4.888946060890185,12.148053582509359,-1.996322158972422
95332221_2025-12,0,168,568,95332221,2025-12,12,736,12.179029829800129,4.582033008148162,13.960356820197333,1.7813269903972042
95332222_2025-02,0,48,624,95332222,2025-02,2,672,9.443502166496945,4.204402198992014,7.3614228169123335,-2.0820793495846113
95332222_2025-03,0,264,480,95332222,2025-03,3,744,14.090014780721356,6.760671329117108,12.183216990846576,-1.9067977898747799
95332222_2025-04,0,432,288,95332222,2025-04,4,720,18.849158024787904,4.6123311824611255,18.98271562876525,0.13355760397734429
95332222_2025-05,0,528,216,95332222,2025-05,5,744,21.784712617115307,3.3516446808337963,21.654027331959117,-0.13068528515618993
95332222_2025-06,0,456,264,95332222,2025-06,6,720,25.735589848624336,3.0718564354918407,25.07338998192235,-0.6621998667019859
95332222_2025-07,0,336,408,95332222,2025-07,7,744,26.42737627285783,3.1528718237338,25.843774437904358,-0.5836018349534733
95332222_2025-08,0,120,624,95332222,2025-08,8,744,27.01727932499301,3.0647698763503293,27.84197209676107,0.8246927717680599
95332222_2025-09,0,360,360,95332222,2025-09,9,720,26.602888753679064,3.0943924661170383,26.832823679182265,0.22993492550320127
95332222_2025-10,0,360,384,95332222,2025-10,10,744,22.942246806237005,5.859629544257454,27.361078453063964,4.418831646826959
95332222_2025-11,0,240,480,95332222,2025-11,11,720,14.386468299892213,4.822458693639265,12.366063024600347,-2.020405275291866
95332222_2025-12,0,168,568,95332222,2025-12,12,736,12.428403569304425,4.495740468329915,13.607264005002522,1.1788604356980965
95332223_2025-02,0,72,600,95332223,2025-02,2,672,9.658273275719868,4.247669350062525,6.772442570990986,-2.885830704728882
95332223_2025-03,0,240,504,95332223,2025-03,3,744,14.049587199764867,6.614815472327452,11.535953680674234,-2.5136335190906323
95332223_2025-04,0,408,312,95332223,2025-04,4,720,18.587981810834673,4.67998996394917,19.10791743736641,0.519935626531737
95332223_2025-05,0,528,216,95332223,2025-05,5,744,21.415944765972835,3.3941337933528777,20.891898213010847,-0.5240465529619875
95332223_2025-06,0,408,312,95332223,2025-06,6,720,25.391454667515227,3.096438781727587,24.716784907322303,-0.6746697601929235
95332223_2025-07,0,312,432,95332223,2025-07,7,744,26.01049961838671,3.1218073390072685,25.466210615940582,-0.5442890024461278
95332223_2025-08,0,120,624,95332223,2025-08,8,744,26.408292898567773,3.145772058704688,26.831092023849486,0.4227991252817134
95332223_2025-09,0,336,384,95332223,2025-09,9,720,26.126347986857095,3.190392624636121,26.21960785843077,0.09325987157367521
95332223_2025-10,0,240,504,95332223,2025-10,10,744,22.6721118034855,5.647156526740384,27.20395180384318,4.531840000357679
95332223_2025-11,0,624,96,95332223,2025-11,11,720,14.457480673657523,4.759235214632315,14.481178417419775,0.023697743762252088
95332223_2025-12,0,264,472,95332223,2025-12,12,736,12.472364810335895,4.439368493970231,13.888541640657367,1.4161768303214721
95332224_2025-02,0,24,648,95332224,2025-02,2,672,9.588007278493716,4.283025468432999,7.851450284322103,-1.7365569941716137
95332224_2025-03,0,168,576,95332224,2025-03,3,744,13.933791038169655,6.515154326218379,14.629103348368691,0.6953123101990357
