Site_ID,Event_ID,Event_Start_Date,Event_End_Date,Duration_Days,Event_YearMonth,Site_Month_Key,Entered_03B_03C_SiteMonth_Pair,未进入03B_03C原因,Normal_n_hours,Normal_Macro_SD,Normal_Pass_CBI_Filter,Normal_CBI_flag,Extreme_n_hours,Extreme_Macro_SD,Extreme_Pass_CBI_Filter,Extreme_CBI_flag,最低小时门槛,最低ERA5_SD门槛
95332217,3,2025-04-02,2025-04-19,18,2025-04,95332217_2025-04,True,已进入03B/03C配对图,288.0,4.49736574773683,True,ok,216.0,4.365451248368573,True,ok,72,1.0
95332217,4,2025-05-12,2025-07-08,58,2025-05,95332217_2025-05,False,该站点-月份无Extreme记录,264.0,3.5664912411564313,True,ok,,,False,missing,72,1.0
95332217,4,2025-05-12,2025-07-08,58,2025-06,95332217_2025-06,False,"该站点-月份无Normal记录或未进入全年有Extreme站点筛选；Extreme CBI不合格: n_hours=24, Macro_SD=3.185156563789243, flag=insufficient_hours_lt_72",,,False,missing,24.0,3.185156563789243,False,insufficient_hours_lt_72,72,1.0
95332217,4,2025-05-12,2025-07-08,58,2025-07,95332217_2025-07,False,该站点-月份无Extreme记录,144.0,1.9093716735884416,True,ok,,,False,missing,72,1.0
95332218,4,2025-04-02,2025-04-23,22,2025-04,95332218_2025-04,False,"Extreme CBI不合格: n_hours=24, Macro_SD=5.05561169664194, flag=insufficient_hours_lt_72",192.0,4.3796185055663,True,ok,24.0,5.05561169664194,False,insufficient_hours_lt_72,72,1.0
95332219,5,2025-04-02,2025-04-23,22,2025-04,95332219_2025-04,False,"Extreme CBI不合格: n_hours=48, Macro_SD=4.330626318335733, flag=insufficient_hours_lt_72",192.0,4.404784594359112,True,ok,48.0,4.330626318335733,False,insufficient_hours_lt_72,72,1.0
95332219,7,2025-06-04,2025-07-10,37,2025-06,95332219_2025-06,False,"Normal CBI不合格: n_hours=48, Macro_SD=2.441902351975862, flag=insufficient_hours_lt_72；Extreme CBI不合格: n_hours=48, Macro_SD=2.6738994575930977, flag=insufficient_hours_lt_72",48.0,2.441902351975862,False,insufficient_hours_lt_72,48.0,2.6738994575930977,False,insufficient_hours_lt_72,72,1.0
95332219,7,2025-06-04,2025-07-10,37,2025-07,95332219_2025-07,False,该站点-月份无Extreme记录,216.0,2.4665926497045976,True,ok,,,False,missing,72,1.0
95332220,3,2025-02-08,2025-03-02,23,2025-02,95332220_2025-02,False,"Normal CBI不合格: n_hours=48, Macro_SD=2.4511419539262573, flag=insufficient_hours_lt_72；Extreme CBI不合格: n_hours=24, Macro_SD=2.354417708611039, flag=insufficient_hours_lt_72",48.0,2.4511419539262573,False,insufficient_hours_lt_72,24.0,2.354417708611039,False,insufficient_hours_lt_72,72,1.0
95332220,3,2025-02-08,2025-03-02,23,2025-03,95332220_2025-03,False,该站点-月份无Extreme记录,120.0,6.8347228021511715,True,ok,,,False,missing,72,1.0
95332220,4,2025-04-02,2025-04-21,20,2025-04,95332220_2025-04,True,已进入03B/03C配对图,240.0,4.430597708107615,True,ok,168.0,4.362423094425614,True,ok,72,1.0
95332221,7,2025-08-12,2025-09-09,29,2025-08,95332221_2025-08,True,已进入03B/03C配对图,120.0,3.120744637116056,True,ok,72.0,3.237176203408534,True,ok,72,1.0
95332221,7,2025-08-12,2025-09-09,29,2025-09,95332221_2025-09,False,该站点-月份无Extreme记录,480.0,3.138179902670896,True,ok,,,False,missing,72,1.0
95332225,7,2025-08-12,2025-09-23,43,2025-08,95332225_2025-08,True,已进入03B/03C配对图,264.0,3.083972163308418,True,ok,120.0,3.437528995652296,True,ok,72,1.0
95332225,7,2025-08-12,2025-09-23,43,2025-09,95332225_2025-09,False,该站点-月份无Extreme记录,168.0,3.113382266962227,True,ok,,,False,missing,72,1.0
95332226,5,2025-08-07,2025-09-18,43,2025-08,95332226_2025-08,False,"Extreme CBI不合格: n_hours=24, Macro_SD=3.3906538402817366, flag=insufficient_hours_lt_72",120.0,2.458458331481548,True,ok,24.0,3.3906538402817366,False,insufficient_hours_lt_72,72,1.0
95332226,5,2025-08-07,2025-09-18,43,2025-09,95332226_2025-09,True,已进入03B/03C配对图,216.0,3.265185259811848,True,ok,72.0,3.177628098880288,True,ok,72,1.0
95332227,6,2025-08-11,2025-09-23,44,2025-08,95332227_2025-08,True,已进入03B/03C配对图,240.0,2.9628216513972703,True,ok,120.0,3.612598823733265,True,ok,72,1.0
95332227,6,2025-08-11,2025-09-23,44,2025-09,95332227_2025-09,True,已进入03B/03C配对图,168.0,3.310543084720256,True,ok,144.0,3.1942732994259595,True,ok,72,1.0
95332228,6,2025-08-12,2025-09-12,32,2025-08,95332228_2025-08,True,已进入03B/03C配对图,264.0,2.9147470505943174,True,ok,216.0,3.730558839204107,True,ok,72,1.0
95332228,6,2025-08-12,2025-09-12,32,2025-09,95332228_2025-09,True,已进入03B/03C配对图,432.0,3.5154087739896056,True,ok,96.0,3.3994095014940906,True,ok,72,1.0
95332229,7,2025-08-12,2025-09-12,32,2025-08,95332229_2025-08,False,"Extreme CBI不合格: n_hours=24, Macro_SD=2.9422037694382674, flag=insufficient_hours_lt_72",264.0,2.7575203414350224,True,ok,24.0,2.9422037694382674,False,insufficient_hours_lt_72,72,1.0
95332229,7,2025-08-12,2025-09-12,32,2025-09,95332229_2025-09,False,"Extreme CBI不合格: n_hours=48, Macro_SD=2.627045219888963, flag=insufficient_hours_lt_72",432.0,2.8335960462008747,True,ok,48.0,2.627045219888963,False,insufficient_hours_lt_72,72,1.0
95332230,6,2025-08-12,2025-09-17,37,2025-08,95332230_2025-08,True,已进入03B/03C配对图,264.0,3.0057260343456553,True,ok,168.0,3.8067422034627376,True,ok,72,1.0
95332230,6,2025-08-12,2025-09-17,37,2025-09,95332230_2025-09,True,已进入03B/03C配对图,240.0,3.5362038586380087,True,ok,120.0,3.4340689193021876,True,ok,72,1.0
95332231,5,2025-08-11,2025-09-18,39,2025-08,95332231_2025-08,True,已进入03B/03C配对图,240.0,3.186498750175894,True,ok,96.0,3.273811495332907,True,ok,72,1.0
95332231,5,2025-08-11,2025-09-18,39,2025-09,95332231_2025-09,False,该站点-月份无Extreme记录,192.0,2.9247556921003666,True,ok,,,False,missing,72,1.0
95332233,6,2025-06-21,2025-07-11,21,2025-06,95332233_2025-06,False,"Extreme CBI不合格: n_hours=24, Macro_SD=3.6754167958595376, flag=insufficient_hours_lt_72",480.0,2.7288525394273178,True,ok,24.0,3.6754167958595376,False,insufficient_hours_lt_72,72,1.0
95332233,6,2025-06-21,2025-07-11,21,2025-07,95332233_2025-07,False,该站点-月份无Extreme记录,216.0,2.2954158309289374,True,ok,,,False,missing,72,1.0
95332235,3,2025-02-08,2025-03-02,23,2025-02,95332235_2025-02,False,"Normal CBI不合格: n_hours=48, Macro_SD=2.681222420561176, flag=insufficient_hours_lt_72；Extreme CBI不合格: n_hours=24, Macro_SD=2.2238340239485908, flag=insufficient_hours_lt_72",48.0,2.681222420561176,False,insufficient_hours_lt_72,24.0,2.2238340239485908,False,insufficient_hours_lt_72,72,1.0
95332235,3,2025-02-08,2025-03-02,23,2025-03,95332235_2025-03,False,该站点-月份无Extreme记录,96.0,2.7470387950477995,True,ok,,,False,missing,72,1.0
95332235,4,2025-04-02,2025-04-21,20,2025-04,95332235_2025-04,True,已进入03B/03C配对图,240.0,4.585202034731905,True,ok,240.0,4.376344632877577,True,ok,72,1.0
95332236,4,2025-04-02,2025-04-23,22,2025-04,95332236_2025-04,True,已进入03B/03C配对图,192.0,4.353914821140031,True,ok,240.0,4.436015062285431,True,ok,72,1.0
95332236,5,2025-06-19,2025-07-19,31,2025-06,95332236_2025-06,False,"Extreme CBI不合格: n_hours=48, Macro_SD=3.04484087279874, flag=insufficient_hours_lt_72",432.0,2.606045057143971,True,ok,48.0,3.04484087279874,False,insufficient_hours_lt_72,72,1.0
95332236,5,2025-06-19,2025-07-19,31,2025-07,95332236_2025-07,False,该站点-月份无Extreme记录,168.0,2.485659687644579,True,ok,,,False,missing,72,1.0
95332238,5,2025-06-21,2025-07-11,21,2025-06,95332238_2025-06,False,"Extreme CBI不合格: n_hours=24, Macro_SD=3.722891140796946, flag=insufficient_hours_lt_72",480.0,2.8333651583038804,True,ok,24.0,3.722891140796946,False,insufficient_hours_lt_72,72,1.0
95332238,5,2025-06-21,2025-07-11,21,2025-07,95332238_2025-07,False,该站点-月份无Extreme记录,192.0,2.405266588395861,True,ok,,,False,missing,72,1.0
95332239,6,2025-06-21,2025-07-11,21,2025-06,95332239_2025-06,False,"Extreme CBI不合格: n_hours=24, Macro_SD=3.659440735779894, flag=insufficient_hours_lt_72",480.0,2.8682711683508577,True,ok,24.0,3.659440735779894,False,insufficient_hours_lt_72,72,1.0
95332239,6,2025-06-21,2025-07-11,21,2025-07,95332239_2025-07,False,该站点-月份无Extreme记录,312.0,2.3714105008810815,True,ok,,,False,missing,72,1.0
95332242,6,2025-08-15,2025-09-12,29,2025-08,95332242_2025-08,False,该站点-月份无Extreme记录,312.0,2.931497878751317,True,ok,,,False,missing,72,1.0
95332242,6,2025-08-15,2025-09-12,29,2025-09,95332242_2025-09,True,已进入03B/03C配对图,264.0,3.1029119904651834,True,ok,72.0,3.042798687029884,True,ok,72,1.0
95332243,6,2025-08-12,2025-09-12,32,2025-08,95332243_2025-08,False,"Extreme CBI不合格: n_hours=24, Macro_SD=3.216088888533291, flag=insufficient_hours_lt_72",264.0,3.0609444790791893,True,ok,24.0,3.216088888533291,False,insufficient_hours_lt_72,72,1.0
95332243,6,2025-08-12,2025-09-12,32,2025-09,95332243_2025-09,False,"Extreme CBI不合格: n_hours=24, Macro_SD=2.7007680394053564, flag=insufficient_hours_lt_72",432.0,3.2856594084894755,True,ok,24.0,2.7007680394053564,False,insufficient_hours_lt_72,72,1.0
95332244,2,2025-02-08,2025-03-02,23,2025-02,95332244_2025-02,False,"Normal CBI不合格: n_hours=48, Macro_SD=2.8123836736800056, flag=insufficient_hours_lt_72；Extreme CBI不合格: n_hours=24, Macro_SD=2.083215121856331, flag=insufficient_hours_lt_72",48.0,2.8123836736800056,False,insufficient_hours_lt_72,24.0,2.083215121856331,False,insufficient_hours_lt_72,72,1.0
95332244,2,2025-02-08,2025-03-02,23,2025-03,95332244_2025-03,False,该站点-月份无Extreme记录,96.0,2.3834516196462037,True,ok,,,False,missing,72,1.0
95332244,3,2025-04-02,2025-04-18,17,2025-04,95332244_2025-04,True,已进入03B/03C配对图,312.0,4.482860765575836,True,ok,240.0,4.320609024598221,True,ok,72,1.0
