Month,median_CBI,q25_CBI,q75_CBI,n_site_months,extreme_month_proportion
1,0.7671894704080623,0.6899802255775515,0.8091085454731521,27,0.0
2,0.786779444897932,0.6943976956199867,0.8342366844298241,27,0.0
3,0.8624405286084409,0.7634577347951266,0.9288054038314401,27,0.0
4,0.8777198460410783,0.7805810064979366,0.9401283866988446,27,0.14814814814814814
5,0.7530668899668859,0.6358882794342671,0.8354137091237199,27,0.0
6,0.6783932103476698,0.5846027256223549,0.7810939538215281,27,0.0
7,0.598762272681599,0.49000048468525587,0.6857246133002204,27,0.0
8,0.6179246125322794,0.5086634308195501,0.8017412350731387,27,0.0
9,0.5571038968038448,0.4699083738815391,0.7821653102384098,27,0.0
10,0.7474698523785029,0.675227064101537,0.8351371094351221,27,0.0
11,0.8606070697691152,0.7724441865434264,0.908158669470511,27,0.0
12,0.7442808094271578,0.6345761843922799,0.8372763481281498,27,0.0
