SPI_Full_Class,SPI_Full_Class_CN,n_hours,n_sites,n_dates,n_year_months,n_month_factor_levels,months_present,year_months_present,mean_spi,min_spi,max_spi
ExtremeDrought,极端干旱,2952.0,20.0,32.0,6.0,6.0,"2,4,6,7,8,9","2025-02,2025-04,2025-06,2025-07,2025-08,2025-09",-2.138682762781779,-2.785902738571167,-2.000265121459961
SevereDrought,重度干旱,9984.0,27.0,101.0,9.0,9.0,"1,2,4,5,6,7,8,9,12","2025-01,2025-02,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12",-1.681502221295467,-1.99524188041687,-1.500379920005798
ModerateDrought,中度干旱,31320.0,27.0,172.0,10.0,10.0,"1,2,3,4,5,6,7,8,9,12","2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12",-1.212447083407435,-1.499098181724548,-1.000061631202698
MildDrought,轻度干旱,43000.0,27.0,256.0,12.0,12.0,"1,2,3,4,5,6,7,8,9,10,11,12","2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12",-0.7431878635162531,-0.9989879131317139,-0.5003818273544312
Normal,正常,95264.0,27.0,297.0,12.0,12.0,"1,2,3,4,5,6,7,8,9,10,11,12","2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12",0.013769311342968169,-0.4999594390392303,0.4999852180480957
MildWet,轻度湿润,30288.0,27.0,179.0,9.0,9.0,"3,4,5,6,7,8,9,10,11","2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11",0.7396114299490032,0.5007107853889465,0.9998486638069153
ModerateWet,中度湿润,9744.0,27.0,81.0,6.0,6.0,"3,5,7,8,10,11","2025-03,2025-05,2025-07,2025-08,2025-10,2025-11",1.1572924423687563,1.000866413116455,1.49180793762207
SevereWet,严重湿润,1104.0,9.0,22.0,4.0,4.0,"3,7,8,11","2025-03,2025-07,2025-08,2025-11",1.7531929145688596,1.50303065776825,1.998122692108154
ExtremeWet,极端湿润,336.0,4.0,12.0,3.0,3.0,"3,7,8","2025-03,2025-07,2025-08",2.1166661296572005,2.009737491607666,2.306872367858887
Other,其他或缺失,,,,,,,,,,
