Target_Class,Target_Class_CN,Site_Month,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
Mild,轻度干旱,95332217_2025-01,95332217,2025-01,1,288,10.921850557128588,5.083580236928944,96,0,4.574275495096236,,False,True,False,False
Mild,轻度干旱,95332217_2025-02,95332217,2025-02,2,672,11.683076875550407,4.584711208626348,432,96,4.875423326284114,3.865178365047022,True,True,True,True
Mild,轻度干旱,95332217_2025-03,95332217,2025-03,3,744,15.378106017907461,6.179776211504349,24,168,2.8601193522362798,8.198576497617145,False,True,True,False
Mild,轻度干旱,95332217_2025-04,95332217,2025-04,4,720,19.082241796122656,4.650550389367158,120,288,4.043172881269714,4.497365747736829,True,True,True,True
Mild,轻度干旱,95332217_2025-05,95332217,2025-05,5,744,21.372414230018535,3.5187042301924563,264,264,3.6269462064017284,3.5664912411564305,True,True,True,True
Mild,轻度干旱,95332217_2025-06,95332217,2025-06,6,720,24.794419662157694,3.023631919781727,456,0,2.8650785459362096,,False,True,False,False
Mild,轻度干旱,95332217_2025-07,95332217,2025-07,7,744,25.467530904277677,3.143632438941689,0,144,,1.9093716735884412,False,False,True,False
Mild,轻度干旱,95332217_2025-08,95332217,2025-08,8,744,24.751334172423167,2.9826898822770684,24,384,2.7209475764233586,3.1561727585867487,False,True,True,False
Mild,轻度干旱,95332217_2025-09,95332217,2025-09,9,720,24.464279429117838,2.696390687138452,192,336,2.5657522070733987,2.670464658517501,True,True,True,True
Mild,轻度干旱,95332217_2025-10,95332217,2025-10,10,744,21.926217684181786,4.530796001028743,0,144,,2.694340667932649,False,False,True,False
Mild,轻度干旱,95332217_2025-11,95332217,2025-11,11,720,15.1862947040134,4.8134959534997135,0,624,,5.073895340694955,False,False,True,False
Mild,轻度干旱,95332217_2025-12,95332217,2025-12,12,736,13.20269292463427,4.389171189426762,40,696,3.1329691056342597,4.448535615243423,False,True,True,False
Mild,轻度干旱,95332218_2025-01,95332218,2025-01,1,288,11.650895154310597,5.296457857550566,144,0,4.629997733909035,,False,True,False,False
Mild,轻度干旱,95332218_2025-02,95332218,2025-02,2,672,12.206924197042273,4.46024170439236,552,72,4.451059544851369,3.0257051085855675,True,True,True,True
Mild,轻度干旱,95332218_2025-03,95332218,2025-03,3,744,15.693939992176588,5.7793420153162485,48,168,2.943713723120739,7.377104191411431,False,True,True,False
Mild,轻度干旱,95332218_2025-04,95332218,2025-04,4,720,19.152977471881442,4.6188551942591145,120,192,2.772105796156614,4.3796185055663015,True,True,True,True
Mild,轻度干旱,95332218_2025-05,95332218,2025-05,5,744,21.380583752867995,3.373765001961351,192,504,2.97701029753245,3.5527610758016936,True,True,True,True
Mild,轻度干旱,95332218_2025-06,95332218,2025-06,6,720,24.468871710035536,2.76447665216534,360,264,2.857622661442546,2.157362158948675,True,True,True,True
Mild,轻度干旱,95332218_2025-07,95332218,2025-07,7,744,25.15642753724129,2.8883154577621024,24,144,2.8388744897983997,1.7675970195806185,False,True,True,False
Mild,轻度干旱,95332218_2025-08,95332218,2025-08,8,744,24.513709214425855,2.865443751442314,120,336,2.9175423920650916,3.114549643723243,True,True,True,True
Mild,轻度干旱,95332218_2025-09,95332218,2025-09,9,720,24.462063174777562,2.757292412365342,48,384,2.7915314368678614,2.7660452016642534,False,True,True,False
Mild,轻度干旱,95332218_2025-10,95332218,2025-10,10,744,22.635026165234144,4.234351774319348,24,336,2.718788849559173,3.819377490333783,False,True,True,False
Mild,轻度干旱,95332218_2025-11,95332218,2025-11,11,720,16.302717245287365,4.902091771312128,192,528,3.6928703370296896,4.558411873367475,True,True,True,True
Mild,轻度干旱,95332218_2025-12,95332218,2025-12,12,736,14.132138959091643,4.480368821522426,0,736,,4.480368821522426,False,False,True,False
Mild,轻度干旱,95332219_2025-01,95332219,2025-01,1,288,10.94745140315758,5.348418608430845,96,0,4.26321591296093,,False,True,False,False
Mild,轻度干旱,95332219_2025-02,95332219,2025-02,2,672,11.408729652475033,4.606591400103291,552,120,4.773428518084109,3.73458442681346,True,True,True,True
