Drought_Class,Month,Drought_Class_CN,n_hours,n_sites,n_site_months,within_class_hour_share,site_hour_HHI_in_month,top1_site_hour_share_in_month,mean_spi,macro_mean_hourly,macro_sd_hourly
Mild,1,轻度干旱,0,0,0,0.0,0.0,0.0,,,
Mild,2,轻度干旱,4416,9,9,0.1354601226993865,0.11218100189035916,0.125,-0.7446931464516598,9.601798863274714,4.609395460915321
Mild,3,轻度干旱,0,0,0,0.0,0.0,0.0,,,
Mild,4,轻度干旱,4080,24,24,0.12515337423312883,0.04747404844290658,0.07058823529411765,-0.7094287910882164,18.999829066500943,4.491744437761087
Mild,5,轻度干旱,3264,18,18,0.10012269938650306,0.06314878892733565,0.09558823529411764,-0.7376968676553053,21.529320838404637,3.5152066074326473
Mild,6,轻度干旱,3696,21,21,0.11337423312883435,0.0648507336819025,0.14935064935064934,-0.7341230821299862,25.622411113280755,2.9471656672644895
Mild,7,轻度干旱,3264,21,21,0.10012269938650306,0.05979671280276816,0.11029411764705882,-0.756179561948075,25.483252759073295,3.064826395475687
Mild,8,轻度干旱,2544,19,19,0.07803680981595092,0.06140975436098256,0.10377358490566038,-0.715392474295958,25.898882425056314,3.4250719976576867
Mild,9,轻度干旱,3912,22,22,0.12,0.05581692950430953,0.09202453987730061,-0.6955088384312355,25.609308178927026,3.153810394781079
Mild,10,轻度干旱,96,1,1,0.00294478527607362,1.0,1.0,-0.5590378493070602,27.820097426573437,3.1799677335447267
Mild,11,轻度干旱,1752,7,7,0.05374233128834356,0.17958341152186152,0.2328767123287671,-0.6172684700521704,13.331959779676238,5.533507864537217
Mild,12,轻度干旱,5576,17,17,0.17104294478527607,0.06508524955280778,0.08895265423242468,-0.7789512272373675,11.43783627393244,4.89181215964405
Moderate,1,中度干旱,0,0,0,0.0,0.0,0.0,,,
Moderate,2,中度干旱,624,5,5,0.03389830508474576,0.20414201183431951,0.23076923076923078,-1.1210829294644868,10.695835847025498,5.0661350800071805
Moderate,3,中度干旱,0,0,0,0.0,0.0,0.0,,,
Moderate,4,中度干旱,3240,21,21,0.1760104302477184,0.05272976680384087,0.08888888888888889,-1.2424514514428597,17.836857212620018,4.912150902803578
Moderate,5,中度干旱,840,7,7,0.04563233376792699,0.15265306122448977,0.22857142857142856,-1.1774398463112967,20.590563401721774,3.5123215092035567
Moderate,6,中度干旱,1680,17,17,0.09126466753585398,0.06285714285714286,0.1,-1.2305109398705618,26.392298231806073,3.129246069566437
Moderate,7,中度干旱,4176,21,21,0.22685788787483702,0.06169903553970142,0.11494252873563218,-1.2331353515044026,27.33011558777528,3.665122755689867
Moderate,8,中度干旱,2664,17,17,0.14471968709256844,0.06906906906906908,0.10810810810810811,-1.2627906154941868,26.740912494716703,3.4070359671765322
Moderate,9,中度干旱,1872,13,13,0.1016949152542373,0.0861275476660092,0.11538461538461539,-1.1992191595908923,26.808692087475052,3.2704886883839626
Moderate,10,中度干旱,0,0,0,0.0,0.0,0.0,,,
Moderate,11,中度干旱,0,0,0,0.0,0.0,0.0,,,
Moderate,12,中度干旱,3312,13,13,0.17992177314211213,0.08359588321781138,0.11594202898550725,-1.1915542103242183,11.181588445598898,4.857976361268775
Severe,1,重度干旱,0,0,0,0.0,0.0,0.0,,,
Severe,2,重度干旱,0,0,0,0.0,0.0,0.0,,,
Severe,3,重度干旱,0,0,0,0.0,0.0,0.0,,,
Severe,4,重度干旱,720,4,4,0.12987012987012986,0.2822222222222222,0.3333333333333333,-1.6630488793055216,18.147439193063313,4.3840548920824425
Severe,5,重度干旱,0,0,0,0.0,0.0,0.0,,,
Severe,6,重度干旱,720,9,9,0.12987012987012986,0.11333333333333334,0.13333333333333333,-1.7198649605115255,25.942773983213637,3.5702261821437284
Severe,7,重度干旱,792,7,7,0.14285714285714285,0.1588613406795225,0.21212121212121213,-1.6718631440942937,26.939395984013874,3.6144629726268604
Severe,8,重度干旱,2160,13,13,0.38961038961038963,0.09259259259259262,0.15555555555555556,-1.7129772755834791,27.228032996036386,3.456332349919658
Severe,9,重度干旱,984,9,9,0.1774891774891775,0.11600237953599048,0.14634146341463414,-1.765988925608193,26.879069772193102,3.410446571546451
Severe,10,重度干旱,0,0,0,0.0,0.0,0.0,,,
Severe,11,重度干旱,0,0,0,0.0,0.0,0.0,,,
Severe,12,重度干旱,168,2,2,0.030303030303030304,0.510204081632653,0.5714285714285714,-1.600521274975368,13.2395373071943,4.699501435605206
Extreme,1,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,2,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,3,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,4,极端干旱,1104,5,5,0.46,0.20321361058601137,0.21739130434782608,-2.117244419844255,18.437703006509423,4.453809137227687
Extreme,5,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,6,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,7,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,8,极端干旱,792,6,6,0.33,0.1882460973370064,0.2727272727272727,-2.162141207492713,27.551641420884565,3.704728366793169
Extreme,9,极端干旱,504,5,5,0.21,0.2154195011337868,0.2857142857142857,-2.187195755186535,27.71056074187869,3.404551817445668
Extreme,10,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,11,极端干旱,0,0,0,0.0,0.0,0.0,,,
Extreme,12,极端干旱,0,0,0,0.0,0.0,0.0,,,
