Drought_Class,Drought_Class_CN,Variable,Scale,n,mean,sd,p05,p25,median,p75,p95,min,max
Mild,轻度干旱,Macro_Mean_SiteMonth_AllValid,SiteMonth,159,21.218158365272267,5.595105306845299,10.530180693120169,18.260149774948754,23.82587610880534,25.739250433487705,27.12427289610695,5.935747649612105,28.308441400527954
Mild,轻度干旱,Macro_SD_SiteMonth_AllValid,SiteMonth,159,3.6492844463180365,0.8072022771376836,2.7471233430148776,3.0341316594854266,3.266652266043331,4.574370335635556,4.905549552047038,2.6847816055876383,5.889837808262021
Mild,轻度干旱,Target_Macro_Range,SiteMonth,159,14.265830582605219,4.917621509633116,8.63951244354248,10.456335067749023,12.23504638671875,18.806686639785767,22.839496210217476,4.94189453125,24.666656851768494
Mild,轻度干旱,Mean_SPI,SiteMonth,159,-0.7268151304564858,0.09542637873637892,-0.8817560508847236,-0.7989833288722568,-0.7259655892848969,-0.6547032553775638,-0.5718254819512367,-0.9429682986489658,-0.5324769218762716
Mild,轻度干旱,Macro_Within,Hourly,32600,-0.04626917221960278,3.908883434243139,-6.562659059641529,-2.555115860956972,-0.3381687885741629,2.556304822942261,6.534732371440497,-13.195746932674766,15.403574370623877
Mild,轻度干旱,ERA5_T2m_C,Hourly,32600,19.139459708714586,7.674587630098214,5.797255611419678,12.763391494750977,21.25950050354004,24.80684471130371,29.889687728881835,-4.627325534820557,36.68494415283203
Mild,轻度干旱,Observed_T15cm_C,Hourly,32600,18.231838573619633,7.2532994679835925,5.890625,11.828125,20.6875,23.875,27.625,-1.640625,39.203125
Mild,轻度干旱,SPI30d,Hourly,32600,-0.7298070259767075,0.14403380997333326,-0.9695303440093994,-0.8544616103172302,-0.7183997631072998,-0.603043258190155,-0.5213786363601685,-0.9989879131317139,-0.5003818273544312
Moderate,中度干旱,Macro_Mean_SiteMonth_AllValid,SiteMonth,114,21.9446007693441,5.799741883931961,10.332611874076942,18.525854123797682,24.945800055739703,26.422605429285316,27.559504501024882,5.935747649612105,28.65699573742446
Moderate,中度干旱,Macro_SD_SiteMonth_AllValid,SiteMonth,114,3.6191245295116974,0.7356020206097933,2.79280059010526,3.0685899678594657,3.2529752829460454,4.495007375420787,4.801096185291846,2.6870779383014747,5.140599355300775
Moderate,中度干旱,Target_Macro_Range,SiteMonth,114,14.153834513339557,3.9423961550758544,9.884859466552735,11.253740310668945,12.171712875366211,18.30340611934662,20.812421099841593,8.519912719726562,22.791656851768494
Moderate,中度干旱,Mean_SPI,SiteMonth,114,-1.2214857879634593,0.08528424007339201,-1.3714268525441489,-1.2671101212501528,-1.2156420648097992,-1.1530128891269367,-1.1102096251646676,-1.4358611788068498,-1.0116442918777466
Moderate,中度干旱,Macro_Within,Hourly,18408,0.29687679310630405,4.0206706680528095,-6.022463795118717,-2.5019613625102655,-0.10993796123398702,3.241700996458534,7.025259798846904,-12.799084537559086,14.879715386999859
Moderate,中度干旱,ERA5_T2m_C,Hourly,18408,21.658431080202355,7.671692071932369,7.275135707855225,16.245222091674805,23.54058265686035,27.018266677856445,32.290778350830074,-1.976324439048767,37.97742462158203
Moderate,中度干旱,Observed_T15cm_C,Hourly,18408,20.316437656182096,7.249056483478693,6.75546875,14.60546875,22.859375,25.34375,29.619531249999966,-1.34375,39.9375
Moderate,中度干旱,SPI30d,Hourly,18408,-1.2215569067498695,0.13878430053102953,-1.465497612953186,-1.331191658973694,-1.208646893501282,-1.10789680480957,-1.021942377090454,-1.499098181724548,-1.000061631202698
Severe,重度干旱,Macro_Mean_SiteMonth_AllValid,SiteMonth,44,24.90001913579623,3.628680200981987,18.810758368637828,24.543268947639774,25.88318109768693,27.022342610743735,27.97817569868539,11.681208512300383,28.65699573742446
Severe,重度干旱,Macro_SD_SiteMonth_AllValid,SiteMonth,44,3.3175245693843496,0.5641395770175192,2.783083007670347,3.0375370193921682,3.1447022488231884,3.288563755162487,4.619112332831721,2.752241596379752,4.895078683776183
Severe,重度干旱,Target_Macro_Range,SiteMonth,44,12.64332162250172,2.0019941810943664,10.75444002151489,11.399623394012451,12.210081100463865,12.934782028198244,17.536860656738284,10.341995239257809,19.676025867462158
Severe,重度干旱,Mean_SPI,SiteMonth,44,-1.7062504976295854,0.07825624325376085,-1.8447809147834775,-1.7592855170369148,-1.7117946187655129,-1.6321962277094524,-1.6087950706481933,-1.8541104078292847,-1.5740476846694946
Severe,重度干旱,Macro_Within,Hourly,5544,0.31460794257259284,3.640289673998997,-4.817211211240425,-2.429873369650175,-0.23447340329488142,3.1768304191609866,6.470569396018975,-11.280362003379398,10.664458373075593
Severe,重度干旱,ERA5_T2m_C,Hourly,5544,25.35475348144727,5.174123647352574,14.539657974243164,23.042402267456055,25.435914993286133,28.936079025268555,32.920137023925776,3.4567503929138184,36.38921356201172
Severe,重度干旱,Observed_T15cm_C,Hourly,5544,23.6854200487013,4.5037923169082825,13.34375,22.265625,23.984375,26.203125,30.04453124999999,1.140625,39.859375
Severe,重度干旱,SPI30d,Hourly,5544,-1.707515362021211,0.1381185685534834,-1.944268703460693,-1.822795867919922,-1.692814230918884,-1.581286430358887,-1.51567530632019,-1.99524188041687,-1.500379920005798
Extreme,极端干旱,Macro_Mean_SiteMonth_AllValid,SiteMonth,16,24.770564412097293,3.8252226824808164,19.03368900467952,20.015851820177502,26.74679119868945,27.434870344592678,28.395579984752082,18.926173539956412,28.65699573742446
Extreme,极端干旱,Macro_SD_SiteMonth_AllValid,SiteMonth,16,3.708151053835783,0.6528127796460135,3.1248636909437324,3.2406114472272,3.3725123076038983,4.546487171042385,4.683106702096415,3.0877158410058114,4.694564299212195
Extreme,极端干旱,Target_Macro_Range,SiteMonth,16,14.150263458490372,3.0393189468682262,10.49767112731934,12.061906814575192,13.190587997436522,17.070327758789062,18.57513058185577,10.436124801635742,19.977341175079346
Extreme,极端干旱,Mean_SPI,SiteMonth,16,-2.150547328733263,0.06812962734860215,-2.234277391433716,-2.2077036023139955,-2.157469183679611,-2.1064906054072914,-2.054472267627716,-2.2478384971618652,-2.009874820709229
Extreme,极端干旱,Macro_Within,Hourly,2400,-0.2892646828477522,3.98092103395937,-7.451221732464101,-2.924735987058251,-0.5124359027566037,2.823949158784523,5.9469604151447575,-12.323167653878532,8.480598211288452
