Comparison,Support_Level,Drought_Class,Drought_Class_CN,Classes_Involved,Common_Months,n_Common_Months,Common_Sites,n_Common_Sites,n_SiteMonth_original,n_SiteMonth_in_Common_Months,n_SiteMonth_in_Common_Sites,n_SiteMonth_in_Common_Months_and_Sites,n_sites_after_common_months_sites,n_months_after_common_months_sites,n_hours_after_common_months_sites,MacroMean_p05_after_common_months_sites,MacroMean_p95_after_common_months_sites,MacroSD_p05_after_common_months_sites,MacroSD_p95_after_common_months_sites,MacroWithin_p05_after_common_months_sites,MacroWithin_p95_after_common_months_sites,Enough_For_Restricted_Analysis_Suggested,Restriction_Diagnosis
Mild_vs_Moderate,pairwise_common_support,Mild,轻度干旱,"Mild,Moderate","2,4,5,6,7,8,9,12",8,"95332217,95332218,95332219,95332221,95332222,95332223,95332224,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332235,95332236,95332237,95332238,95332239,95332240,95332242,95332243,95332244",26,159,151,154,146,26,8,29816,10.01650176360778,27.205742173041067,2.752838415408825,4.784753262507099,-6.159233308446526,6.450000192102139,True,enough_for_descriptive_restricted_analysis
Mild_vs_Moderate,pairwise_common_support,Moderate,中度干旱,"Mild,Moderate","2,4,5,6,7,8,9,12",8,"95332217,95332218,95332219,95332221,95332222,95332223,95332224,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332235,95332236,95332237,95332238,95332239,95332240,95332242,95332243,95332244",26,114,114,114,114,26,8,18408,10.332611874076942,27.559504501024882,2.79280059010526,4.801096185291846,-6.022463795118717,7.025259798846904,True,enough_for_descriptive_restricted_analysis
Mild_vs_Severe,pairwise_common_support,Mild,轻度干旱,"Mild,Severe","4,6,7,8,9,12",6,"95332217,95332218,95332219,95332220,95332221,95332222,95332223,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332237,95332239,95332240,95332242,95332243,95332244",23,159,124,134,103,23,6,19832,11.649202474887968,27.321682785907527,2.715426235267764,4.821123021645629,-5.942038377528788,6.377548167051807,True,enough_for_descriptive_restricted_analysis
Mild_vs_Severe,pairwise_common_support,Severe,重度干旱,"Mild,Severe","4,6,7,8,9,12",6,"95332217,95332218,95332219,95332220,95332221,95332222,95332223,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332237,95332239,95332240,95332242,95332243,95332244",23,44,44,44,44,23,6,5544,18.810758368637828,27.97817569868539,2.783083007670347,4.619112332831721,-4.817211211240425,6.470569396018975,True,enough_for_descriptive_restricted_analysis
Mild_vs_Extreme,pairwise_common_support,Mild,轻度干旱,"Mild,Extreme","4,8,9",3,"95332217,95332220,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332235,95332236,95332242,95332244",13,159,65,72,28,13,3,4440,17.417530683179695,27.766269375167013,2.699293068633756,4.6892174205581645,-5.4829716245333335,6.255304446698946,True,enough_for_descriptive_restricted_analysis
Mild_vs_Extreme,pairwise_common_support,Extreme,极端干旱,"Mild,Extreme","4,8,9",3,"95332217,95332220,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332235,95332236,95332242,95332244",13,16,16,16,16,13,3,2400,19.03368900467952,28.395579984752082,3.1248636909437324,4.683106702096415,-7.451221732464101,5.9469604151447575,True,enough_for_descriptive_restricted_analysis
All_selected_classes,all_selected_classes_common_support,Mild,轻度干旱,"Mild,Moderate,Severe,Extreme","4,8,9",3,"95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",10,159,65,54,21,10,3,3600,16.986948269605637,27.984367421878282,2.8965691528366677,4.6792875030578225,-6.163678406212066,6.224988926417293,True,enough_for_descriptive_restricted_analysis
All_selected_classes,all_selected_classes_common_support,Moderate,中度干旱,"Mild,Moderate,Severe,Extreme","4,8,9",3,"95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",10,114,51,49,22,9,3,3168,17.04846004297336,28.29223770159547,3.1426794438171792,4.650526109011716,-5.19333905202086,6.4170931161518165,True,enough_for_descriptive_restricted_analysis
All_selected_classes,all_selected_classes_common_support,Severe,重度干旱,"Mild,Moderate,Severe,Extreme","4,8,9",3,"95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",10,44,26,18,14,8,2,2040,25.921514292822945,28.430435418441732,3.119910644285343,3.4626008823319085,-4.482835192381267,5.865862419784712,True,enough_for_descriptive_restricted_analysis
All_selected_classes,all_selected_classes_common_support,Extreme,极端干旱,"Mild,Moderate,Severe,Extreme","4,8,9",3,"95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",10,16,16,13,13,10,3,1752,19.545357029305563,28.447863135286557,3.117434120956148,4.662045234843424,-5.738520137084426,6.036544627381695,True,enough_for_descriptive_restricted_analysis
