AnalysisVersion,Target_Class,Target_Class_CN,Interaction_Term,DeltaCBI_Target_minus_Normal,DeltaCBI_CI_low_95,DeltaCBI_CI_high_95,DeltaCBI_p_raw,DeltaCBI_p_FDR,DeltaCBI_FDR_significant_0p05,BaseCBI_Normal_reference_month,n_sites,n_site_months,n_year_months,n_month_factor_levels,months_present,year_months_present,n_hours_target,n_hours_normal,Formula,Converged,RestrictionVersion,RestrictionComparison,Support_Level,Common_Months,Common_Sites,Original_Main_DeltaCBI,DeltaCBI_Change_From_Main
Restricted_common_month_site,Mild,轻度干旱,Macro_Within:Is_Target_Drought,0.0587998492814282,0.04516028506870452,0.07243941349415188,2.929042535990082e-17,9.763475119966941e-17,True,0.7901560187319819,10,21,3,3,"4,8,9","2025-04,2025-08,2025-09",3600,7008,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,All_class_common_month_site,All_selected_classes,all_selected_classes_common_support,"4,8,9","95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",0.02498447625057476,0.03381537303085344
Restricted_common_month_site,Moderate,中度干旱,Macro_Within:Is_Target_Drought,0.018441307183768248,0.003509470550090559,0.03337314381744594,0.01549407725702373,0.017215641396693033,True,0.7733346747950245,9,22,3,3,"4,8,9","2025-04,2025-08,2025-09",3168,6528,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,All_class_common_month_site,All_selected_classes,all_selected_classes_common_support,"4,8,9","95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",0.010802209065577701,0.007639098118190546
Restricted_common_month_site,Severe,重度干旱,Macro_Within:Is_Target_Drought,0.040119734566732845,0.016514824071332652,0.06372464506213305,0.0008646512051438285,0.001390258609151417,True,0.6273827322541349,8,14,2,2,"8,9","2025-08,2025-09",2040,3192,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,All_class_common_month_site,All_selected_classes,all_selected_classes_common_support,"4,8,9","95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",0.01298043561061992,0.027139298956112924
Restricted_common_month_site,Extreme,极端干旱,Macro_Within:Is_Target_Drought,0.059067881127811486,0.03725910935200347,0.0808766529036195,1.1055736945819334e-07,2.211147389163867e-07,True,0.7544875771547708,10,13,3,3,"4,8,9","2025-04,2025-08,2025-09",1752,3312,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,All_class_common_month_site,All_selected_classes,all_selected_classes_common_support,"4,8,9","95332217,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332242,95332244",0.033288902415293156,0.02577897871251833
Restricted_common_month_site,Mild,轻度干旱,Macro_Within:Is_Target_Drought,0.04608569498048407,0.033836727843681844,0.0583346621172863,1.6533798000358839e-13,4.1334495000897097e-13,True,0.814471128814983,13,28,3,3,"4,8,9","2025-04,2025-08,2025-09",4440,9600,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,Pairwise_common_month_site,Mild_vs_Extreme,pairwise_common_support,"4,8,9","95332217,95332220,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332235,95332236,95332242,95332244",0.02498447625057476,0.02110121872990931
Restricted_common_month_site,Extreme,极端干旱,Macro_Within:Is_Target_Drought,0.033288902415293156,0.013506689378143068,0.053071115452443245,0.0009731810264059918,0.001390258609151417,True,0.8338705458487964,13,16,3,3,"4,8,9","2025-04,2025-08,2025-09",2400,3984,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,Pairwise_common_month_site,Mild_vs_Extreme,pairwise_common_support,"4,8,9","95332217,95332220,95332221,95332225,95332226,95332227,95332228,95332230,95332231,95332235,95332236,95332242,95332244",0.033288902415293156,0.0
Restricted_common_month_site,Mild,轻度干旱,Macro_Within:Is_Target_Drought,0.034999447623497076,0.028949039233314613,0.04104985601367954,8.536780142187125e-30,8.536780142187124e-29,True,0.691498202653108,26,146,8,8,"2,4,5,6,7,8,9,12","2025-02,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12",29816,45192,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,Pairwise_common_month_site,Mild_vs_Moderate,pairwise_common_support,"2,4,5,6,7,8,9,12","95332217,95332218,95332219,95332221,95332222,95332223,95332224,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332235,95332236,95332237,95332238,95332239,95332240,95332242,95332243,95332244",0.02498447625057476,0.010014971372922316
Restricted_common_month_site,Moderate,中度干旱,Macro_Within:Is_Target_Drought,0.010802209065577701,0.003623068368209607,0.017981349762945797,0.0031870990011632593,0.003983873751454074,True,0.7192470395547079,26,114,8,8,"2,4,5,6,7,8,9,12","2025-02,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12",18408,31656,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,Pairwise_common_month_site,Mild_vs_Moderate,pairwise_common_support,"2,4,5,6,7,8,9,12","95332217,95332218,95332219,95332221,95332222,95332223,95332224,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332235,95332236,95332237,95332238,95332239,95332240,95332242,95332243,95332244",0.010802209065577701,0.0
Restricted_common_month_site,Mild,轻度干旱,Macro_Within:Is_Target_Drought,0.030610111747836483,0.02359965010906903,0.037620573386603934,1.1495807399264883e-17,5.747903699632442e-17,True,0.6907903399556783,23,103,6,6,"4,6,7,8,9,12","2025-04,2025-06,2025-07,2025-08,2025-09,2025-12",19832,29928,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,Pairwise_common_month_site,Mild_vs_Severe,pairwise_common_support,"4,6,7,8,9,12","95332217,95332218,95332219,95332220,95332221,95332222,95332223,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332237,95332239,95332240,95332242,95332243,95332244",0.02498447625057476,0.005625635497261722
Restricted_common_month_site,Severe,重度干旱,Macro_Within:Is_Target_Drought,0.01298043561061992,0.001102749915295598,0.02485812130594424,0.03219901384354189,0.03219901384354189,True,0.6661008092473159,23,44,6,6,"4,6,7,8,9,12","2025-04,2025-06,2025-07,2025-08,2025-09,2025-12",5544,11280,Observed_T15cm_C ~ Macro_Within * Is_Target_Drought + C(Month_Factor) + Macro_Within:C(Month_Factor) + Macro_Mean_SiteMonth_C,True,Pairwise_common_month_site,Mild_vs_Severe,pairwise_common_support,"4,6,7,8,9,12","95332217,95332218,95332219,95332220,95332221,95332222,95332223,95332225,95332226,95332227,95332228,95332229,95332230,95332231,95332232,95332233,95332234,95332237,95332239,95332240,95332242,95332243,95332244",0.01298043561061992,0.0
