Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated,Drought_Extent_Peak(%),Drought_Extent_Union(%),Station_Event_Count_Total,Station_Event_Count_Light,Station_Event_Count_Moderate,Station_Event_Count_Severe,Station_Event_Count_Extreme
95332217.0,117.63227,25.27501,117.625,25.274993896484375,1,2025-01-01,2025-02-05,36,-1.7473512887954712,-0.7615930438041687,2025-01-29,2025-02-02,44.198160886764526,Severe,3,True,99.3,100.0,5,1,1,1,2
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2,2025-02-15,2025-03-02,16,-1.209383249282837,-0.6478847861289978,2025-02-19,2025-02-15,14.287358522415161,Moderate,2,False,99.21,100.0,5,1,1,1,2
95332217.0,117.63227,25.27501,117.625,25.274993896484375,3,2025-04-02,2025-04-19,18,-2.2451560497283936,-0.5011847615242004,2025-04-09,2025-04-19,28.205231845378876,Extreme,4,False,48.47,99.89,5,1,1,1,2
95332217.0,117.63227,25.27501,117.625,25.274993896484375,4,2025-05-12,2025-07-08,58,-2.0193190574645996,-0.5993111729621887,2025-06-28,2025-06-17,63.29627174139023,Extreme,4,False,98.71,99.57,5,1,1,1,2
95332217.0,117.63227,25.27501,117.625,25.274993896484375,5,2025-08-31,2025-09-08,9,-0.8056297302246094,-0.5134946703910828,2025-09-02,2025-09-08,5.728622257709503,Light,1,False,92.38,97.57,5,1,1,1,2
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1,2025-01-01,2025-01-09,9,-1.3371305465698242,-0.7301741242408752,2025-01-01,2025-01-05,8.48994266986847,Moderate,2,True,100.0,100.0,7,3,2,1,1
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,2,2025-01-17,2025-02-05,20,-1.3441907167434692,-0.5022274851799011,2025-01-26,2025-01-17,16.98282563686371,Moderate,2,False,99.55,99.68,7,3,2,1,1
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,3,2025-02-14,2025-03-02,17,-0.9403422474861145,-0.5171412229537964,2025-02-19,2025-02-14,12.433526515960693,Light,1,False,99.21,100.0,7,3,2,1,1
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,4,2025-04-02,2025-04-23,22,-2.0132932662963867,-0.6728296875953674,2025-04-02,2025-04-21,28.846669495105743,Extreme,4,False,63.95,99.89,7,3,2,1,1
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,5,2025-06-05,2025-06-14,10,-0.7599750757217407,-0.5131974220275879,2025-06-10,2025-06-14,6.409705877304077,Light,1,False,26.75,28.11,7,3,2,1,1
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,6,2025-06-22,2025-07-08,17,-1.750706672668457,-0.5485690832138062,2025-06-28,2025-06-22,20.175555765628815,Severe,3,False,98.71,99.32,7,3,2,1,1
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,7,2025-08-27,2025-09-01,6,-0.6729516983032227,-0.5211617946624756,2025-08-29,2025-09-01,3.589639902114868,Light,1,False,83.43,95.78,7,3,2,1,1
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,1,2025-01-01,2025-01-10,10,-1.397932767868042,-0.6722006797790527,2025-01-01,2025-01-10,8.780573666095734,Moderate,2,True,100.0,100.0,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2,2025-01-14,2025-02-05,23,-1.3707531690597534,-0.5347971320152283,2025-01-26,2025-01-16,21.82190877199173,Moderate,2,False,99.55,99.86,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,3,2025-02-15,2025-02-21,7,-0.7828031182289124,-0.5431870818138123,2025-02-19,2025-02-15,4.616428732872009,Light,1,False,99.21,99.84,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,4,2025-02-23,2025-03-02,8,-0.9300857782363892,-0.5065593123435974,2025-03-02,2025-02-23,5.43396919965744,Light,1,False,95.94,100.0,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,5,2025-04-02,2025-04-23,22,-2.3179261684417725,-0.7098069787025452,2025-04-11,2025-04-21,32.18559658527374,Extreme,4,False,47.61,99.89,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,6,2025-05-24,2025-06-01,9,-0.962844967842102,-0.5526187419891357,2025-05-27,2025-06-01,6.8861082792282104,Light,1,False,45.95,51.39,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,7,2025-06-04,2025-07-10,37,-2.2910687923431396,-0.5045126080513,2025-06-28,2025-06-04,41.840856432914734,Extreme,4,False,98.71,99.32,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,8,2025-08-27,2025-09-02,7,-1.0555106401443481,-0.5607427358627319,2025-08-31,2025-09-02,5.895151615142822,Moderate,2,False,92.38,97.64,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,9,2025-09-04,2025-09-09,6,-0.6015307903289795,-0.5051993131637573,2025-09-07,2025-09-04,3.33726304769516,Light,1,False,86.47,88.55,10,5,3,0,2
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,10,2025-11-13,2025-11-29,17,-0.7233188152313232,-0.5237846970558167,2025-11-29,2025-11-13,11.15137666463852,Light,1,False,12.81,19.63,10,5,3,0,2
95332220.0,116.11679,25.25292,116.125,25.274993896484375,1,2025-01-01,2025-01-10,10,-1.2354573011398315,-0.6349194645881653,2025-01-01,2025-01-09,10.444301962852478,Moderate,2,True,100.0,100.0,7,2,2,1,2
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2,2025-01-17,2025-02-05,20,-1.5705931186676025,-0.6912316083908081,2025-01-25,2025-01-17,20.888846337795258,Severe,3,False,99.48,99.68,7,2,2,1,2
95332220.0,116.11679,25.25292,116.125,25.274993896484375,3,2025-02-08,2025-03-02,23,-2.037058115005493,-0.6167376637458801,2025-02-25,2025-02-08,27.87490612268448,Extreme,4,False,93.52,100.0,7,2,2,1,2
95332220.0,116.11679,25.25292,116.125,25.274993896484375,4,2025-04-02,2025-04-21,20,-2.0098748207092285,-0.78945392370224,2025-04-02,2025-04-19,32.95291793346405,Extreme,4,False,63.95,99.89,7,2,2,1,2
95332220.0,116.11679,25.25292,116.125,25.274993896484375,5,2025-05-22,2025-05-27,6,-0.8346952795982361,-0.6682907342910767,2025-05-22,2025-05-27,4.306433260440826,Light,1,False,37.29,54.61,7,2,2,1,2
95332220.0,116.11679,25.25292,116.125,25.274993896484375,6,2025-07-12,2025-07-20,9,-0.9328961968421936,-0.5383002758026123,2025-07-19,2025-07-15,6.402839124202728,Light,1,False,23.87,44.48,7,2,2,1,2
95332220.0,116.11679,25.25292,116.125,25.274993896484375,7,2025-08-29,2025-09-09,12,-1.276241421699524,-0.5898712277412415,2025-09-01,2025-09-08,9.245888710021973,Moderate,2,False,91.77,98.37,7,2,2,1,2
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,1,2025-01-01,2025-02-05,36,-1.6161679029464722,-0.8615341782569885,2025-01-24,2025-02-04,43.218191266059875,Severe,3,True,98.93,100.0,8,2,2,3,1
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,2,2025-02-08,2025-02-21,14,-0.8644343018531799,-0.5404342412948608,2025-02-19,2025-02-15,9.332119941711426,Light,1,False,99.21,100.0,8,2,2,3,1
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,3,2025-02-23,2025-03-02,8,-1.0858933925628662,-0.5226930379867554,2025-03-01,2025-02-23,7.009928226470947,Moderate,2,False,96.49,100.0,8,2,2,3,1
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,4,2025-04-03,2025-04-08,6,-0.7127553224563599,-0.5250486731529236,2025-04-03,2025-04-06,3.491933584213257,Light,1,False,92.75,92.88,8,2,2,3,1
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,5,2025-05-11,2025-05-16,6,-1.1918326616287231,-0.5442402958869934,2025-05-14,2025-05-11,5.551805138587952,Moderate,2,False,44.14,57.74,8,2,2,3,1
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,6,2025-06-21,2025-07-11,21,-1.638392448425293,-0.6699947118759155,2025-06-27,2025-07-08,23.124890625476837,Severe,3,False,97.53,99.43,8,2,2,3,1
