Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Delta_Drought_Days_Bilinear,AbsDelta_Drought_Days_Bilinear,Delta_Total_Severity_Bilinear,AbsDelta_Total_Severity_Bilinear,Delta_Event_Count_Total_Bilinear,AbsDelta_Event_Count_Total_Bilinear,Delta_Max_Event_Duration_Bilinear,AbsDelta_Max_Event_Duration_Bilinear,Delta_Max_Event_Severity_Bilinear,AbsDelta_Max_Event_Severity_Bilinear,Delta_Worst_Event_Min_SPI_Bilinear,AbsDelta_Worst_Event_Min_SPI_Bilinear,Same_Worst_Event_Level_Bilinear,Delta_Drought_Days_Mean3x3,AbsDelta_Drought_Days_Mean3x3,Delta_Total_Severity_Mean3x3,AbsDelta_Total_Severity_Mean3x3,Delta_Event_Count_Total_Mean3x3,AbsDelta_Event_Count_Total_Mean3x3,Delta_Max_Event_Duration_Mean3x3,AbsDelta_Max_Event_Duration_Mean3x3,Delta_Max_Event_Severity_Mean3x3,AbsDelta_Max_Event_Severity_Mean3x3,Delta_Worst_Event_Min_SPI_Mean3x3,AbsDelta_Worst_Event_Min_SPI_Mean3x3,Same_Worst_Event_Level_Mean3x3
95332217.0,117.63227,25.27501,117.625,25.274993896484375,0.731,1.0,1.0,0.3551234542113946,0.3551234542113946,0.0,0.0,0.0,0.0,-0.27320577503478916,0.27320577503478916,-0.06688551142644439,0.06688551142644439,True,-5.0,5.0,-12.221375178959619,12.221375178959619,2.0,2.0,-22.0,22.0,-22.448435564835876,22.448435564835876,0.15869617462158203,0.15869617462158203,True
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,-7.0,7.0,-4.344459775466248,4.344459775466248,0.0,0.0,0.0,0.0,0.49914027892761226,0.49914027892761226,0.013330201191290358,0.013330201191290358,False,-1.0,1.0,1.954552090196458,1.954552090196458,1.0,1.0,-2.0,2.0,-0.971040886529309,0.971040886529309,-0.07544476456112337,0.07544476456112337,True
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,-1.0,1.0,-0.7100639030197726,0.7100639030197726,-2.0,2.0,-1.0,1.0,-1.7115492280508064,1.7115492280508064,0.11325230090127736,0.11325230090127736,True,-5.0,5.0,-6.799009202255149,6.799009202255149,-2.0,2.0,-14.0,14.0,-10.513323770629032,10.513323770629032,0.15114639865027524,0.15114639865027524,True
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,2.0,2.0,-4.798477981139413,4.798477981139413,1.0,1.0,0.0,0.0,-4.632951766501254,4.632951766501254,0.02718329429626465,0.02718329429626465,True,-7.0,7.0,-8.12044108203716,8.12044108203716,0.0,0.0,0.0,0.0,-1.5062532669140225,1.5062532669140225,0.02718329429626465,0.02718329429626465,True
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,1.691,0.0,0.0,-0.31027492091951103,0.31027492091951103,2.0,2.0,0.0,0.0,2.221011579510339,2.221011579510339,0.034091351937724834,0.034091351937724834,True,-3.0,3.0,-3.9862271745999465,3.9862271745999465,1.0,1.0,0.0,0.0,0.9314661555819939,0.9314661555819939,0.051209767659505356,0.051209767659505356,True
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,2.9958,-3.0,3.0,-0.35355262774049834,0.35355262774049834,0.0,0.0,0.0,0.0,0.3519964359334935,0.3519964359334935,-0.020389778271653114,0.020389778271653114,True,-8.0,8.0,-7.952434887488664,7.952434887488664,0.0,0.0,0.0,0.0,1.0038205517662888,1.0038205517662888,-0.06334988276163744,0.06334988276163744,True
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,2.4827,-4.0,4.0,-5.124319961887579,5.124319961887579,0.0,0.0,0.0,0.0,-0.13125421833741058,0.13125421833741058,0.08127588721246015,0.08127588721246015,True,-3.0,3.0,-1.1534220377604072,1.1534220377604072,0.0,0.0,0.0,0.0,-0.3175445463922344,0.3175445463922344,0.0842801597383287,0.0842801597383287,True
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,1.5742,4.0,4.0,1.9163405826662938,1.9163405826662938,0.0,0.0,0.0,0.0,0.12118119855074383,0.12118119855074383,-0.018931170000743958,0.018931170000743958,True,7.0,7.0,6.164405405521393,6.164405405521393,0.0,0.0,0.0,0.0,-0.41930577821201354,0.41930577821201354,-0.06467069519890689,0.06467069519890689,True
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,2.8126,0.0,0.0,-6.192431866240099,6.192431866240099,-1.0,1.0,-6.0,6.0,-9.407057819738704,9.407057819738704,0.07618291537302779,0.07618291537302779,True,-6.0,6.0,-8.477774575352669,8.477774575352669,-1.0,1.0,-7.0,7.0,-8.063811633321983,8.063811633321983,-0.004722992579142105,0.004722992579142105,True
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,1.339,-2.0,2.0,-3.8649396657789907,3.8649396657789907,0.0,0.0,0.0,0.0,0.40612713276892976,0.40612713276892976,0.050341189146362986,0.050341189146362986,True,-6.0,6.0,-10.781505803267152,10.781505803267152,0.0,0.0,0.0,0.0,-0.5654777752028508,0.5654777752028508,0.14430534839630127,0.14430534839630127,True
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,2.2701,-1.0,1.0,-5.66716679080065,5.66716679080065,0.0,0.0,-1.0,1.0,-3.8079281027626095,3.8079281027626095,0.11120215616589313,0.11120215616589313,True,-2.0,2.0,-7.389963043232768,7.389963043232768,1.0,1.0,-1.0,1.0,-3.8832110828823545,3.8832110828823545,0.1560004817114935,0.1560004817114935,True
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,1.3065,2.0,2.0,-1.413163412003371,1.413163412003371,0.0,0.0,0.0,0.0,-2.330779855355523,2.330779855355523,0.07167439468666004,0.07167439468666004,True,1.0,1.0,-4.949199928177734,4.949199928177734,-1.0,1.0,0.0,0.0,-3.3024473753240358,3.3024473753240358,0.07785752084520148,0.07785752084520148,True
95332229.0,117.8937625,27.86000655,117.875,27.875,2.4862,2.0,2.0,5.794918389101525,5.794918389101525,0.0,0.0,0.0,0.0,0.9102289898182505,0.9102289898182505,-0.08835814737855596,0.08835814737855596,True,4.0,4.0,5.589585827456574,5.589585827456574,0.0,0.0,0.0,0.0,0.7034594880210037,0.7034594880210037,-0.07111186451382112,0.07111186451382112,True
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,2.143,-1.0,1.0,-3.009966631151741,3.009966631151741,0.0,0.0,-1.0,1.0,-0.9649287956869586,0.9649287956869586,0.007870842303985714,0.007870842303985714,True,-4.0,4.0,-5.234548314577978,5.234548314577978,0.0,0.0,-1.0,1.0,-3.096409456597428,3.096409456597428,0.057061248355441574,0.057061248355441574,True
