月份,有效网格数,正常网格数,正常占比(%),轻度干旱网格数,轻度干旱占比(%),中度干旱网格数,中度干旱占比(%),重度干旱网格数,重度干旱占比(%),极端干旱网格数,极端干旱占比(%),非干旱范围网格数,非干旱范围占比(%),缺失值网格数,缺失值占比(%),受旱网格占比(%)
2025年01月,4411,0,0.0,106,2.4,3728,84.52,577,13.08,0,0.0,0,0.0,4234,0.0,100.0
2025年01月,4411,0,0.0,268,6.08,4095,92.84,48,1.09,0,0.0,0,0.0,4234,0.0,100.01
2025年01月,4411,0,0.0,397,9.0,3850,87.28,164,3.72,0,0.0,0,0.0,4234,0.0,100.0
2025年01月,4411,45,1.02,1146,25.98,3013,68.31,201,4.56,6,0.14,0,0.0,4234,0.0,98.99
2025年01月,4411,44,1.0,1060,24.03,2970,67.33,333,7.55,4,0.09,0,0.0,4234,0.0,99.0
2025年01月,4411,4,0.09,986,22.35,2996,67.92,414,9.39,11,0.25,0,0.0,4234,0.0,99.91
2025年01月,4411,16,0.36,1052,23.85,2802,63.52,505,11.45,36,0.82,0,0.0,4234,0.0,99.64
2025年01月,4411,33,0.75,1302,29.52,2612,59.22,418,9.48,46,1.04,0,0.0,4234,0.0,99.26
2025年01月,4411,606,13.74,2906,65.88,731,16.57,162,3.67,6,0.14,0,0.0,4234,0.0,86.26
2025年01月,4411,570,12.92,2157,48.9,1472,33.37,205,4.65,7,0.16,0,0.0,4234,0.0,87.08
2025年01月,4411,737,16.71,1987,45.05,1427,32.35,249,5.64,11,0.25,0,0.0,4234,0.0,83.29
2025年01月,4411,721,16.35,2142,48.56,1276,28.93,263,5.96,9,0.2,0,0.0,4234,0.0,83.65
2025年01月,4411,765,17.34,2330,52.82,1066,24.17,242,5.49,8,0.18,0,0.0,4234,0.0,82.66
2025年01月,4411,573,12.99,2528,57.31,1102,24.98,203,4.6,5,0.11,0,0.0,4234,0.0,87.0
2025年01月,4411,639,14.49,2474,56.09,997,22.6,285,6.46,16,0.36,0,0.0,4234,0.0,85.51
2025年01月,4411,873,19.79,2383,54.02,897,20.34,244,5.53,14,0.32,0,0.0,4234,0.0,80.21
2025年01月,4411,620,14.06,2497,56.61,971,22.01,270,6.12,53,1.2,0,0.0,4234,0.0,85.94
2025年01月,4411,198,4.49,2576,58.4,1407,31.9,192,4.35,38,0.86,0,0.0,4234,0.0,95.51
2025年01月,4411,227,5.15,2677,60.69,1244,28.2,262,5.94,1,0.02,0,0.0,4234,0.0,94.85
2025年01月,4411,215,4.87,2592,58.76,1287,29.18,316,7.16,1,0.02,0,0.0,4234,0.0,95.12
2025年01月,4411,161,3.65,2426,55.0,1492,33.82,328,7.44,4,0.09,0,0.0,4234,0.0,96.35
