Site_ID,Longitude,Latitude,匹配网格经度,匹配网格纬度,2025年01月_SPI_30d,2025年01月_干旱等级编码,2025年01月_干旱等级,2025年02月_SPI_30d,2025年02月_干旱等级编码,2025年02月_干旱等级,2025年03月_SPI_30d,2025年03月_干旱等级编码,2025年03月_干旱等级,2025年04月_SPI_30d,2025年04月_干旱等级编码,2025年04月_干旱等级,2025年05月_SPI_30d,2025年05月_干旱等级编码,2025年05月_干旱等级,2025年06月_SPI_30d,2025年06月_干旱等级编码,2025年06月_干旱等级,2025年07月_SPI_30d,2025年07月_干旱等级编码,2025年07月_干旱等级,2025年08月_SPI_30d,2025年08月_干旱等级编码,2025年08月_干旱等级,2025年09月_SPI_30d,2025年09月_干旱等级编码,2025年09月_干旱等级,2025年10月_SPI_30d,2025年10月_干旱等级编码,2025年10月_干旱等级,2025年11月_SPI_30d,2025年11月_干旱等级编码,2025年11月_干旱等级,2025年12月_SPI_30d,2025年12月_干旱等级编码,2025年12月_干旱等级
95332217.0,117.63227,25.27501,117.625,25.27499,-1.2607,2,中度干旱,-0.8179,1,轻度干旱,0.0114,0,正常,-0.3076,0,正常,-0.9462,1,轻度干旱,-1.6781,3,重度干旱,2.0884,5,非干旱范围,-0.7359,1,轻度干旱,0.8497,5,非干旱范围,0.4261,0,正常,0.055,0,正常,-0.7346,1,轻度干旱
95332218.0,117.01007,24.96933,117.02499,24.975,-0.9934,1,轻度干旱,-0.7091,1,轻度干旱,0.0811,0,正常,-0.1801,0,正常,-0.4868,0,正常,-1.2031,2,中度干旱,1.8438,5,非干旱范围,-0.6039,1,轻度干旱,0.5029,5,非干旱范围,-0.723,1,轻度干旱,0.1461,0,正常,-0.4309,0,正常
95332219.0,117.0948,25.2415,117.07501,25.225,-1.0639,2,中度干旱,-0.718,1,轻度干旱,0.0162,0,正常,-0.2709,0,正常,-0.5547,1,轻度干旱,-1.806,3,重度干旱,1.6729,5,非干旱范围,-1.0555,2,中度干旱,0.2243,0,正常,-0.0282,0,正常,0.0074,0,正常,-0.5206,1,轻度干旱
95332220.0,116.11679,25.25292,116.125,25.27499,-1.1579,2,中度干旱,-1.2043,2,中度干旱,-0.0114,0,正常,-0.2128,0,正常,-0.1069,0,正常,-0.5492,1,轻度干旱,0.4681,0,正常,-0.6669,1,轻度干旱,0.2213,0,正常,0.2053,0,正常,-0.1318,0,正常,-0.3719,0,正常
95332221.0,117.3608625,26.78347812,117.375,26.77499,-1.5698,3,重度干旱,-1.0304,2,中度干旱,0.454,0,正常,0.1927,0,正常,0.2978,0,正常,-1.3307,2,中度干旱,0.8022,5,非干旱范围,-1.547,3,重度干旱,-0.1685,0,正常,0.5655,5,非干旱范围,0.0012,0,正常,-0.939,1,轻度干旱
95332222.0,117.5481259,26.79229729,117.52499,26.77499,-1.5969,3,重度干旱,-1.0662,2,中度干旱,0.4761,0,正常,0.1867,0,正常,0.225,0,正常,-1.416,2,中度干旱,0.6865,5,非干旱范围,-1.4604,2,中度干旱,0.1215,0,正常,0.5794,5,非干旱范围,0.0057,0,正常,-0.9812,1,轻度干旱
95332223.0,117.6007481,26.66962275,117.625,26.675,-1.562,3,重度干旱,-1.1179,2,中度干旱,0.3609,0,正常,0.3922,0,正常,0.0566,0,正常,-1.3802,2,中度干旱,0.6734,5,非干旱范围,-1.3748,2,中度干旱,0.3031,0,正常,0.5786,5,非干旱范围,-0.1456,0,正常,-0.9936,1,轻度干旱
95332224.0,117.4623274,26.53346358,117.47501,26.52499,-1.5577,3,重度干旱,-1.161,2,中度干旱,0.4364,0,正常,0.415,0,正常,0.2804,0,正常,-1.3504,2,中度干旱,0.8089,5,非干旱范围,-1.2654,2,中度干旱,0.2181,0,正常,0.5327,5,非干旱范围,0.0214,0,正常,-0.9728,1,轻度干旱
95332225.0,117.5158023,27.14893502,117.52499,27.125,-1.6459,3,重度干旱,-0.932,1,轻度干旱,0.5492,5,非干旱范围,-0.0279,0,正常,0.9522,5,非干旱范围,-1.1654,2,中度干旱,0.1812,0,正常,-1.6633,3,重度干旱,0.1418,0,正常,-0.1536,0,正常,0.2748,0,正常,-0.9334,1,轻度干旱
95332226.0,117.9129664,27.71936172,117.92499,27.725,-1.8666,3,重度干旱,-1.2037,2,中度干旱,0.0108,0,正常,0.1393,0,正常,0.8956,5,非干旱范围,-1.6487,3,重度干旱,-0.6541,1,轻度干旱,-1.5245,3,重度干旱,0.3034,0,正常,-0.5414,1,轻度干旱,0.2678,0,正常,-0.9281,1,轻度干旱
95332227.0,117.7970728,27.56918588,117.77499,27.575,-1.8446,3,重度干旱,-1.0795,2,中度干旱,0.2681,0,正常,0.0554,0,正常,0.752,5,非干旱范围,-1.574,3,重度干旱,-0.3889,0,正常,-1.6283,3,重度干旱,0.2579,0,正常,-0.4909,0,正常,0.2647,0,正常,-0.9412,1,轻度干旱
95332228.0,118.1833673,27.68410527,118.17499,27.675,-1.8839,3,重度干旱,-1.1883,2,中度干旱,0.243,0,正常,0.437,0,正常,0.8772,5,非干旱范围,-1.4888,2,中度干旱,-0.4359,0,正常,-1.7629,3,重度干旱,0.1297,0,正常,-0.4039,0,正常,0.2528,0,正常,-0.955,1,轻度干旱
95332229.0,117.8937625,27.86000655,117.875,27.875,-1.8147,3,重度干旱,-1.0174,2,中度干旱,0.1433,0,正常,0.2488,0,正常,0.9287,5,非干旱范围,-1.3036,2,中度干旱,-0.4502,0,正常,-1.3403,2,中度干旱,0.2835,0,正常,0.2843,0,正常,0.1953,0,正常,-0.873,1,轻度干旱
95332230.0,118.1949041,27.56726697,118.17499,27.575,-1.8582,3,重度干旱,-1.2123,2,中度干旱,0.3982,0,正常,0.4586,0,正常,0.8085,5,非干旱范围,-1.5233,3,重度干旱,-0.2227,0,正常,-1.7584,3,重度干旱,0.0323,0,正常,-0.5368,1,轻度干旱,0.2415,0,正常,-0.9447,1,轻度干旱
95332231.0,117.7169739,27.06687783,117.72501,27.075,-1.743,3,重度干旱,-0.9827,1,轻度干旱,0.5695,5,非干旱范围,0.2002,0,正常,0.8555,5,非干旱范围,-1.587,3,重度干旱,0.358,0,正常,-1.8243,3,重度干旱,0.3673,0,正常,-0.1326,0,正常,0.2438,0,正常,-0.9647,1,轻度干旱
95332232.0,117.4091708,25.81640582,117.42499,25.825,-1.4006,2,中度干旱,-1.1654,2,中度干旱,0.3778,0,正常,0.6163,5,非干旱范围,-0.3546,0,正常,-1.711,3,重度干旱,1.1588,5,非干旱范围,-1.0671,2,中度干旱,0.7068,5,非干旱范围,0.386,0,正常,0.0467,0,正常,-0.763,1,轻度干旱
95332233.0,117.467793,25.89459269,117.47501,25.875,-1.4134,2,中度干旱,-1.155,2,中度干旱,0.3898,0,正常,0.5332,5,非干旱范围,-0.2192,0,正常,-1.763,3,重度干旱,1.0644,5,非干旱范围,-1.1083,2,中度干旱,0.5926,5,非干旱范围,0.1629,0,正常,-0.1061,0,正常,-0.7834,1,轻度干旱
95332234.0,116.77256,25.47449,116.77499,25.475,-1.1544,2,中度干旱,-1.1855,2,中度干旱,0.2833,0,正常,-0.1962,0,正常,-0.8033,1,轻度干旱,-1.4169,2,中度干旱,1.0152,5,非干旱范围,-0.6931,1,轻度干旱,0.2136,0,正常,-0.4475,0,正常,-0.3548,0,正常,-0.5353,1,轻度干旱
95332235.0,116.29942,25.47995,116.27499,25.475,-1.1925,2,中度干旱,-1.1461,2,中度干旱,0.059,0,正常,-0.1135,0,正常,-0.3725,0,正常,-1.2861,2,中度干旱,0.4761,0,正常,-0.56,1,轻度干旱,-0.0445,0,正常,0.2081,0,正常,-0.3516,0,正常,-0.5037,1,轻度干旱
95332236.0,116.68835,25.66767,116.67499,25.675,-1.2747,2,中度干旱,-1.0865,2,中度干旱,0.3161,0,正常,0.125,0,正常,-0.0651,0,正常,-1.6884,3,重度干旱,0.8509,5,非干旱范围,-0.515,1,轻度干旱,0.2973,0,正常,0.0298,0,正常,-0.2182,0,正常,-0.6776,1,轻度干旱
95332237.0,117.00125,25.69326,117.02499,25.675,-1.3038,2,中度干旱,-1.2082,2,中度干旱,0.3553,0,正常,0.2189,0,正常,-0.5436,1,轻度干旱,-1.5624,3,重度干旱,1.1336,5,非干旱范围,-0.6197,1,轻度干旱,0.5429,5,非干旱范围,0.0273,0,正常,-0.1276,0,正常,-0.6862,1,轻度干旱
95332238.0,117.2348565,25.72348088,117.22501,25.725,-1.3224,2,中度干旱,-1.2106,2,中度干旱,0.3394,0,正常,0.4053,0,正常,-0.1828,0,正常,-1.6837,3,重度干旱,1.3627,5,非干旱范围,-0.7598,1,轻度干旱,0.7313,5,非干旱范围,0.145,0,正常,-0.0622,0,正常,-0.6699,1,轻度干旱
95332239.0,117.6462713,26.197705,117.625,26.175,-1.7109,3,重度干旱,-1.2076,2,中度干旱,0.736,5,非干旱范围,0.5883,5,非干旱范围,-0.132,0,正常,-1.7572,3,重度干旱,0.7505,5,非干旱范围,-1.5422,3,重度干旱,0.3897,0,正常,0.6521,5,非干旱范围,-0.1702,0,正常,-0.8177,1,轻度干旱
95332240.0,117.6962543,26.39744371,117.67499,26.375,-1.5172,3,重度干旱,-1.198,2,中度干旱,0.5034,5,非干旱范围,0.5389,5,非干旱范围,0.1787,0,正常,-1.3977,2,中度干旱,0.8277,5,非干旱范围,-1.3564,2,中度干旱,0.6221,5,非干旱范围,0.6105,5,非干旱范围,-0.1303,0,正常,-0.8772,1,轻度干旱
95332242.0,118.2814144,27.95758117,118.27499,27.975,-1.8539,3,重度干旱,-1.0152,2,中度干旱,0.1743,0,正常,0.647,5,非干旱范围,1.0133,5,非干旱范围,-0.9853,1,轻度干旱,-0.6337,1,轻度干旱,-1.162,2,中度干旱,0.5547,5,非干旱范围,0.4302,0,正常,-0.0131,0,正常,-0.8748,1,轻度干旱
95332243.0,118.0908773,27.81907915,118.07501,27.825,-1.9112,3,重度干旱,-1.0705,2,中度干旱,0.3144,0,正常,0.4987,0,正常,0.9125,5,非干旱范围,-1.2594,2,中度干旱,-0.4518,0,正常,-1.4097,2,中度干旱,0.2416,0,正常,-0.2013,0,正常,0.1687,0,正常,-0.9415,1,轻度干旱
95332244.0,116.28577,25.76857,116.27499,25.77499,-1.4503,2,中度干旱,-1.0454,2,中度干旱,-0.048,0,正常,-0.0635,0,正常,-0.1976,0,正常,-1.8022,3,重度干旱,0.7705,5,非干旱范围,-0.6663,1,轻度干旱,-0.0549,0,正常,0.8288,5,非干旱范围,-0.3955,0,正常,-0.7516,1,轻度干旱
