AnalysisLayer,ScenarioID,SPI_Status,n_hours,n_days,n_sites,n_sitemonths
Hourly_state,BASE,Extreme,2952,32,20,34
Hourly_state,BASE,Normal,95264,297,27,293
Hourly_state,BASE,Other,125776,340,27,321
Hourly_state,E15,Extreme,12936,102,27,115
Hourly_state,E15,Normal,95264,297,27,293
Hourly_state,E15,Other,115792,340,27,321
Hourly_state,E18,Extreme,5280,46,24,56
Hourly_state,E18,Normal,95264,297,27,293
Hourly_state,E18,Other,123448,340,27,321
Hourly_state,E22,Extreme,816,17,12,17
Hourly_state,E22,Normal,95264,297,27,293
Hourly_state,E22,Other,127912,340,27,321
Hourly_state,N025,Extreme,2952,32,20,34
Hourly_state,N025,Normal,49440,262,27,250
Hourly_state,N025,Other,171600,346,27,324
Hourly_state,N075,Extreme,2952,32,20,34
Hourly_state,N075,Normal,134280,325,27,306
Hourly_state,N075,Other,86760,310,27,302
Hourly_state,N10,Extreme,2952,32,20,34
Hourly_state,N10,Normal,168552,344,27,316
Hourly_state,N10,Other,52488,251,27,264
Hourly_state,C3,Extreme,5280,46,24,56
Hourly_state,C3,Normal,134280,325,27,306
Hourly_state,C3,Other,84432,310,27,302
Hourly_state,C4,Extreme,816,17,12,17
Hourly_state,C4,Normal,49440,262,27,250
Hourly_state,C4,Other,173736,346,27,324
Hourly_state,C5,Extreme,5280,46,24,56
Hourly_state,C5,Normal,49440,262,27,250
Hourly_state,C5,Other,169272,346,27,324
Hourly_state,H48,Extreme,2952,32,20,34
Hourly_state,H48,Normal,95264,297,27,293
Hourly_state,H48,Other,125776,340,27,321
Hourly_state,H120,Extreme,2952,32,20,34
Hourly_state,H120,Normal,95264,297,27,293
Hourly_state,H120,Other,125776,340,27,321
Hourly_state,H168,Extreme,2952,32,20,34
Hourly_state,H168,Normal,95264,297,27,293
Hourly_state,H168,Other,125776,340,27,321
Hourly_state,M05,Extreme,2952,32,20,34
Hourly_state,M05,Normal,95264,297,27,293
Hourly_state,M05,Other,125776,340,27,321
Hourly_state,M075,Extreme,2952,32,20,34
Hourly_state,M075,Normal,95264,297,27,293
Hourly_state,M075,Other,125776,340,27,321
Hourly_state,M15,Extreme,2952,32,20,34
Hourly_state,M15,Normal,95264,297,27,293
Hourly_state,M15,Other,125776,340,27,321
