ScenarioID,Site_ID,Event_ID,Event_Start_Date,Event_End_Date,Duration_Days,Minimum_SPI,Stage,Stage_Label,Window_Type,Window_Start,Window_End,Window_Days,Window_End_Relative_Day,Reference_CBI,Reference_Flag,Pair_Flag,Window_CBI,Window_Intercept,Window_R2,Window_n_hours,Window_MacroSD,Window_Flag,Delta_CBI
BASE,95332217,3,2025-04-02,2025-04-19,18,-2.2451560497283936,FullEvent,完整事件,event_reproduction,2025-04-02,2025-04-19,18,,0.5549632330270037,ok,ok,0.7395714029292012,3.677502205918426,0.8216708250908737,432,4.675849625275155,ok,0.18460816990219753
BASE,95332217,3,2025-04-02,2025-04-19,18,-2.2451560497283936,Early,事件前段,event_phase,2025-04-02,2025-04-07,6,,0.5549632330270037,ok,ok,0.6534086155469464,4.113621468830086,0.846643036322128,144,4.377679286865903,ok,0.09844538251994273
BASE,95332217,3,2025-04-02,2025-04-19,18,-2.2451560497283936,Middle,事件中段,event_phase,2025-04-08,2025-04-13,6,,0.5549632330270037,ok,ok,0.6466365341620897,6.072177317716418,0.7412099935493722,144,4.325510257294553,ok,0.09167330113508598
BASE,95332217,3,2025-04-02,2025-04-19,18,-2.2451560497283936,Late,事件后段,event_phase,2025-04-14,2025-04-19,6,,0.5549632330270037,ok,ok,0.766863341332874,3.4007293439777193,0.8488515778608878,144,4.169761964867269,ok,0.21190010830587036
BASE,95332217,3,2025-04-02,2025-04-19,18,-2.2451560497283936,R01_07,结束后1-7天,recovery,2025-04-20,2025-04-26,7,7.0,0.5549632330270037,ok,ok,0.5806292085371249,8.815587850793627,0.8303922945056538,168,3.565505855147886,ok,0.025665975510121175
BASE,95332217,3,2025-04-02,2025-04-19,18,-2.2451560497283936,R08_14,结束后8-14天,recovery,2025-04-27,2025-05-03,7,14.0,0.5549632330270037,ok,ok,0.5617640449025063,8.402811648151632,0.8303666487305705,168,3.7238733289987707,ok,0.0068008118755026326
BASE,95332217,3,2025-04-02,2025-04-19,18,-2.2451560497283936,R15_30,结束后15-30天,recovery,2025-05-04,2025-05-19,16,30.0,0.5549632330270037,ok,ok,,,,0,,overlap_other_extreme_event,
BASE,95332217,4,2025-05-12,2025-07-08,58,-2.0193190574646,FullEvent,完整事件,event_reproduction,2025-05-12,2025-07-08,58,,0.40498667969936974,ok,ok,0.5730498209166532,9.790054102157846,0.8062683406228457,1392,3.899570046565925,ok,0.1680631412172835
BASE,95332217,4,2025-05-12,2025-07-08,58,-2.0193190574646,Early,事件前段,event_phase,2025-05-12,2025-05-31,20,,0.40498667969936974,ok,ok,0.5853093078564571,8.978527104743653,0.7465291934951779,480,3.4935734144705717,ok,0.18032262815708733
BASE,95332217,4,2025-05-12,2025-07-08,58,-2.0193190574646,Middle,事件中段,event_phase,2025-06-01,2025-06-19,19,,0.40498667969936974,ok,ok,0.4901023073691303,12.254642507887413,0.7089012881274923,456,2.8428113261144423,ok,0.08511562766976055
BASE,95332217,4,2025-05-12,2025-07-08,58,-2.0193190574646,Late,事件后段,event_phase,2025-06-20,2025-07-08,19,,0.40498667969936974,ok,ok,0.45860440898594185,12.949755651075144,0.8080527977141702,456,3.524214098106396,ok,0.0536177292865721
BASE,95332217,4,2025-05-12,2025-07-08,58,-2.0193190574646,R01_07,结束后1-7天,recovery,2025-07-09,2025-07-15,7,7.0,0.40498667969936974,ok,ok,0.46119611071404665,13.288720344966697,0.7827087739191009,168,2.254236947201136,ok,0.0562094310146769
BASE,95332217,4,2025-05-12,2025-07-08,58,-2.0193190574646,R08_14,结束后8-14天,recovery,2025-07-16,2025-07-22,7,14.0,0.40498667969936974,ok,ok,0.5154183909088428,12.37537693661515,0.8152891138279518,168,2.5367181591578936,ok,0.11043171120947304
BASE,95332217,4,2025-05-12,2025-07-08,58,-2.0193190574646,R15_30,结束后15-30天,recovery,2025-07-23,2025-08-07,16,30.0,0.40498667969936974,ok,ok,0.4470521938069978,13.938668071435844,0.6915147343616314,384,2.4506437342087724,ok,0.042065514107628044
BASE,95332218,4,2025-04-02,2025-04-23,22,-2.0132932662963867,FullEvent,完整事件,event_reproduction,2025-04-02,2025-04-23,22,,0.6181511943080942,ok,ok,0.801848689438064,2.3437249295864664,0.8588091528568137,528,4.702721798207631,ok,0.1836974951299698
BASE,95332218,4,2025-04-02,2025-04-23,22,-2.0132932662963867,Early,事件前段,event_phase,2025-04-02,2025-04-09,8,,0.6181511943080942,ok,ok,0.7373738821578126,2.8589262871006813,0.8542006176788617,192,4.628940552625142,ok,0.11922268784971846
BASE,95332218,4,2025-04-02,2025-04-23,22,-2.0132932662963867,Middle,事件中段,event_phase,2025-04-10,2025-04-16,7,,0.6181511943080942,ok,ok,0.8267718145023025,1.8786333839075553,0.8548633713362482,168,4.63846927122404,ok,0.20862062019420835
BASE,95332218,4,2025-04-02,2025-04-23,22,-2.0132932662963867,Late,事件后段,event_phase,2025-04-17,2025-04-23,7,,0.6181511943080942,ok,ok,0.4838243458045705,10.179788972039633,0.7070734803204124,168,2.836994133635036,ok,-0.13432684850352367
BASE,95332218,4,2025-04-02,2025-04-23,22,-2.0132932662963867,R01_07,结束后1-7天,recovery,2025-04-24,2025-04-30,7,7.0,0.6181511943080942,ok,ok,0.5138397312611033,8.233452498178124,0.7302330905942249,168,3.0663466274380013,ok,-0.1043114630469909
BASE,95332218,4,2025-04-02,2025-04-23,22,-2.0132932662963867,R08_14,结束后8-14天,recovery,2025-05-01,2025-05-07,7,14.0,0.6181511943080942,ok,ok,0.5386415828189807,8.659046316537362,0.8518426871829865,168,3.346232362186231,ok,-0.07950961148911351
BASE,95332218,4,2025-04-02,2025-04-23,22,-2.0132932662963867,R15_30,结束后15-30天,recovery,2025-05-08,2025-05-23,16,30.0,0.6181511943080942,ok,ok,0.6858425552941412,5.732428528339602,0.7029046494286203,384,3.473347732944197,ok,0.067691360986047
BASE,95332219,5,2025-04-02,2025-04-23,22,-2.3179261684417725,FullEvent,完整事件,event_reproduction,2025-04-02,2025-04-23,22,,0.8597936625513316,ok,ok,0.9580270488065812,1.1051294922438508,0.8287753656934966,528,4.623184564903906,ok,0.09823338625524958
BASE,95332219,5,2025-04-02,2025-04-23,22,-2.3179261684417725,Early,事件前段,event_phase,2025-04-02,2025-04-09,8,,0.8597936625513316,ok,ok,0.9120314063490258,1.060606760283152,0.8242832439469276,192,4.361465350052751,ok,0.05223774379769419
BASE,95332219,5,2025-04-02,2025-04-23,22,-2.3179261684417725,Middle,事件中段,event_phase,2025-04-10,2025-04-16,7,,0.8597936625513316,ok,ok,0.9736594616928492,1.5014024118441718,0.8185059209396931,168,4.802829246786587,ok,0.11386579914151762
BASE,95332219,5,2025-04-02,2025-04-23,22,-2.3179261684417725,Late,事件后段,event_phase,2025-04-17,2025-04-23,7,,0.8597936625513316,ok,ok,0.8150515959284838,4.5312744105453255,0.6766196778454503,168,2.8260026839328987,ok,-0.044742066622847854
BASE,95332219,5,2025-04-02,2025-04-23,22,-2.3179261684417725,R01_07,结束后1-7天,recovery,2025-04-24,2025-04-30,7,7.0,0.8597936625513316,ok,ok,0.7287969346060251,4.696560738565257,0.7212610368966027,168,2.916798237702445,ok,-0.13099672794530648
BASE,95332219,5,2025-04-02,2025-04-23,22,-2.3179261684417725,R08_14,结束后8-14天,recovery,2025-05-01,2025-05-07,7,14.0,0.8597936625513316,ok,ok,0.8076450622309791,3.6942446384611394,0.7429888869348238,168,3.1181695678773353,ok,-0.05214860032035251
BASE,95332219,5,2025-04-02,2025-04-23,22,-2.3179261684417725,R15_30,结束后15-30天,recovery,2025-05-08,2025-05-23,16,30.0,0.8597936625513316,ok,ok,0.8397650474016899,3.6230060869264626,0.7861483471602266,384,3.3825881570316834,ok,-0.020028615149641715
BASE,95332219,7,2025-06-04,2025-07-10,37,-2.29106879234314,FullEvent,完整事件,event_reproduction,2025-06-04,2025-07-10,37,,0.5719319602927121,ok,ok,0.7150030465101354,6.829735050049969,0.81305924951331,888,3.124980499773649,ok,0.14307108621742326
BASE,95332219,7,2025-06-04,2025-07-10,37,-2.29106879234314,Early,事件前段,event_phase,2025-06-04,2025-06-16,13,,0.5719319602927121,ok,ok,0.7424281248307981,5.9654088363421245,0.7603603562435318,312,2.786812216973956,ok,0.17049616453808603
BASE,95332219,7,2025-06-04,2025-07-10,37,-2.29106879234314,Middle,事件中段,event_phase,2025-06-17,2025-06-28,12,,0.5719319602927121,ok,ok,0.7020795432580804,7.398886689955766,0.8249111612414513,288,2.861502018567875,ok,0.13014758296536832
BASE,95332219,7,2025-06-04,2025-07-10,37,-2.29106879234314,Late,事件后段,event_phase,2025-06-29,2025-07-10,12,,0.5719319602927121,ok,ok,0.714230199822799,6.805425697342262,0.8492442807167259,288,3.501586589594978,ok,0.1422982395300869
BASE,95332219,7,2025-06-04,2025-07-10,37,-2.29106879234314,R01_07,结束后1-7天,recovery,2025-07-11,2025-07-17,7,7.0,0.5719319602927121,ok,ok,0.5411803684227348,11.120598331546335,0.8407714500510852,168,2.5822028312237633,ok,-0.030751591869977335
BASE,95332219,7,2025-06-04,2025-07-10,37,-2.29106879234314,R08_14,结束后8-14天,recovery,2025-07-18,2025-07-24,7,14.0,0.5719319602927121,ok,ok,0.580559854911555,10.209301204510485,0.8052521825628773,168,2.267527914725215,ok,0.008627894618842946
BASE,95332219,7,2025-06-04,2025-07-10,37,-2.29106879234314,R15_30,结束后15-30天,recovery,2025-07-25,2025-08-09,16,30.0,0.5719319602927121,ok,ok,0.5992210717359465,9.503507703202478,0.7342219751949013,384,2.589075394860393,ok,0.027289111443234426
