Window_Days,Window_End_Relative_Day,Median_Delta_CBI,Q25_Delta_CBI,Q75_Delta_CBI,N_events,N_sites,N_windows
7,-57,0.2852044643350028,0.2852044643350028,0.2852044643350028,1,1,1
7,-56,0.25625979306569857,0.25625979306569857,0.25625979306569857,1,1,1
7,-55,0.2651994243839787,0.2651994243839787,0.2651994243839787,1,1,1
7,-54,0.2746816869713483,0.2746816869713483,0.2746816869713483,1,1,1
7,-53,0.27974262126056537,0.27974262126056537,0.27974262126056537,1,1,1
7,-52,0.3355608253897391,0.3355608253897391,0.3355608253897391,1,1,1
7,-51,0.2786696610583924,0.2786696610583924,0.2786696610583924,1,1,1
7,-50,0.17544817111328836,0.17544817111328836,0.17544817111328836,1,1,1
7,-49,0.055605285901833224,0.055605285901833224,0.055605285901833224,1,1,1
7,-48,0.018493921836166993,0.018493921836166993,0.018493921836166993,1,1,1
7,-47,0.0053717379853380764,0.0053717379853380764,0.0053717379853380764,1,1,1
7,-46,0.001907941388148815,0.001907941388148815,0.001907941388148815,1,1,1
7,-45,0.047407662157519403,0.047407662157519403,0.047407662157519403,1,1,1
7,-44,0.1714822435439134,0.1714822435439134,0.1714822435439134,1,1,1
7,-43,0.07528589957830206,0.006189239886840531,0.1443825592697636,2,2,2
7,-42,0.07915039428119805,-0.013738151537251622,0.16388115840965983,4,4,4
7,-41,0.04113144226131865,-0.061807669881005445,0.13441387868751667,4,4,4
7,-40,0.07401849743820302,-0.03210290796416568,0.1384343827323219,4,4,4
7,-39,0.01763746175322481,-0.03168447369773515,0.04615092746531471,4,4,4
7,-38,0.04951699872991677,-0.06661355990046952,0.05172374240629757,4,5,5
7,-37,0.04289980021506701,0.03264053351094576,0.07551085435361005,4,5,5
7,-36,0.053610559209288255,0.025472733108932194,0.09521038889450711,4,7,7
7,-35,0.051439008435079314,-0.007915889637542528,0.0952511201525349,4,7,7
7,-34,0.07419175183460408,-0.007436109351406761,0.11289032279114652,4,7,7
7,-33,0.08391353120745026,0.007025438718326005,0.09985951841850241,4,7,7
7,-32,0.09140871735819694,-0.010787719787197447,0.11511080910854662,4,7,7
7,-31,0.08164355041812138,0.004042021188332384,0.12323005084425284,4,11,11
7,-30,0.09673686870264628,0.020180977702951117,0.14329734064031963,4,12,12
7,-29,0.06677220179699384,0.022679676504388846,0.13494651139770786,4,12,12
7,-28,0.07018275283437653,0.03539550166583162,0.10118636913452995,4,14,14
7,-27,0.06345754880597948,0.01145757857873378,0.0967276158510578,4,14,14
7,-26,0.04189804711258596,0.011322473312248352,0.09353336107115863,4,14,14
7,-25,0.061243613627493254,0.03884114281667354,0.09723726093939146,4,14,14
7,-24,0.0820363979134133,0.03222697630136406,0.11954415536105156,4,14,14
7,-23,0.0672846821306271,0.02457682898458538,0.10551488947297658,4,14,14
7,-22,0.05831008858098374,0.005833052886618562,0.09493138159621228,6,16,17
7,-21,0.06081234910819433,-0.0009356775218319624,0.11328574533840086,6,17,20
7,-20,0.051222966154290506,-0.0523205905596639,0.11138050705348809,6,20,23
7,-19,0.05853758561948447,-0.025794973933943588,0.1078998899412531,6,20,25
7,-18,0.03722962437834665,-0.07069053635347478,0.08389718004882185,6,20,25
7,-17,0.037801068363829016,-0.044494401783995524,0.0914239879950629,6,20,26
7,-16,0.06150603164222235,-0.007571816647757967,0.08456313090005671,6,20,27
7,-15,0.04353965734565435,0.0036368378476060448,0.08276145752417075,6,20,27
7,-14,0.05371849460656242,0.012630060035238283,0.09393864639808025,6,20,27
7,-13,0.07114882744988538,0.016708103971774024,0.09877064421751452,6,20,27
7,-12,0.06278354970863942,0.01331075315319069,0.10100397228097374,6,20,27
7,-11,0.05724531196590532,-0.01344404633537491,0.08959055755942294,6,20,27
7,-10,0.05583747499400138,-0.025070289278025987,0.09968358605983269,6,20,27
7,-9,0.02789216213716106,-0.025693749246718356,0.10530768870088367,6,20,27
7,-8,0.02336028878002472,-0.025245365043682744,0.12487365779435328,6,20,27
7,-7,0.03168155129235084,-0.0322099654267437,0.11268241653945238,6,20,27
7,-6,0.05473903934065533,-0.03220916847040445,0.12053189414223536,6,20,27
7,-5,0.07256176431441941,-0.025796910720305544,0.12663915943244805,6,20,27
7,-4,0.06782671457038225,-0.028741333055517015,0.14579477971562754,6,20,27
7,-3,0.05502094473361008,-0.021406679708024706,0.14303774414635245,6,20,27
7,-2,0.06192730205078523,-0.02055824335285719,0.11653669111918197,6,20,27
7,-1,0.04995963213263643,-0.008818834330002245,0.11197915505415207,6,20,27
7,0,0.016889464675761245,-0.036964594799051786,0.12714176383567846,6,20,27
7,1,0.024699590502172686,-0.07426525713441806,0.11090328607328084,6,20,27
7,2,0.015090591247824026,-0.055677128106761786,0.11735802959025557,6,20,27
7,3,0.0012718966099763973,-0.0617899060753323,0.07737258912029726,6,20,27
7,4,0.007843438409825376,-0.03962665619782901,0.06762279194851017,6,20,27
7,5,-0.004851225045485186,-0.04391208123658086,0.02270068216139598,6,20,27
7,6,-0.022571812193922236,-0.042493452006311216,0.028763974627314448,6,20,27
7,7,0.01034559242658084,-0.06270303060058299,0.023274774188185687,6,20,27
7,8,-0.004837183070127149,-0.08376180286267182,0.014001285183927736,6,20,27
7,9,-0.004751706224950802,-0.05802928622236625,0.029653744886734446,6,20,27
7,10,0.002526730242651709,-0.038198003715688766,0.05526974216518937,6,20,27
7,11,-0.0016654574060196436,-0.04971590440797355,0.044410553946729825,6,20,27
7,12,-0.011803085149047932,-0.04674482008740219,0.034628738356343225,6,20,27
7,13,-0.006008100684349538,-0.05994933174928002,0.006265823973375495,6,20,27
7,14,-0.029644965766281173,-0.06629501727859907,0.025383112694600918,6,20,27
7,15,-0.03303661207950004,-0.07490800331496722,0.0296854607001526,6,20,27
7,16,-0.01856099546884321,-0.08022976073383303,0.033831827098325745,6,20,27
7,17,-0.031069020770262135,-0.12088635517471596,0.03705738335220604,6,20,27
7,18,0.0012557163761910406,-0.0986662177482939,0.032819272502356,6,20,27
7,19,-0.002984329351490622,-0.1076145478544446,0.027387688566274826,6,20,27
7,20,-0.002478750193505963,-0.08946059616293092,0.036828525562037306,6,20,27
7,21,0.007327019956095193,-0.06514654320731073,0.05067816054566393,6,20,27
7,22,0.029302153182927504,-0.04073780863069065,0.0859304754919071,6,20,27
7,23,0.034967060571773234,0.004806286455425468,0.09436912815163365,6,20,27
7,24,0.06928471277685228,0.000248406429739112,0.10229767590678285,6,20,27
7,25,0.05770659529855343,-0.03402940043574526,0.11372450910143306,6,20,27
7,26,0.050532384305817635,-0.04250733320516309,0.12791564741396655,6,20,27
7,27,0.05400211214232331,-0.0307328753918846,0.1270455141943136,6,20,27
7,28,0.029743120725488348,-0.039039677155905145,0.09817647243466071,6,20,27
7,29,0.014779879217165448,-0.04397528374232945,0.10012278308534539,6,20,27
7,30,0.0035930932366476376,-0.05402696678083885,0.08103891213743797,6,20,27
14,-57,0.2038013518600713,0.2038013518600713,0.2038013518600713,1,1,1
14,-56,0.20772365828937722,0.20772365828937722,0.20772365828937722,1,1,1
14,-55,0.20890369668833864,0.20890369668833864,0.20890369668833864,1,1,1
14,-54,0.21470746869362178,0.21470746869362178,0.21470746869362178,1,1,1
