RunType,HeldOutSiteID,LMM_hours,LMM_sites,LMM_sitemonths,LMM_extreme_hours,LMM_normal_hours,LMM_other_hours,LMM_candidate_sitemonths,LMM_eligible_sitemonths_before_macro_sd,LMM_Flag
BASE_full_data,None,6384,13,16,2400,3984,125776,294,16,ok
LOSO,95332217,5880,12,15,2184,3696,120864,283,15,ok
LOSO,95332220,5976,12,15,2232,3744,122296,283,15,ok
LOSO,95332221,6192,12,15,2328,3864,121176,283,15,ok
LOSO,95332225,6000,12,15,2280,3720,120984,283,15,ok
LOSO,95332226,6096,12,15,2328,3768,120480,285,15,ok
LOSO,95332227,5712,12,14,2136,3576,120840,283,14,ok
LOSO,95332228,5376,12,14,2088,3288,121512,283,14,ok
LOSO,95332230,5592,12,14,2112,3480,121464,283,14,ok
LOSO,95332231,6048,12,15,2304,3744,120744,283,15,ok
LOSO,95332235,5904,12,15,2160,3744,122136,283,15,ok
LOSO,95332236,5952,12,15,2160,3792,121632,283,15,ok
LOSO,95332242,6048,12,15,2328,3720,120096,284,15,ok
LOSO,95332244,5832,12,15,2160,3672,121320,283,15,ok
