Season,Season_CN,Site_ID,YearMonth,Site_Month,Extreme,Normal,Normal_Hours,Extreme_Hours,Pass_Normal_72h,Pass_Extreme_72h,Eligible_For_Seasonal_LMM,Failure_Reason
Autumn,秋季(9-11月),95332217,2025-09,95332217_2025-09,0,336,336,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332217,2025-10,95332217_2025-10,0,144,144,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332217,2025-11,95332217_2025-11,0,624,624,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332218,2025-09,95332218_2025-09,0,384,384,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332218,2025-10,95332218_2025-10,0,336,336,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332218,2025-11,95332218_2025-11,0,528,528,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332219,2025-09,95332219_2025-09,0,480,480,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332219,2025-10,95332219_2025-10,0,744,744,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332219,2025-11,95332219_2025-11,0,240,240,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332220,2025-09,95332220_2025-09,0,312,312,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332220,2025-10,95332220_2025-10,0,576,576,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332220,2025-11,95332220_2025-11,0,648,648,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332221,2025-09,95332221_2025-09,0,480,480,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332221,2025-10,95332221_2025-10,0,408,408,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332221,2025-11,95332221_2025-11,0,240,240,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332222,2025-09,95332222_2025-09,0,360,360,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332222,2025-10,95332222_2025-10,0,360,360,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332222,2025-11,95332222_2025-11,0,240,240,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332223,2025-09,95332223_2025-09,0,336,336,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332223,2025-10,95332223_2025-10,0,240,240,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332223,2025-11,95332223_2025-11,0,624,624,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332224,2025-09,95332224_2025-09,0,432,432,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332224,2025-10,95332224_2025-10,0,384,384,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332224,2025-11,95332224_2025-11,0,600,600,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332225,2025-09,95332225_2025-09,0,168,168,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332225,2025-10,95332225_2025-10,0,528,528,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332225,2025-11,95332225_2025-11,0,384,384,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332226,2025-09,95332226_2025-09,72,216,216,72,True,True,True,eligible
Autumn,秋季(9-11月),95332226,2025-10,95332226_2025-10,0,528,528,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332226,2025-11,95332226_2025-11,0,384,384,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332227,2025-09,95332227_2025-09,144,168,168,144,True,True,True,eligible
Autumn,秋季(9-11月),95332227,2025-10,95332227_2025-10,0,480,480,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332227,2025-11,95332227_2025-11,0,336,336,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332228,2025-09,95332228_2025-09,96,432,432,96,True,True,True,eligible
Autumn,秋季(9-11月),95332228,2025-10,95332228_2025-10,0,744,744,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332228,2025-11,95332228_2025-11,0,408,408,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332229,2025-09,95332229_2025-09,48,432,432,48,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332229,2025-10,95332229_2025-10,0,624,624,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332229,2025-11,95332229_2025-11,0,384,384,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332230,2025-09,95332230_2025-09,120,240,240,120,True,True,True,eligible
Autumn,秋季(9-11月),95332230,2025-10,95332230_2025-10,0,720,720,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332230,2025-11,95332230_2025-11,0,456,456,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332231,2025-09,95332231_2025-09,0,192,192,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332231,2025-10,95332231_2025-10,0,504,504,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332231,2025-11,95332231_2025-11,0,336,336,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332232,2025-09,95332232_2025-09,0,264,264,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332232,2025-10,95332232_2025-10,0,48,48,0,False,False,False,both_below_72h
Autumn,秋季(9-11月),95332232,2025-11,95332232_2025-11,0,432,432,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332233,2025-09,95332233_2025-09,0,336,336,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332233,2025-10,95332233_2025-10,0,264,264,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332233,2025-11,95332233_2025-11,0,576,576,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332234,2025-09,95332234_2025-09,0,600,600,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332234,2025-10,95332234_2025-10,0,384,384,0,True,False,False,extreme_below_72h
