Season,Season_CN,Site_ID,Eligible_SiteMonths,Normal_Hours,Extreme_Hours,Share_Of_Season_EligibleSiteMonths
Autumn,秋季(9-11月),95332217,0,1104,0,0.0
Autumn,秋季(9-11月),95332218,0,1248,0,0.0
Autumn,秋季(9-11月),95332219,0,1464,0,0.0
Autumn,秋季(9-11月),95332220,0,1536,0,0.0
Autumn,秋季(9-11月),95332221,0,1128,0,0.0
Autumn,秋季(9-11月),95332222,0,960,0,0.0
Autumn,秋季(9-11月),95332223,0,1200,0,0.0
Autumn,秋季(9-11月),95332224,0,1416,0,0.0
Autumn,秋季(9-11月),95332225,0,1080,0,0.0
Autumn,秋季(9-11月),95332226,1,1128,72,0.2
Autumn,秋季(9-11月),95332227,1,984,144,0.2
Autumn,秋季(9-11月),95332228,1,1584,96,0.2
Autumn,秋季(9-11月),95332229,0,1440,48,0.0
Autumn,秋季(9-11月),95332230,1,1416,120,0.2
Autumn,秋季(9-11月),95332231,0,1032,0,0.0
Autumn,秋季(9-11月),95332232,0,744,0,0.0
Autumn,秋季(9-11月),95332233,0,1176,0,0.0
Autumn,秋季(9-11月),95332234,0,1296,0,0.0
Autumn,秋季(9-11月),95332235,0,1584,0,0.0
Autumn,秋季(9-11月),95332236,0,1536,0,0.0
Autumn,秋季(9-11月),95332237,0,864,0,0.0
Autumn,秋季(9-11月),95332238,0,1200,0,0.0
Autumn,秋季(9-11月),95332239,0,1152,0,0.0
Autumn,秋季(9-11月),95332240,0,960,0,0.0
Autumn,秋季(9-11月),95332242,1,912,72,0.2
Autumn,秋季(9-11月),95332243,0,1536,24,0.0
Autumn,秋季(9-11月),95332244,0,1584,0,0.0
Spring,春季(3-5月),95332217,1,720,216,0.2
Spring,春季(3-5月),95332218,0,864,24,0.0
Spring,春季(3-5月),95332219,0,864,48,0.0
Spring,春季(3-5月),95332220,1,960,168,0.2
Spring,春季(3-5月),95332221,0,1296,0,0.0
Spring,春季(3-5月),95332222,0,1224,0,0.0
Spring,春季(3-5月),95332223,0,1176,0,0.0
Spring,春季(3-5月),95332224,0,1176,0,0.0
Spring,春季(3-5月),95332225,0,1200,0,0.0
Spring,春季(3-5月),95332226,0,1152,0,0.0
Spring,春季(3-5月),95332227,0,1200,0,0.0
Spring,春季(3-5月),95332228,0,1128,0,0.0
Spring,春季(3-5月),95332229,0,912,0,0.0
Spring,春季(3-5月),95332230,0,1248,0,0.0
Spring,春季(3-5月),95332231,0,1296,0,0.0
