Site_ID,Event_ID,Event_Season,Event_Season_CN,Start_Date,End_Date,Duration_Days,Minimum_SPI,End_Season,CrossSeasonEvent,Reference_Search_Start,Reference_Search_End,Potential_Normal_Reference_Days,Reference_Seasons,ReferenceCrossSeason
95332217,3,Spring,春季(3-5月),2025-04-02,2025-04-19,18,-2.2451560497283936,Spring,False,2025-04-21,2025-05-20,21,Spring,False
95332217,4,Spring,春季(3-5月),2025-05-12,2025-07-08,58,-2.0193190574646,Summer,True,2025-07-10,2025-08-08,5,Summer,True
95332218,4,Spring,春季(3-5月),2025-04-02,2025-04-23,22,-2.0132932662963867,Spring,False,2025-04-25,2025-05-24,25,Spring,False
95332219,5,Spring,春季(3-5月),2025-04-02,2025-04-23,22,-2.3179261684417725,Spring,False,2025-04-25,2025-05-24,26,Spring,False
95332219,7,Summer,夏季(6-8月),2025-06-04,2025-07-10,37,-2.29106879234314,Summer,False,2025-07-12,2025-08-10,8,Summer,False
95332220,3,Winter,冬季(12-2月),2025-02-08,2025-03-02,23,-2.037058115005493,Spring,True,2025-03-04,2025-04-02,6,Spring,True
95332220,4,Spring,春季(3-5月),2025-04-02,2025-04-21,20,-2.0098748207092285,Spring,False,2025-04-23,2025-05-22,29,Spring,False
95332221,7,Summer,夏季(6-8月),2025-08-12,2025-09-09,29,-2.27681040763855,Autumn,True,2025-09-11,2025-10-10,25,Autumn,True
95332225,7,Summer,夏季(6-8月),2025-08-12,2025-09-23,43,-2.157047986984253,Autumn,True,2025-09-25,2025-10-24,21,Autumn,True
95332226,5,Summer,夏季(6-8月),2025-08-07,2025-09-18,43,-2.204885721206665,Autumn,True,2025-09-20,2025-10-19,22,Autumn,True
95332227,6,Summer,夏季(6-8月),2025-08-11,2025-09-23,44,-2.481644868850708,Autumn,True,2025-09-25,2025-10-24,19,Autumn,True
95332228,6,Summer,夏季(6-8月),2025-08-12,2025-09-12,32,-2.336613178253174,Autumn,True,2025-09-14,2025-10-13,30,Autumn,True
95332229,7,Summer,夏季(6-8月),2025-08-12,2025-09-12,32,-2.1005795001983643,Autumn,True,2025-09-14,2025-10-13,26,Autumn,True
95332230,6,Summer,夏季(6-8月),2025-08-12,2025-09-17,37,-2.39896559715271,Autumn,True,2025-09-19,2025-10-18,27,Autumn,True
95332231,5,Summer,夏季(6-8月),2025-08-11,2025-09-18,39,-2.299917221069336,Autumn,True,2025-09-20,2025-10-19,20,Autumn,True
95332233,6,Summer,夏季(6-8月),2025-06-21,2025-07-11,21,-2.105762243270874,Summer,False,2025-07-13,2025-08-11,12,Summer,False
95332235,3,Winter,冬季(12-2月),2025-02-08,2025-03-02,23,-2.107394218444824,Spring,True,2025-03-04,2025-04-02,5,Spring,True
95332235,4,Spring,春季(3-5月),2025-04-02,2025-04-21,20,-2.4802095890045166,Spring,False,2025-04-23,2025-05-22,29,Spring,False
95332236,4,Spring,春季(3-5月),2025-04-02,2025-04-23,22,-2.785902738571167,Spring,False,2025-04-25,2025-05-24,29,Spring,False
95332236,5,Summer,夏季(6-8月),2025-06-19,2025-07-19,31,-2.224727153778076,Summer,False,2025-07-21,2025-08-19,10,Summer,False
95332238,5,Summer,夏季(6-8月),2025-06-21,2025-07-11,21,-2.096324920654297,Summer,False,2025-07-13,2025-08-11,8,Summer,False
95332239,6,Summer,夏季(6-8月),2025-06-21,2025-07-11,21,-2.132532119750977,Summer,False,2025-07-13,2025-08-11,16,Summer,False
95332242,6,Summer,夏季(6-8月),2025-08-15,2025-09-12,29,-2.2075388431549072,Autumn,True,2025-09-14,2025-10-13,15,Autumn,True
95332243,6,Summer,夏季(6-8月),2025-08-12,2025-09-12,32,-2.106205463409424,Autumn,True,2025-09-14,2025-10-13,28,Autumn,True
95332244,2,Winter,冬季(12-2月),2025-02-08,2025-03-02,23,-2.0202953815460205,Spring,True,2025-03-04,2025-04-02,5,Spring,True
95332244,3,Spring,春季(3-5月),2025-04-02,2025-04-18,17,-2.5941708087921143,Spring,False,2025-04-20,2025-05-19,24,Spring,False
95332244,5,Summer,夏季(6-8月),2025-06-20,2025-07-21,32,-2.0799567699432373,Summer,False,2025-07-23,2025-08-21,14,Summer,False
