参数组,参数名,当前值,用途说明
路径与阈值,project_dir,E:\forest_microclimate\ForestMicroclimate,输入输出路径或全局阈值。
路径与阈值,output_dir,E:\forest_microclimate\ForestMicroclimate\results\论文主图\Fig1_现象图,输入输出路径或全局阈值。
路径与阈值,extreme_spi_threshold,-2.0,极端干旱阈值；SPI30d <= 该值被视为 extreme drought。
路径与阈值,severe_spi_threshold,-1.5,重度干旱边界；-2.0 < SPI30d <= -1.5 被视为 severe drought。
路径与阈值,moderate_spi_threshold,-1.0,中度干旱边界；-1.5 < SPI30d <= -1.0 被视为 moderate drought。
路径与阈值,normal_spi_low,-0.5,正常参考状态下界；Normal 为 -0.5 < SPI30d < 0.5。
路径与阈值,normal_spi_high,0.5,正常参考状态上界；Normal 为 -0.5 < SPI30d < 0.5。
路径与阈值,min_site_month_status_cbi_hours,72,重算 SiteMonth 状态 CBI 的最低逐小时样本量。
路径与阈值,min_site_month_status_macro_sd,1.0,重算 SiteMonth 状态 CBI 的最低 ERA5 温度标准差。
路径与阈值,figure_dpi,600,PNG 输出分辨率；投稿图建议 600 dpi。
图形参数,fig_width,12.2,组合图宽度，单位英寸。
图形参数,fig_height,9.8,组合图高度，单位英寸。
图形参数,grid_left,0.06,控制图例、线条、点大小、颜色、字体或版式。
图形参数,grid_right,0.94,控制图例、线条、点大小、颜色、字体或版式。
图形参数,grid_bottom,0.1,控制图例、线条、点大小、颜色、字体或版式。
图形参数,grid_top,0.94,控制图例、线条、点大小、颜色、字体或版式。
图形参数,grid_wspace,0.22,左右面板水平间距；增大可减少面板拥挤。
图形参数,grid_hspace,0.38,上下两行面板间距；增大可避免色标和标题重叠。
图形参数,suptitle_y,0.982,控制图例、线条、点大小、颜色、字体或版式。
图形参数,axes_linewidth,0.8,控制图例、线条、点大小、颜色、字体或版式。
图形参数,axis_label_size,9,控制图例、线条、点大小、颜色、字体或版式。
图形参数,title_size,10,控制图例、线条、点大小、颜色、字体或版式。
图形参数,tick_label_size,8,控制图例、线条、点大小、颜色、字体或版式。
图形参数,legend_font_size,8,控制图例、线条、点大小、颜色、字体或版式。
图形参数,suptitle_size,11,控制图例、线条、点大小、颜色、字体或版式。
图形参数,map_facecolor_a,#f7f4ec,控制图例、线条、点大小、颜色、字体或版式。
图形参数,map_facecolor_c,#f7f7f7,控制图例、线条、点大小、颜色、字体或版式。
图形参数,map_edgecolor,#404040,控制图例、线条、点大小、颜色、字体或版式。
图形参数,map_edgewidth,0.8,控制图例、线条、点大小、颜色、字体或版式。
图形参数,map_padding_fraction,0.06,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_marker_size,72,Fig.1A 主模型点估计圆点面积。
图形参数,panel_a_restricted_marker_size,28,Fig.1A common-support 对照模型方块面积。
图形参数,panel_a_ci_linewidth,1.4,Fig.1A 95% CI 误差线线宽。
图形参数,panel_a_restricted_alpha,0.35,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_zero_line_color,#333333,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_text_x,0.985,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_text_size,7,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_xlim_left_padding_fraction,0.14,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_xlim_right_padding_fraction,0.14,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_legend_loc,center right,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_legend_anchor_x,0.99,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_a_legend_anchor_y,0.53,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_label_x,0.0,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_label_y,1.02,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_label_size,11,控制图例、线条、点大小、颜色、字体或版式。
图形参数,delta_cmap,RdBu_r,Fig.1B/C ΔCBI 发散色带；当前红色为增加、蓝色为降低。
图形参数,delta_limit_padding,1.15,控制图例、线条、点大小、颜色、字体或版式。
图形参数,site_delta_limit_padding,1.3,Fig.1C/D 站点中位 Delta_CBI 色标和 D 横轴的范围扩展倍数。
图形参数,panel_b_point_size_min,35,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_point_size_max,110,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_point_alpha,0.86,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_point_edgecolor,#252525,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_point_linewidth,0.45,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_identity_line_color,#606060,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_identity_linewidth,0.9,Fig.1B CBI=1 无缓冲参考线宽度。
图形参数,panel_b_identity_linestyle,--,Fig.1B CBI=1 无缓冲参考线线型。
图形参数,panel_b_axis_padding_fraction,0.12,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_hist_bins,8,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_hist_color,#6f6f6f,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_hist_alpha,0.85,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_hist_zero_line_color,#222222,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_hist_zero_linewidth,0.8,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_reference_line_value,1.0,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_reference_line_color,#333333,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_jitter_half_width,0.1,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_jitter_seed,20260722,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_median_label_size,7,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_median_label_color,#333333,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_b_median_label_offset_fraction,0.027,Fig.1B median 标签高于箱线图上须横线的距离比例。
图形参数,drought_level_palette,"('#5b8fd9', '#f2b94b', '#e67f3e', '#c74332', '#7f1d1d')",控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_c_background_site_size,15,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_c_background_site_color,#c7c7c7,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_c_response_size,92,Fig.1C 有效配对站点统一点面积；N_pairs 不再映射为点大小。
图形参数,panel_c_response_edgecolor,#1f1f1f,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_c_response_linewidth,0.45,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_c_response_alpha,0.93,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_site_median_size,45,Fig.1D 站点中位 Delta_CBI 端点面积。
图形参数,panel_d_site_median_edgecolor,#111111,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_site_median_linewidth,0.9,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_lollipop_linewidth,1.35,Fig.1D 棒棒糖线段宽度。
图形参数,panel_d_lollipop_alpha,0.9,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_iqr_linewidth,1.2,优化版 Fig.1D 站点内 Delta_CBI IQR 横线宽度。
图形参数,panel_d_iqr_alpha,0.7,优化版 Fig.1D 站点内 Delta_CBI IQR 横线透明度。
图形参数,panel_d_iqr_axis_padding,1.08,优化版 Fig.1D 按 Q25/Q75/median 定横轴范围时的扩展倍数。
图形参数,panel_d_extreme_label_count,0,Fig.1D 在高低两端各标注的站点数量。
图形参数,panel_d_zero_line_color,#333333,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_zero_linewidth,0.85,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_zero_linestyle,--,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_row_line_color,#e5e5e5,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_row_linewidth,0.45,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_d_site_label_size,5,控制图例、线条、点大小、颜色、字体或版式。
图形参数,panel_c_delta_colorbar_x,0.58,Fig.1C ΔCBI 色标相对位置 x。
图形参数,panel_c_delta_colorbar_y,0.075,Fig.1C ΔCBI 色标相对位置 y。
图形参数,panel_c_delta_colorbar_width,0.35,Fig.1C ΔCBI 色标相对宽度。
图形参数,panel_c_delta_colorbar_height,0.035,Fig.1C ΔCBI 色标相对高度。
图形参数,colorbar_tick_size,7,控制图例、线条、点大小、颜色、字体或版式。
图形参数,colorbar_label_size,7,控制图例、线条、点大小、颜色、字体或版式。
图形参数,absolute_normal_color,#6d9ed6,绝对 CBI 对比版 Normal reference 的颜色。
图形参数,absolute_drought_color,#d95f3d,绝对 CBI 对比版 Drought class 的颜色。
图形参数,absolute_cmap,YlOrRd,绝对 CBI 对比版 C/D 面板干旱期 CBI 连续色带。
图形参数,absolute_cbi_limit_padding,0.08,绝对 CBI 对比版坐标轴和色标范围扩展比例。
图形参数,absolute_panel_a_pair_line_color,#b8b8b8,控制图例、线条、点大小、颜色、字体或版式。
图形参数,absolute_panel_a_pair_line_alpha,0.22,绝对 CBI 对比版 A 面板配对连线透明度。
图形参数,absolute_panel_a_pair_linewidth,0.45,控制图例、线条、点大小、颜色、字体或版式。
图形参数,absolute_panel_a_box_width,0.26,绝对 CBI 对比版 A 面板箱线图宽度。
图形参数,absolute_panel_a_point_size,14,绝对 CBI 对比版 A 面板散点大小。
图形参数,absolute_panel_a_point_alpha,0.42,控制图例、线条、点大小、颜色、字体或版式。
图形参数,absolute_panel_a_jitter_half_width,0.045,绝对 CBI 对比版 A 面板散点水平抖动半宽。
图形参数,absolute_panel_a_jitter_seed,20260723,控制图例、线条、点大小、颜色、字体或版式。
图形参数,absolute_panel_c_response_size,92,绝对 CBI 对比版 C 面板站点点面积。
图形参数,absolute_panel_c_colorbar_x,0.58,绝对 CBI 对比版 C 面板色标相对位置 x。
图形参数,absolute_panel_c_colorbar_y,0.075,绝对 CBI 对比版 C 面板色标相对位置 y。
图形参数,absolute_panel_c_colorbar_width,0.35,绝对 CBI 对比版 C 面板色标相对宽度。
图形参数,absolute_panel_c_colorbar_height,0.035,绝对 CBI 对比版 C 面板色标相对高度。
图形参数,absolute_panel_d_line_color,#9a9a9a,控制图例、线条、点大小、颜色、字体或版式。
图形参数,absolute_panel_d_line_alpha,0.55,绝对 CBI 对比版 D 面板 Normal-to-drought 连线透明度。
图形参数,absolute_panel_d_linewidth,0.9,绝对 CBI 对比版 D 面板 Normal-to-drought 连线宽度。
图形参数,absolute_panel_d_point_size,42,绝对 CBI 对比版 D 面板站点中位数点面积。
