Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated,Drought_Extent_Peak(%),Drought_Extent_Union(%),Station_Event_Count_Total,Station_Event_Count_Light,Station_Event_Count_Moderate,Station_Event_Count_Severe,Station_Event_Count_Extreme
95332217,117.63227,25.27501,117.625,25.27499389648437,3,2025-04-02,2025-04-19,18,-2.2451560497283936,-0.5011847615242004,2025-04-09,2025-04-19,28.20523184537888,Extreme,4,False,48.47,99.89,5,1,1,1,2
95332217,117.63227,25.27501,117.625,25.27499389648437,4,2025-05-12,2025-07-08,58,-2.0193190574646,-0.5993111729621887,2025-06-28,2025-06-17,63.29627174139023,Extreme,4,False,98.71,99.57,5,1,1,1,2
95332218,117.01007,24.96933,117.02499389648438,24.974998474121094,4,2025-04-02,2025-04-23,22,-2.0132932662963867,-0.6728296875953674,2025-04-02,2025-04-21,28.846669495105743,Extreme,4,False,63.95,99.89,7,3,2,1,1
95332219,117.0948,25.2415,117.07501220703124,25.224998474121094,5,2025-04-02,2025-04-23,22,-2.3179261684417725,-0.7098069787025452,2025-04-11,2025-04-21,32.18559658527374,Extreme,4,False,47.61,99.89,10,5,3,0,2
95332219,117.0948,25.2415,117.07501220703124,25.224998474121094,7,2025-06-04,2025-07-10,37,-2.29106879234314,-0.5045126080513,2025-06-28,2025-06-04,41.840856432914734,Extreme,4,False,98.71,99.32,10,5,3,0,2
95332220,116.11679,25.25292,116.125,25.27499389648437,3,2025-02-08,2025-03-02,23,-2.037058115005493,-0.6167376637458801,2025-02-25,2025-02-08,27.87490612268448,Extreme,4,False,93.52,100.0,7,2,2,1,2
95332220,116.11679,25.25292,116.125,25.27499389648437,4,2025-04-02,2025-04-21,20,-2.0098748207092285,-0.78945392370224,2025-04-02,2025-04-19,32.95291793346405,Extreme,4,False,63.95,99.89,7,2,2,1,2
95332221,117.3608625,26.78347812,117.375,26.77499389648437,7,2025-08-12,2025-09-09,29,-2.27681040763855,-0.8329434990882874,2025-08-27,2025-09-09,38.69769525527954,Extreme,4,False,71.89,98.37,8,2,2,3,1
95332225,117.5158023,27.14893502,117.52499389648438,27.125,7,2025-08-12,2025-09-23,43,-2.157047986984253,-0.5694388747215271,2025-08-29,2025-09-18,59.29728865623474,Extreme,4,False,83.43,98.46,8,3,3,1,1
95332226,117.9129664,27.71936172,117.92498779296876,27.724998474121094,5,2025-08-07,2025-09-18,43,-2.204885721206665,-0.5367267727851868,2025-08-20,2025-09-17,59.23395770788193,Extreme,4,False,43.91,98.44,6,1,2,2,1
