Site_ID,Longitude,Latitude,Elevation,Slope,Aspect,Canopy_Height,Extreme_events,Earliest_event,Latest_event,Min_SPI
95332217,117.63227,25.27501,287.0,37.2436637878418,132.6531219482422,14.0,2,2025-04-02,2025-07-08,-2.2451560497283936
95332218,117.01007,24.96933,550.0,35.41823196411133,255.78414916992188,16.0,1,2025-04-02,2025-04-23,-2.0132932662963867
95332219,117.0948,25.2415,525.0,35.97828674316406,247.3801422119141,16.0,2,2025-04-02,2025-07-10,-2.3179261684417725
95332220,116.11679,25.25292,507.0,23.232879638671875,65.07152557373047,16.0,2,2025-02-08,2025-04-21,-2.037058115005493
95332221,117.3608625,26.78347812,318.0,35.6082649230957,299.8759765625,20.0,1,2025-08-12,2025-09-09,-2.27681040763855
95332222,117.5481259,26.79229729,217.0,21.783729553222656,103.0918960571289,9.0,0,,,
95332223,117.6007481,26.66962275,443.0,26.401885986328125,19.33480834960937,19.0,0,,,
95332224,117.4623274,26.53346358,403.0,26.323511123657227,8.673171997070312,17.0,0,,,
95332225,117.5158023,27.14893502,318.0,20.862728118896484,82.56858825683594,15.0,1,2025-08-12,2025-09-23,-2.157047986984253
95332226,117.9129664,27.71936172,566.0,25.02536964416504,338.62939453125,21.0,1,2025-08-07,2025-09-18,-2.204885721206665
95332227,117.7970728,27.56918588,526.0,24.43755531311035,179.40933227539062,12.0,1,2025-08-11,2025-09-23,-2.481644868850708
95332228,118.1833673,27.68410527,401.0,19.301204681396484,213.11134338378903,14.0,1,2025-08-12,2025-09-12,-2.336613178253174
95332229,117.8937625,27.86000655,545.0,25.351821899414062,68.30488586425781,19.0,1,2025-08-12,2025-09-12,-2.1005795001983643
95332230,118.1949041,27.56726697,273.0,23.751718521118164,344.9315185546875,4.0,1,2025-08-12,2025-09-17,-2.39896559715271
95332231,117.7169739,27.06687783,210.0,28.266414642333984,325.9540710449219,18.0,1,2025-08-11,2025-09-18,-2.299917221069336
95332232,117.4091708,25.81640582,363.0,28.576313018798828,326.4270935058594,21.0,0,,,
95332233,117.467793,25.89459269,523.0,12.945341110229492,7.4314117431640625,17.0,1,2025-06-21,2025-07-11,-2.105762243270874
95332234,116.77256,25.47449,630.0,13.047038078308104,304.6951599121094,17.0,0,,,
95332235,116.29942,25.47995,267.0,12.856454849243164,114.59011840820312,6.0,2,2025-02-08,2025-04-21,-2.4802095890045166
95332236,116.68835,25.66767,793.0,12.484490394592283,65.22486114501953,8.0,2,2025-04-02,2025-07-19,-2.785902738571167
95332237,117.00125,25.69326,629.0,11.189302444458008,247.47943115234372,13.0,0,,,
95332238,117.2348565,25.72348088,664.0,35.815757751464844,187.0457763671875,8.0,1,2025-06-21,2025-07-11,-2.096324920654297
95332239,117.6462713,26.197705,521.0,18.38494682312012,294.928466796875,17.0,1,2025-06-21,2025-07-11,-2.132532119750977
95332240,117.6962543,26.39744371,400.0,20.092369079589844,104.21585083007812,12.0,0,,,
95332242,118.2814144,27.95758117,451.0,8.365489959716797,5.5275421142578125,14.0,1,2025-08-15,2025-09-12,-2.2075388431549072
95332243,118.0908773,27.81907915,273.0,19.2590389251709,39.70991897583008,11.0,1,2025-08-12,2025-09-12,-2.106205463409424
95332244,116.28577,25.76857,386.0,6.188685417175293,49.57392120361328,18.0,3,2025-02-08,2025-07-21,-2.5941708087921143
