Site_ID,Median_Delta_CBI,Mean_Delta_CBI,N_pairs,Min_SPI,Median_duration_days,Longitude,Latitude
95332217,0.1763356555597405,0.1763356555597405,2,-2.2451560497283936,38.0,117.63227,25.27501
95332218,0.1836974951299698,0.1836974951299698,1,-2.0132932662963867,22.0,117.01007,24.96933
95332219,0.12065223623633635,0.12065223623633635,2,-2.3179261684417725,29.5,117.0948,25.2415
95332220,0.06935278734984685,0.06935278734984685,2,-2.037058115005493,21.5,116.11679,25.25292
95332221,0.022989086663685,0.022989086663685,1,-2.27681040763855,29.0,117.3608625,26.78347812
95332225,0.0474140986178998,0.0474140986178998,1,-2.157047986984253,43.0,117.5158023,27.14893502
95332226,0.0046176070408372,0.0046176070408372,1,-2.204885721206665,43.0,117.9129664,27.71936172
95332227,-0.1370177900106569,-0.1370177900106569,1,-2.481644868850708,44.0,117.7970728,27.56918588
95332228,-0.0633508269544272,-0.0633508269544272,1,-2.336613178253174,32.0,118.1833673,27.68410527
95332229,0.107071157874062,0.107071157874062,1,-2.1005795001983643,32.0,117.8937625,27.86000655
95332230,0.1151927663945698,0.1151927663945698,1,-2.39896559715271,37.0,118.1949041,27.56726697
95332231,0.0442217721005839,0.0442217721005839,1,-2.299917221069336,39.0,117.7169739,27.06687783
95332233,0.0085624975534891,0.0085624975534891,1,-2.105762243270874,21.0,117.467793,25.89459269
95332235,0.21271609883254886,0.21271609883254886,2,-2.4802095890045166,21.5,116.29942,25.47995
95332236,-0.016951017818251396,-0.016951017818251396,2,-2.785902738571167,26.5,116.68835,25.66767
95332238,-0.0378278418951564,-0.0378278418951564,1,-2.096324920654297,21.0,117.2348565,25.72348088
95332239,-0.0155122175265104,-0.0155122175265104,1,-2.132532119750977,21.0,117.6462713,26.197705
95332242,0.1022484921781167,0.1022484921781167,1,-2.2075388431549072,29.0,118.2814144,27.95758117
95332243,0.0691077481443623,0.0691077481443623,1,-2.106205463409424,32.0,118.0908773,27.81907915
95332244,0.1053826410965366,0.12875917662718403,3,-2.5941708087921143,23.0,116.28577,25.76857
