Site_ID,Event_ID,Start_Date,End_Date,Duration_Days,Severity,Min_Daily_SPI,Edge_Truncated_x,Event_CBI,Event_Intercept,Event_R2,Event_n_hours,Event_CBI_flag,Reference_Search_Start,Reference_Search_End,Reference_Target_Days,Reference_Available_Normal_Days,Reference_Qualified_Normal_Days,Reference_Selected_Normal_Days,Reference_Min_Valid_Hours_Per_Day,Reference_CBI,Reference_Intercept,Reference_R2,Reference_n_hours,Reference_CBI_flag,Delta_CBI,Pair_flag,Drought_Level,Drought_Level_Code,Station_Lon,Station_Lat,Edge_Truncated_y,Response_Group
95332217,3,2025-04-02,2025-04-19,18,28.20523184537888,-2.2451560497283936,False,0.7395714029292012,3.677502205918426,0.8216708250908737,432,ok,2025-04-21,2025-05-20,18,21,21,18,18,0.5549632330270037,9.054432782155516,0.7905193287317785,432,ok,0.1846081699021975,ok,Extreme,4,117.63227,25.27501,False,Weakened
95332217,4,2025-05-12,2025-07-08,58,63.29627174139023,-2.0193190574646,False,0.5730498209166532,9.790054102157846,0.8062683406228457,1392,ok,2025-07-10,2025-08-08,30,5,5,5,18,0.4049866796993697,14.54868665267956,0.7501364592977955,120,ok,0.1680631412172835,ok,Extreme,4,117.63227,25.27501,False,Weakened
95332218,4,2025-04-02,2025-04-23,22,28.846669495105743,-2.0132932662963867,False,0.801848689438064,2.3437249295864664,0.8588091528568137,528,ok,2025-04-25,2025-05-24,22,25,25,22,18,0.6181511943080942,6.434709644747384,0.7780460752495939,528,ok,0.1836974951299698,ok,Extreme,4,117.01007,24.96933,False,Weakened
95332219,5,2025-04-02,2025-04-23,22,32.18559658527374,-2.3179261684417725,False,0.9580270488065812,1.1051294922438508,0.8287753656934966,528,ok,2025-04-25,2025-05-24,22,26,26,22,18,0.8597936625513316,2.558145822654432,0.7889944355349541,528,ok,0.0982333862552495,ok,Extreme,4,117.0948,25.2415,False,Weakened
95332219,7,2025-06-04,2025-07-10,37,41.840856432914734,-2.29106879234314,False,0.7150030465101354,6.829735050049969,0.81305924951331,888,ok,2025-07-12,2025-08-10,30,8,8,8,18,0.5719319602927121,10.315388859221304,0.8010994720103454,192,ok,0.1430710862174232,ok,Extreme,4,117.0948,25.2415,False,Weakened
95332220,3,2025-02-08,2025-03-02,23,27.87490612268448,-2.037058115005493,False,0.8437714784170636,0.7643303589733819,0.9063571647901536,552,ok,2025-03-04,2025-04-02,23,6,6,6,18,0.8694338214301319,0.712557979706407,0.9691107405290248,144,ok,-0.0256623430130683,ok,Extreme,4,116.11679,25.25292,False,Stable
95332220,4,2025-04-02,2025-04-21,20,32.95291793346405,-2.0098748207092285,False,0.8644735133765484,1.104357920814426,0.8581872749861066,480,ok,2025-04-23,2025-05-22,20,29,29,20,18,0.7001055956637864,4.964217110462505,0.8032982288629095,480,ok,0.164367917712762,ok,Extreme,4,116.11679,25.25292,False,Weakened
95332221,7,2025-08-12,2025-09-09,29,38.69769525527954,-2.27681040763855,False,0.5753470684594817,9.471602629564876,0.797007810961001,696,ok,2025-09-11,2025-10-10,29,25,25,25,18,0.5523579817957966,10.08916805363666,0.7740918858776459,600,ok,0.022989086663685,ok,Extreme,4,117.3608625,26.78347812,False,Stable
95332225,7,2025-08-12,2025-09-23,43,59.29728865623474,-2.157047986984253,False,1.016864964352977,-0.2290129933792144,0.7549028089320998,1032,ok,2025-09-25,2025-10-24,30,21,21,21,18,0.9694508657350772,0.2708956410918937,0.8242363614185269,504,ok,0.0474140986178998,ok,Extreme,4,117.5158023,27.14893502,False,Stable
95332226,5,2025-08-07,2025-09-18,43,59.23395770788193,-2.204885721206665,False,0.4348817339627502,12.69866826682354,0.6814936804534691,1032,ok,2025-09-20,2025-10-19,30,22,22,22,18,0.4302641269219129,12.65836641954979,0.7543248374257288,528,ok,0.0046176070408372,ok,Extreme,4,117.9129664,27.71936172,False,Stable
