文件名,站点ID,文件大小字节,列名,样例行数
95332217.csv,95332217,2645451,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332218.csv,95332218,2626000,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332219.csv,95332219,2628758,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332220.csv,95332220,2623845,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332221.csv,95332221,2632500,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332222.csv,95332222,2640305,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332223.csv,95332223,2629777,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332224.csv,95332224,2636070,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332225.csv,95332225,2628581,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332226.csv,95332226,2608741,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332227.csv,95332227,2610988,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332228.csv,95332228,2607361,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332229.csv,95332229,2601636,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332230.csv,95332230,2606902,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332231.csv,95332231,2627407,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332232.csv,95332232,2615929,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332233.csv,95332233,2614234,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332234.csv,95332234,2622207,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332235.csv,95332235,2628324,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332236.csv,95332236,2615609,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332237.csv,95332237,2613883,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332238.csv,95332238,2605539,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332239.csv,95332239,2591641,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332240.csv,95332240,2590161,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332242.csv,95332242,2612714,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332243.csv,95332243,2617024,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
95332244.csv,95332244,2620370,"ID,data_time,unknown_data1,T1_5,T2_0,T3_15,SMC,unknown_data2,unknown_data3,data_time8",3
